Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
tobster,569316171,90,18,72,23725,Shaak Ti G0 0* Fives G6 4* Rex G12 Echo (501st) G0 0* ARC Trooper G0 0*
Bo Diddle,627568373,90,78,12,119328,Shaak Ti Fives R3 Rex G12 Echo (501st) R3 ARC Trooper R3
Thehighground420,661933162,90,80,10,123085,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) ARC Trooper
Ta152,474737449,90,27,63,38401,Shaak Ti G12 Fives G1 4* Rex G12 Echo (501st) G1 4* ARC Trooper G1 4*
Iluvatar,367597549,90,66,24,105967,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
dicksharpe,175858197,90,61,29,82122,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G8 6*
Jed,492425346,90,38,52,57864,Shaak Ti G8 Fives G8 Rex G7 Echo (501st) G8 ARC Trooper G7 4*
e4embo,651266171,90,54,36,78869,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10 6*
Kristian45,713547513,90,60,30,88656,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Kelattt,384197343,90,59,31,88822,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Kichler10,945937226,85,63,22,105439,Shaak Ti R3 Fives G12 Rex R3 Echo (501st) G12 ARC Trooper G12
SitOnMySith,727179611,66,42,24,99491,Shaak Ti G12 Fives Rex G12 Echo (501st) G12 ARC Trooper G12
xXDarth YetiXx,879719549,90,90,0,131696,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Elon Muscle,274334641,90,1,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Tomb,644419262,90,50,40,71951,Shaak Ti Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
JSchill,342467647,90,41,49,55156,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G1 3* ARC Trooper G0 0*
Toby18,523572162,27,23,4,132184,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R3
ThePatience,536653765,80,78,2,120040,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Raven3199,716952923,66,29,37,70225,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
toaster1241,388951769,44,38,6,138206,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Xnalanx,136637536,90,37,53,59895,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G1 ARC Trooper G1 4*
