Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JSchill,342467647,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
JSchill,342467647,42,34,8,padme: Padme G8 GK JKA Ahsoka C-3PO
JSchill,342467647,15,0,15,Grievous Omicron: GG G1 4* B2 B1 MagnaGuard Droideka
JSchill,342467647,1,0,1,Negotiator: Negotiator BTL-B Y-wing 4* Anakin's Eta-2 Rex's ARC-170 5* Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
JSchill,342467647,23,22,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
JSchill,342467647,34,25,9,Troopers: Veers Piett Starck Dark Trooper Range Trooper G7 5*
JSchill,342467647,31,30,1,CLS: CLS Han Chewbacca Chewpio R2-D2
Ferran Jubei,151173958,11,11,0,padme: Padme GK JKA Ahsoka C-3PO
Ferran Jubei,151173958,23,3,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Ferran Jubei,151173958,27,11,16,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G12 Range Trooper G12
Ferran Jubei,151173958,23,21,2,CLS: CLS Han Chewbacca Chewpio R2-D2 R1
Ferran Jubei,151173958,49,48,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Ferran Jubei,151173958,44,40,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Ferran Jubei,151173958,27,0,27,GAS: GAS G7 5* Rex G12 Echo (501st) G12 Fives G12 ARC Trooper G10 4*
DarthVilhem,588329247,34,34,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
DarthVilhem,588329247,41,41,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
DarthVilhem,588329247,44,32,12,padme: Padme G12 GK JKA G12 Ahsoka C-3PO G12
DarthVilhem,588329247,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
DarthVilhem,588329247,20,4,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
DarthVilhem,588329247,22,18,4,GAS: GAS Rex Echo (501st) Fives ARC Trooper G12
DarthVilhem,588329247,1,0,1,Negotiator: Negotiator 6* BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF LVunit.level Clone Sergeant's ARC-170 LVunit.level
DarthVilhem,588329247,22,0,22,Troopers: Veers G12 Piett Starck G11 Dark Trooper G8 Range Trooper G11
DarthVilhem,588329247,32,11,21,CLS: CLS G12 Han Chewbacca G12 Chewpio G11 R2-D2 G8
tobster,569316171,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
tobster,569316171,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
tobster,569316171,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
tobster,569316171,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Belisarius,362364277,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Belisarius,362364277,26,22,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Belisarius,362364277,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Belisarius,362364277,18,18,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Belisarius,362364277,24,24,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Belisarius,362364277,42,38,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Belisarius,362364277,1,0,1,Malevolence: Malevolence Hyena Bomber 6* Vulture Droid 6* Sun Fac SF Soldier SF Spy SF
Belisarius,362364277,23,7,16,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G12 Range Trooper G12
Jed,492425346,40,24,16,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier Geo Spy G12 Poggle G12
Jed,492425346,45,3,42,Phasma: Phasma G8 FOTP G6 FOSFTP G7 FOST G8 5* Kylo G9
Jed,492425346,31,14,17,padme: Padme G11 GK G12 JKA G12 Ahsoka G12 C-3PO
Jed,492425346,35,7,28,Grievous Omicron: GG G12 B2 G9 B1 G8 MagnaGuard G11 Droideka G12
Jed,492425346,50,19,31,Troopers: Veers G10 Piett G8 5* Gideon R2 Dark Trooper G10 Range Trooper G6 3*
Jed,492425346,36,20,16,CLS: CLS Han G12 Chewbacca Chewpio G8 4* R2-D2 G12
dicksharpe,175858197,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
dicksharpe,175858197,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
dicksharpe,175858197,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
dicksharpe,175858197,19,1,18,Troopers: Veers G12 Piett Starck G10 Dark Trooper G12 Range Trooper G12
dicksharpe,175858197,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
dicksharpe,175858197,50,46,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
BluntSkull,979223516,22,20,2,padme: Padme R1 GK JKA Ahsoka C-3PO
BluntSkull,979223516,16,16,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
BluntSkull,979223516,20,4,16,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G12 Range Trooper G12
BluntSkull,979223516,50,49,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
BluntSkull,979223516,28,24,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
BluntSkull,979223516,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
BluntSkull,979223516,45,40,5,CLS: CLS Han R2 Chewbacca G12 Chewpio R2-D2
BluntSkull,979223516,11,0,11,GAS: GAS G7 5* Rex Echo (501st) Fives ARC Trooper R1
Iluvatar,367597549,15,11,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Iluvatar,367597549,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Iluvatar,367597549,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Iluvatar,367597549,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Iluvatar,367597549,42,2,40,Phasma: Phasma G9 FOTP G7 FOSFTP G9 FOST G7 Kylo G8
Iluvatar,367597549,47,27,20,Grievous Omicron: GG G12 B2 G12 B1 G12 MagnaGuard G12 Droideka G12
Iluvatar,367597549,1,0,1,Malevolence: Malevolence 6* Hyena Bomber 4* Vulture Droid 6* Sun Fac SF Soldier SF Spy SF
Iluvatar,367597549,23,0,23,Troopers: Veers G12 Piett Starck G10 Dark Trooper G11 Range Trooper G8
Classy Squirrel,277557845,49,49,0,padme: Padme GK JKA Ahsoka C-3PO
Classy Squirrel,277557845,20,20,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Classy Squirrel,277557845,17,17,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Classy Squirrel,277557845,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Classy Squirrel,277557845,48,33,15,Grievous Omicron: GG G1 B2 B1 MagnaGuard Droideka
Classy Squirrel,277557845,28,24,4,GAS: GAS Rex Echo (501st) Fives ARC Trooper G12
Kelattt,384197343,13,9,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Kelattt,384197343,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Kelattt,384197343,48,44,4,CLS: CLS Han Chewbacca Chewpio R2-D2 G12
Kelattt,384197343,39,23,16,GAS: GAS Rex G12 Echo (501st) G12 Fives G12 ARC Trooper G12
Kelattt,384197343,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
