Player,Offense,Defense,GP,Name,Squad,Viable
"Axel Kennedy",,,118777,Phasma,"zPhasma FOTP FOSFTP FOST Kylo",1
"Axel Kennedy",1,1,186782,GL Rey,"zzzzzzRey zGK zzzJTR zRH Poe, zRH Finn",1
"Axel Kennedy",,,132156,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Axel Kennedy",0,1,110717,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Axel Kennedy",,,513183,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Axel Kennedy",,,404226,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Axel Kennedy",1,1,109846,NS_Alt,"zzAV Zombie Daka Talia Spirit",1
"Axel Kennedy",1,1,139575,Revan Offense,"zzzJKR zzGMY zBS zJolee zJKA",1
"Axel Kennedy",1,1,108869,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Axel Kennedy",1,0,111729,ShaakClones,"zzShaak Ti, Rex Echo (501st), zFives ARC Trooper",1
"Axel Kennedy",0,1,136009,BH,"zzBossk Boba zzJango Dengar zzGreef",1
"Axel Kennedy",1,1,99847,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"Axel Kennedy",1,1,122467,zEP,"zEP zzzVader zTarkin TFP Sith Trooper",1
"Axel Kennedy",0,1,103908,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Axel Kennedy",1,0,112622,Wiggs,"Wedge Biggs CLS zzC-3PO Leia",1
"Axel Kennedy",1,1,82613,Rogue1,"Jyn Chirrut Baze K-2SO Cassian",1
"Axel Kennedy",1,0,113416,zMaul,"zDarth Maul, BSF Dooku zDN zzzDR",1
"Axel Kennedy",,,83222,Mon Mothma,"Mon Mothma 4* G8, zCara Dune, Hoth Rebel Scout, Hoth Rebel Soldier, Lando",0
"Axel Kennedy",1,0,72449,Troopers,"zVeers Starck G7, Snowtrooper Stormtrooper G8, Iden Versio G8",0
"Axel Kennedy",1,0,55065,Thragma (Counter),"Thrawn Magma G7, DT 6* G8, Krennic 5* G8, Shoretrooper 6* G8",0
"Axel Kennedy",,,93506,Mando,"The Mandalorian (Beskar Armor) G9, Dash Rendar, Nest 6* G9, IG-11 Kuiil",0
"Axel Kennedy",,,58721,Bad Batch,"Hunter G9, Echo Omega 4* G8, Tech G8, Wrecker G8",0
"Axel Kennedy",1,0,61500,Jawas,"Nebit G7, Jawa Engineer 4* G8, Jawa Scavenger, Jawa 6* Dathcha",0
"Axel Kennedy",1,0,7752,SionSolo (Counter),"Sion 5* G8",0
"BBBcube314",,,123216,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"BBBcube314",1,1,155170,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"BBBcube314",1,1,167690,GL Rey,"zzzzzzRey zzzJTR zR2-D2 RH Poe, zRH Finn",1
"BBBcube314",1,0,146670,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"BBBcube314",0,1,111420,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"BBBcube314",,,451301,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"BBBcube314",1,0,118367,Traya,"zzTraya zDN zSion Dooku zzEP",1
