Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mitch,454736696,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Mitch,454736696,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mitch,454736696,3,1,2,Troopers: Veers Piett Gideon Dark Trooper G11 6* Range Trooper G11
Mitch,454736696,0,0,0,Dooku+Asajj: Dooku AV
Bishop,992545136,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bishop,992545136,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bishop,992545136,1,1,0,Dooku+Asajj: Dooku AV
AZN10,979298148,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
AZN10,979298148,8,0,8,Troopers: Veers G10 6* Piett G9 4* Starck G11 Dark Trooper G11 Range Trooper G11
EdmundsV2,628862281,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
EdmundsV2,628862281,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EdmundsV2,628862281,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
EdmundsV2,628862281,5,5,0,Dooku+Asajj: Dooku AV
BobaKush,997839259,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
BobaKush,997839259,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BobaKush,997839259,14,10,4,Dooku+Asajj: Dooku G8 6* AV
Därth Nema,776828574,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Därth Nema,776828574,0,0,0,Dooku+Asajj: Dooku AV
Därth Nema,776828574,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Anlair D3TH,517761455,6,6,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Anlair D3TH,517761455,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Anlair D3TH,517761455,19,0,19,Grievous: GG B2 G7 B1 G6 Droideka G8 MagnaGuard G8
Anlair D3TH,517761455,8,4,4,Dooku+Asajj: Dooku G8 5* AV
Dark,752462989,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dark,752462989,0,0,0,Dooku+Asajj: Dooku AV
Dark,752462989,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
buttnuggets,744348919,6,6,0,Grievous: GG B2 B1 Droideka MagnaGuard
buttnuggets,744348919,7,7,0,Dooku+Asajj: Dooku AV
buttnuggets,744348919,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BiggWiggz,128595938,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BiggWiggz,128595938,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
BiggWiggz,128595938,0,0,0,Dooku+Asajj: Dooku AV
Fruktoz,184829475,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Fruktoz,184829475,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Fruktoz,184829475,1,0,1,Dooku+Asajj: Dooku G11 AV
Ajunta Pall,992141888,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ajunta Pall,992141888,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ajunta Pall,992141888,0,0,0,Dooku+Asajj: Dooku AV
SithLordCryo,257389653,10,10,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
SithLordCryo,257389653,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
SithLordCryo,257389653,0,0,0,Dooku+Asajj: Dooku AV
SithLordCryo,257389653,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Axel Kennedy,358543737,11,11,0,Grievous: GG B2 B1 Droideka MagnaGuard
Axel Kennedy,358543737,8,8,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Axel Kennedy,358543737,0,0,0,Dooku+Asajj: Dooku AV
Kliff Fuser,891864244,8,8,0,Dooku+Asajj: Dooku AV
Kliff Fuser,891864244,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kliff Fuser,891864244,3,0,3,Grievous: GG G9 B2 B1 Nute MagnaGuard
Sandakin Airstepper,348956666,4,4,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Sandakin Airstepper,348956666,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sandakin Airstepper,348956666,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
Sandakin Airstepper,348956666,12,8,4,Dooku+Asajj: Dooku G8 AV
Nimbulus,181256629,7,7,0,Grievous: GG B2 B1 Droideka MagnaGuard
Nimbulus,181256629,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nimbulus,181256629,7,1,6,Dooku+Asajj: Dooku G9 AV G9
DarthVectivus,549936193,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthVectivus,549936193,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DarthVectivus,549936193,0,0,0,Dooku+Asajj: Dooku AV
OpticAlex,221577484,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
OpticAlex,221577484,0,0,0,Dooku+Asajj: Dooku AV
OpticAlex,221577484,11,1,10,Troopers: Veers G11 Piett G9 5* Starck G10 Dark Trooper G11 5* Range Trooper G9 4*
OpticAlex,221577484,6,2,4,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac G11 Geo Spy G11
Biscit29,868181172,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Biscit29,868181172,0,0,0,Dooku+Asajj: Dooku AV
Talyn,722362941,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Talyn,722362941,4,4,0,Dooku+Asajj: Dooku AV
Talyn,722362941,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Talyn,722362941,15,6,9,Troopers: Veers Piett Starck Dark Trooper G9 4* Range Trooper G6 4*
Valarkale,265279199,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Valarkale,265279199,0,0,0,Dooku+Asajj: Dooku AV
Valarkale,265279199,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Valarkale,265279199,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
AgentOfChaos,718699874,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
AgentOfChaos,718699874,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
AgentOfChaos,718699874,19,8,11,Troopers: Veers G10 Piett G10 6* Gideon G9 Dark Trooper G9 Range Trooper G11 4*
AgentOfChaos,718699874,12,5,7,Dooku+Asajj: Dooku G8 AV G9
Un Known,463235621,13,13,0,Grievous: GG B2 B1 Droideka MagnaGuard
Un Known,463235621,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Un Known,463235621,13,0,13,Troopers: Veers Piett G9 4* Gideon G9 6* Dark Trooper G9 6* Range Trooper G8 4*
Un Known,463235621,6,0,6,Dooku+Asajj: Dooku G6 5* AV
CronikdaHemphog,649191986,17,17,0,Grievous: GG B2 B1 Nute MagnaGuard
CronikdaHemphog,649191986,0,0,0,Dooku+Asajj: Dooku AV
CronikdaHemphog,649191986,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
CronikdaHemphog,649191986,10,3,7,Troopers: Veers Piett Starck G11 Dark Trooper G9 Range Trooper G9
Capt Black,257644793,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Capt Black,257644793,0,0,0,Dooku+Asajj: Dooku AV
Capt Black,257644793,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Siegeking,232115115,2,2,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Siegeking,232115115,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
Siegeking,232115115,3,3,0,Dooku+Asajj: Dooku AV
Siegeking,232115115,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Archer,974471184,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Archer,974471184,0,0,0,Dooku+Asajj: Dooku AV
Archer,974471184,10,4,6,Troopers: Veers Piett Starck Dark Trooper Range Trooper G6 5*
Archer,974471184,3,0,3,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy
Medwin Rapis,667684568,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Medwin Rapis,667684568,0,0,0,Dooku+Asajj: Dooku AV
Medwin Rapis,667684568,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Medwin Rapis,667684568,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Left 4 Gaming Addiction,612524345,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Left 4 Gaming Addiction,612524345,0,0,0,Dooku+Asajj: Dooku AV
Left 4 Gaming Addiction,612524345,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Left 4 Gaming Addiction,612524345,9,6,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
JoeMacFando,241665115,16,16,0,Grievous: GG B2 B1 Droideka MagnaGuard
JoeMacFando,241665115,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JoeMacFando,241665115,8,1,7,Dooku+Asajj: Dooku G8 AV G9
Micropterus Salimoidous,925452565,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Micropterus Salimoidous,925452565,0,0,0,Dooku+Asajj: Dooku AV
Micropterus Salimoidous,925452565,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Micropterus Salimoidous,925452565,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Valerius,754194713,12,12,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Valerius,754194713,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Valerius,754194713,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Valerius,754194713,2,0,2,Dooku+Asajj: Dooku G10 AV
