Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nimbulus,181256629,18,18,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Nimbulus,181256629,59,0,59,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO R3 Mon Mothma G7 5* Chewpio G12 JKL G0 0* R2-D2 G12 Han G12 Chewbacca R3 Rebel Y-wing Leia HYoda Wedge Biggs Lando
Nimbulus,181256629,12,12,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
MrRevan,556951466,10,10,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
MrRevan,556951466,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
MrRevan,556951466,57,8,49,Jabba the Hutt: Krrsantan R2 Han Gamorrean Guard G13 Greedo G13 Skiff Guard (Lando Calrissian) G12 JKL Jawa G13 URoRRuR'R'R G13 C-3PO Boushh (Leia Organa) R1 Aurra G13 Fennec Shand G13 Boba R5 Mob Enforcer G11 Outrider
MrRevan,556951466,4,4,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
MrRevan,556951466,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
MrRevan,556951466,55,55,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Kliff Fuser,891864244,34,34,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
