Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jbob1011,193859291,22,22,0,JMLS: JMLS JKL JKR GMY HYoda
Jbob1011,193859291,18,18,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jbob1011,193859291,15,11,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 RG R3
Bishop,992545136,12,0,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG G6
AZN10,979298148,38,0,38,Troopers: Veers G10 6* Piett G9 4* Dark Trooper G11 Range Trooper G11 Starck G11
SirCrazyPhil,985641597,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
SirCrazyPhil,985641597,30,30,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SirCrazyPhil,985641597,20,8,12,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak
SirCrazyPhil,985641597,30,6,24,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G12
BiggWiggz,128595938,12,0,12,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G12
BiggWiggz,128595938,13,0,13,CLS: CLS C-3PO R2 Han R1 Chewbacca G12 Chewpio
EdmundsV2,628862281,29,4,25,EP: EP Mara Jade, The Emperor's Hand G1 Vader Thrawn R3 Shoretrooper G12
EdmundsV2,628862281,16,8,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Starck R3
EdmundsV2,628862281,35,3,32,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G10
Dark Helmet,783487787,21,20,1,CLS: CLS C-3PO Han Chewbacca Chewpio R4
Dark Helmet,783487787,13,0,13,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak G11 6*
Axel Kennedy,358543737,40,30,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R1 RG G12
Axel Kennedy,358543737,38,4,34,CLS: CLS G12 C-3PO Han G10 Chewbacca G8 Chewpio G8 4*
