Player,Offense,Defense,GP,Name,Squad,Viable
"HK51",,,174765,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"HK51",0,1,117497,padme,"zzPadme zGK JKA zAhsoka zzC-3PO",1
"HK51",0,1,94433,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"HK51",,,393632,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"HK51",,,417502,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"HK51",1,0,95649,Traya,"zzTraya DN Sion G9, Sith Empire Trooper G8, zzThrawn",1
"HK51",0,1,102163,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"HK51",1,1,103632,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"HK51",1,1,117267,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"HK51",1,1,84406,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"HK51",0,1,146340,BH,"zzBossk Aurra zGreedo zDengar zFennec Shand",1
"HK51",1,1,117116,zEP,"zzEP zzzVader Tarkin G9, IPD G8, TFP",1
"HK51",0,1,125945,BH,"zzJango zZam zEmbo zThe Mandalorian, zIG-88",1
"HK51",1,0,108451,Troopers,"zVeers Starck DT zzPiett Shoretrooper",1
"HK51",0,1,95308,FO,"zzKRU zKylo FOO FOST FOE",1
"HK51",0,1,86027,Phoenix,"zHera Ezra zKanan Zeb G8, zSabine",1
"HK51",1,1,72797,Rogue1,"Jyn G8, Chirrut G8, Baze G8, Cassian K-2SO G9",1
"HK51",1,0,79140,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger, Jawa Dathcha G9",1
"HK51",1,0,20617,NestSolo (Counter),"zNest",1
"HK51",0,1,86806,Qira,"Qira L3-37 zVandor Chewbacca, Mission G9, Zaalbar G9",0
"HK51",1,1,79188,NS,"MT G9, zzAV zDaka Zombie Spirit G7",0
"HK51",0,1,82752,DR,"zzzDR G8, HK-47 zBSF Sith Marauder G9, Sith Assassin G7",0
"HK51",,,72870,Mon Mothma,"Mon Mothma 5* G8, Wedge G9, Biggs G8, Lando Cara Dune G8",0
"HK51",1,0,100970,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zFives G9, zARC Trooper G8",0
"HK51",1,0,118590,CLS,"zzzCLS zHan Leia G9, Old Ben, zzChewbacca",0
"Arvinx2004",,,188170,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Arvinx2004",,,119208,Phasma,"zPhasma FOTP FOSFTP FOST Kylo",1
"Arvinx2004",1,1,165800,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Arvinx2004",,,561060,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Arvinx2004",0,1,134930,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Arvinx2004",1,0,129118,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Arvinx2004",0,1,107362,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Arvinx2004",0,1,119962,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Arvinx2004",1,0,128463,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Arvinx2004",1,1,154080,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Arvinx2004",1,1,123409,Revan,"zzzJKR BS zGMY zJolee zGK",1
"Arvinx2004",0,1,138472,BH,"zzBossk Dengar Zam Cad zBoba",1
"Arvinx2004",1,1,86089,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Arvinx2004",0,1,67076,Phoenix,"Hera G8, Ezra G9, Kanan G9, Zeb G9, Chopper",1
"Arvinx2004",,,124872,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
