Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Kaeya,559179796,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Kaeya,559179796,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Madmartigan813,598483432,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Madmartigan813,598483432,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Madmartigan813,598483432,0,0,0,JKL: JKL HYoda GMY JKR GK
Madmartigan813,598483432,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Madmartigan813,598483432,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
CC042,384144753,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
CC042,384144753,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
CC042,384144753,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
CC042,384144753,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
CC042,384144753,9,0,9,JKL: JKL G12 HYoda GMY Jolee G11 GK
CC042,384144753,17,0,17,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives R2
SpacedGOD,617939982,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
SpacedGOD,617939982,13,0,13,GAS Special: GAS G7 Ahsoka Tano (Snips) G12
SpacedGOD,617939982,7,0,7,JKL: JKL HYoda GMY G9 Jolee GK
SpacedGOD,617939982,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper R1 Fives G10
mahster,142863467,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
mahster,142863467,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
mahster,142863467,1,0,1,ROLO: ROLO Cpt Solo Leia CLS Lando
mahster,142863467,7,4,3,JKL: JKL R1 HYoda GMY Jolee R2 GK
mahster,142863467,18,12,6,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper R1 Fives
AJ9133,711347468,17,5,12,CLS: CLS Han Chewbacca G12 Chewpio G12 C-3PO G12
phillipmonseu,789863213,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
phillipmonseu,789863213,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
phillipmonseu,789863213,0,0,0,JKL: JKL HYoda JMLS GK GAS
phillipmonseu,789863213,1,0,1,Shaak Ti: Shaak Ti R2 Rex Echo (501st) ARC Trooper Fives
Revan399,259732841,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Revan399,259732841,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Revan399,259732841,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Neres Warjan,995319363,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Neres Warjan,995319363,8,0,8,ROLO: ROLO Cpt Solo Biggs G12 Baze G12 Lando
Neres Warjan,995319363,18,14,4,JKL: JKL HYoda GMY R1 Jolee R1 GK
Neres Warjan,995319363,20,4,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
StafM321,282815211,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
StafM321,282815211,18,14,4,CLS: CLS Han Chewbacca Chewpio G12 C-3PO
StafM321,282815211,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Yosh Aop,875397478,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Yosh Aop,875397478,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Yosh Aop,875397478,9,0,9,GAS Special: GAS G7 5* Ahsoka Tano (Snips)
atlasz,569717448,11,11,0,GAS Special: GAS Ahsoka Tano (Snips)
atlasz,569717448,12,12,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
atlasz,569717448,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Driggz24,586498455,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Driggz24,586498455,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Driggz24,586498455,0,0,0,JKL: JKL HYoda JMLS JKR GK
Driggz24,586498455,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Driggz24,586498455,18,6,12,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives G12
Arvinx2004,249772289,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Arvinx2004,249772289,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Arvinx2004,249772289,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Quam,564679127,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Quam,564679127,0,0,0,JKL: JKL HYoda JMLS GK GAS
Quam,564679127,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Quam,564679127,7,0,7,ROLO: ROLO Cpt Solo Leia Baze G9 Lando
Quam,564679127,19,2,17,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G11 Fives
DarthBane71,174384318,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthBane71,174384318,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthBane71,174384318,5,5,0,JKL: JKL HYoda GMY Jolee GK
DarthBane71,174384318,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthBane71,174384318,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ogga777,653316942,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ogga777,653316942,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ogga777,653316942,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Ogga777,653316942,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G10 ARC Trooper G10 6* Fives
Spencer,765513936,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Spencer,765513936,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Spencer,765513936,13,13,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
CookieMonster,721193567,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
CookieMonster,721193567,17,4,13,JKL: JKL HYoda GMY G12 Jolee G11 GK G12
Joh,279533688,0,0,0,ROLO: ROLO Cpt Solo Han CLS Chewbacca
Joh,279533688,8,6,2,GAS Special: GAS R1 Ahsoka Tano (Snips)
Joh,279533688,18,7,11,Shaak Ti: Shaak Ti Rex R1 Echo (501st) R1 ARC Trooper G11 Fives R1
Kristian,578514369,7,7,0,GAS Special: GAS Ahsoka Tano (Snips)
Kristian,578514369,0,0,0,JKL: JKL HYoda GMY JKR GK
Kristian,578514369,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Kristian,578514369,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
