Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
RingoBingo,753267475,36,36,0,151163,Padme JKA Ahsoka GK GMY
Grogg,962697893,54,23,31,99103,Padme G8 JKA G13 Ahsoka G11 GK R2 GMY G12
Spitfire9137,995891585,0,0,0,141438,Padme JKA Ahsoka GK GMY
atlasz,569717448,43,25,18,115257,Padme R3 JKA G12 Ahsoka R1 GK GMY G12
Madmartigan813,598483432,4,4,0,147450,Padme JKA Ahsoka GK GMY
Goshen,585393715,14,9,5,146591,Padme R3 JKA Ahsoka R2 GK GMY
DarthBane71,174384318,0,0,0,157411,Padme JKA Ahsoka GK GMY
Jorir Orilin,926977164,34,3,31,100434,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G11
EmperorPalpamemes66,753689425,62,1,61,54035,Padme G1 6* JKA Ahsoka G8 GK G1 GMY G1
DisneySucksBallz,956864957,12,12,0,152605,Padme JKA Ahsoka GK GMY
Ussoshi,428318741,15,9,6,138937,Padme R3 JKA R3 Ahsoka R3 GK GMY
Masta Tgray,927877699,20,8,12,130321,Padme G12 JKA Ahsoka G12 GK GMY
phillipmonseu,789863213,12,0,12,127464,Padme JKA Ahsoka G12 GK GMY G12
Chmrda,974657467,23,16,7,130546,Padme JKA Ahsoka G12 GK GMY R4
SteelCat25,821667261,62,48,14,129454,Padme G10 JKA G12 Ahsoka GK GMY
LegendsShouldBCannon,964741322,62,50,12,123938,Padme R1 JKA G12 Ahsoka R3 GK GMY
DarthBurr11,477475456,60,26,34,90215,Padme G12 JKA G8 Ahsoka G12 GK G12 GMY G12
Kybur,384886172,22,22,0,136491,Padme JKA Ahsoka GK GMY
X'lor Bintaghr,754828667,43,43,0,177127,Padme JKA Ahsoka GK GMY
Lumar,557114342,66,29,37,77342,Padme G8 JKA G10 Ahsoka G8 GK G9 GMY
Kaeya,559179796,27,14,13,122751,Padme R2 JKA R2 Ahsoka R2 GK R4 GMY R2
TaytaytheTitan,458125686,52,33,19,114072,Padme R2 JKA G12 Ahsoka R2 GK R4 GMY G12
Rall Kran,797432228,19,19,0,142075,Padme JKA Ahsoka GK GMY
jacensolo,921673719,38,38,0,157899,Padme JKA Ahsoka GK GMY
zodd th imortal,285592276,24,18,6,133486,Padme G12 JKA Ahsoka GK GMY
Zexxion,196518132,62,20,42,85446,Padme G8 JKA G9 Ahsoka G8 GK G11 6* GMY G12
Ava Adams,562632911,24,19,5,126697,Padme R3 JKA R4 Ahsoka R3 GK GMY
Brian Theus,333864694,57,34,23,94775,Padme G9 JKA R4 Ahsoka G12 GK R4 GMY G12
Younglings killer,124655149,35,21,14,115414,Padme R3 JKA G12 Ahsoka GK GMY G12
JediKnightSkywalker,233534786,30,24,6,125078,Padme JKA Ahsoka GK GMY G12
Ranavan,153257322,46,3,43,66711,Padme G12 JKA G12 Ahsoka G12 GK G0 0* GMY G11
PumaToLegend,299268228,45,17,28,84868,Padme G7 6* JKA R4 Ahsoka G8 GK G12 GMY
Bubbah,564463657,34,28,6,126145,Padme JKA Ahsoka GK GMY G12
Necrobe75,198884116,1,1,0,139111,Padme JKA Ahsoka GK GMY
ElJediDasCouvesJr,715728792,30,0,30,93854,Padme G8 6* JKA R3 Ahsoka G12 GK G12 GMY G12
Letsgetmouldy,964851743,10,4,6,134535,Padme R3 JKA Ahsoka R3 GK GMY R3
Tyron Brandt,467387797,43,23,20,105104,Padme G12 JKA R4 Ahsoka G12 GK G12 GMY R4
Whisso,374848412,68,48,20,113099,Padme G12 JKA R3 Ahsoka G12 GK GMY G12
DarthRi,142724475,67,3,64,43517,Padme G1 JKA G12 Ahsoka G11 GK G1 6* GMY G1
Prophet11,458271363,45,19,26,100609,Padme G12 JKA G12 Ahsoka G11 GK R4 GMY G12
Benny,538749624,54,0,54,47906,Padme G0 0* JKA Ahsoka G9 GK G0 0* GMY G9
Swinny,216875298,31,6,25,104460,Padme G12 JKA Ahsoka G12 GK G12 GMY G11
Kristian,578514369,38,32,6,128218,Padme R3 JKA R3 Ahsoka R3 GK GMY
Driggz24,586498455,30,0,30,93803,Padme G11 JKA R1 Ahsoka G12 GK G12 GMY G11
R0ndor,517967919,56,0,56,46375,Padme G6 JKA G9 Ahsoka G10 GK G0 0* GMY G9
Quam,564679127,12,0,12,128333,Padme JKA Ahsoka G12 GK GMY G12
Sendo,643445114,47,14,33,89701,Padme G7 JKA Ahsoka G8 GK G12 GMY G12
Djano 51,889726226,31,17,14,118432,Padme R3 JKA Ahsoka G8 GK R3 GMY
Neres Warjan,995319363,41,11,30,105609,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Maath Faselli,887365988,14,1,13,129115,Padme JKA G11 Ahsoka GK GMY G12
