Player,Offense,Defense,GP,Name,Squad,Viable
"Dhoor",1,1,160916,GL Rey,"zzzzzzRey zzzJTR BB-8 RH Poe, zRH Finn",1
"Dhoor",1,1,109521,NS,"zMT zAV Daka Zombie Spirit",1
"Dhoor",,,538426,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Dhoor",1,0,128974,CLS,"zzCLS zHan zChewbacca C-3PO Chewpio",1
"Dhoor",,,299034,Malevolence,"Malevolence 5* Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Dhoor",0,1,108549,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Dhoor",0,1,125939,Grievous,"zzGG B2 zB1 MagnaGuard zNute",1
"Dhoor",0,1,129188,BH,"zBossk Greef Cad Dengar Boba",1
"Dhoor",1,1,123525,zEP,"zEP zzVader Tarkin IPD TFP",1
"Dhoor",1,0,93769,501st,"Rex ARC Trooper, Echo (501st), Fives Ahsoka Tano (Snips)",1
"Dhoor",0,1,104832,Phoenix,"Hera Ezra Kanan Sabine zCaptain Rex",1
"Dhoor",,,114066,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"Dhoor",1,1,132746,SL Kylo,"zzzzzSL Kylo, Sith Trooper, zHux KRU Thrawn G7",0
"Dhoor",0,1,97116,DRMalak,"DR HK-47 BSF zzMalak Sith Empire Trooper",0
"Dhoor",,,394658,Negotiator,"Negotiator BTL-B Y-wing 6*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Dhoor",,,359953,HansMF,"Home One, Han's MF, Rebel Y-wing 5*, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Dhoor",1,1,103321,Revan,"zJKR BS GMY Jolee GK",0
"Dhoor",1,1,101247,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
"Dhoor",1,1,79606,Carth,"Carth Onasi, Mission Zaalbar G7, Juhani Canderous G8",0
"Dhoor",1,0,101753,Troopers,"zVeers Starck G9, Iden Versio, zzPiett Dark Trooper",0
"Dhoor",0,1,87245,BH,"Jango IG-88 Boushh (Leia Organa) 6* G8, Greedo 5* G8, The Mandalorian",0
"Dhoor",1,0,73621,Wiggs,"Wedge Biggs Leia Chirrut 5* G8, Baze 5* G8",0
"Lucand",,,121109,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
