Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthTenebrous,541431649,31,0,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G11 6* Chewpio G12
DarthTenebrous,541431649,37,0,37,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader G12 Thrawn G9 Shoretrooper G8 5*
WhisKid,985344829,33,33,0,CLS: CLS C-3PO Han Chewbacca Chewpio
WhisKid,985344829,41,31,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Shoretrooper G8 5*
Dhoor,853742526,21,8,13,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G7 Malak R3
Dhoor,853742526,34,19,15,CLS: CLS R4 C-3PO G12 Han Chewbacca R4 Chewpio G11
ACheekyWolf,515499798,38,37,1,CLS: CLS C-3PO Han R4 Chewbacca Chewpio
ACheekyWolf,515499798,42,22,20,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G8 Shoretrooper G8 5*
DarthSnips,755865424,50,29,21,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Gideon G9
DarthSnips,755865424,21,2,19,CLS: CLS R3 C-3PO G11 5* Han R3 Chewbacca R2 Chewpio G13
VoidedSouls24,896149329,26,20,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
VoidedSouls24,896149329,33,13,20,Troopers: Veers G12 Piett Dark Trooper R3 Range Trooper G12 Gideon G12
VoidedSouls24,896149329,27,11,16,CLS: CLS C-3PO G12 Han R3 Chewbacca R3 Chewpio G12
VoidedSouls24,896149329,44,4,40,Padme/BB: Padme G12 Hunter G10 Echo G9 Tech G10 Wrecker G9
J3d1 Wampa,233129389,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
J3d1 Wampa,233129389,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
J3d1 Wampa,233129389,17,4,13,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak
J3d1 Wampa,233129389,32,5,27,Troopers: Veers G12 Piett Dark Trooper G9 6* Range Trooper G12 Starck G12
J3d1 Wampa,233129389,42,2,40,Padme/BB: Padme G12 Hunter G9 Echo G10 Tech G10 Wrecker G9
Nitz,485165597,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Nitz,485165597,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nitz,485165597,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Nitz,485165597,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Nitz,485165597,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Nitz,485165597,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Nitz,485165597,7,0,7,Troopers: Veers R4 Piett Dark Trooper Range Trooper G12 Gideon
WeTheNorse,265856399,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
WeTheNorse,265856399,2,0,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
WeTheNorse,265856399,4,0,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R1
WeTheNorse,265856399,27,0,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Starck G12
bluhoteyes,668698455,40,2,38,EP: EP G11 Mara Jade, The Emperor's Hand G7 Vader Thrawn G8 Shoretrooper G8 5*
bluhoteyes,668698455,46,7,39,Troopers: Veers G12 Piett G12 Dark Trooper G8 Range Trooper G7 Gideon G12
bluhoteyes,668698455,49,5,44,CLS: CLS G8 C-3PO G12 Han G9 Chewbacca G9 Chewpio G8
NamikazeNC,572225845,34,13,21,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G7 Shoretrooper G8 5*
NamikazeNC,572225845,45,36,9,CLS: CLS R4 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Dori Solman,565476421,36,13,23,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca G12 Chewpio G11
Dori Solman,565476421,40,3,37,Troopers: Veers G12 Piett G9 Dark Trooper G9 Range Trooper G11 Starck G12
Devlin,254626297,32,28,4,CLS: CLS R4 C-3PO Han Chewbacca Chewpio R2
Devlin,254626297,18,0,18,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G10 Shoretrooper G8 5*
Sonofskirata,457422143,10,4,6,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak
Sonofskirata,457422143,29,6,23,CLS: CLS R4 C-3PO R1 Han G12 Chewbacca G12 Chewpio G12
Dart Leon,356126651,33,3,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
DeltaCommando,996844343,45,2,43,Troopers: Veers G10 6* Piett G12 Dark Trooper G9 6* Range Trooper G11 4* Gideon G5
Belrosa,983233755,36,36,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Belrosa,983233755,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Belrosa,983233755,13,7,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Belrosa,983233755,50,30,20,Troopers: Veers G12 Piett Dark Trooper Range Trooper G11 Gideon G11
Fallen,961276461,32,32,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rodi,283859663,25,21,4,CLS: CLS C-3PO R3 Han Chewbacca Chewpio R3
Rodi,283859663,26,8,18,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak
Rodi,283859663,47,20,27,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G11 Gideon G11
RichmalTheReborn,575915113,44,44,0,CLS: CLS C-3PO Han Chewbacca Chewpio
RichmalTheReborn,575915113,41,4,37,EP: EP G12 Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 RG G2
hurtin Drebin,888342228,29,18,11,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 RG G13
