Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
RichmalTheReborn,575915113,90,4,86,14982,Shaak Ti G1 4* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
DarthSnips,755865424,90,17,73,25705,Shaak Ti G0 0* Fives G9 Rex G7 Echo (501st) G1 3* ARC Trooper G0 0*
Fallen,961276461,38,16,22,100042,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
VoidedSouls24,896149329,43,22,21,112147,Shaak Ti G9 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper R3
Belrosa,983233755,90,68,22,96747,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Arkay,991936212,0,0,0,154752,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AvGPuD,545584614,90,38,52,54721,Shaak Ti G8 Fives G12 Rex G9 Echo (501st) G9 ARC Trooper G0 0*
freezingjuice,194216391,90,2,88,1690,Shaak Ti G0 0* Fives G1 3* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Crovax,873218834,90,24,66,29688,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Nightwing37,874844686,66,8,58,43991,Shaak Ti G0 0* Fives G10 Rex G12 Echo (501st) G10 ARC Trooper G0 0*
Sidonplays,192852549,66,32,34,76116,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8
Hdwolf,445881368,58,29,29,74143,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G8 4*
ObiwanGinobili,831583657,90,46,44,69009,Shaak Ti G8 Fives G11 Rex G8 Echo (501st) G9 ARC Trooper G10
Ogreg,671855132,90,2,88,1690,Shaak Ti G0 0* Fives G1 3* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Devlin,254626297,66,26,40,67983,Shaak Ti R4 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1 6*
Rodi,283859663,90,56,34,85815,Shaak Ti G8 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
hurtin Drebin,888342228,31,11,20,101799,Shaak Ti G12 Fives R4 Rex R4 Echo (501st) G12 ARC Trooper G12
ACheekyWolf,515499798,60,31,29,78571,Shaak Ti R3 Fives R3 Rex G11 Echo (501st) G9 ARC Trooper G9
Sans,156217258,79,52,27,100708,Shaak Ti G11 4* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper R3
Dhoor,853742526,66,27,39,62689,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G8 5* ARC Trooper G1 4*
J3d1 Wampa,233129389,25,12,13,116269,Shaak Ti G12 Fives Rex R1 Echo (501st) R3 ARC Trooper R4
Da One,248293695,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
DeltaCommando,996844343,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Dart Leon,356126651,76,29,47,56271,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G1 5* ARC Trooper G0 0*
Darovit,296371155,66,16,50,54573,Shaak Ti G8 4* Fives G11 Rex G12 Echo (501st) G8 ARC Trooper G1 4*
