Player,Offense,Defense,GP,Name,Squad,Viable
"j13hall13",,,123331,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"j13hall13",,,137654,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani Visas",1
"j13hall13",1,1,165179,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"j13hall13",,,588952,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"j13hall13",,,184802,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"j13hall13",1,0,144951,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"j13hall13",0,1,132935,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"j13hall13",0,1,136372,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"j13hall13",,,123080,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"j13hall13",,,308469,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"j13hall13",0,1,100298,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"j13hall13",,,112760,Disintegration,"Aurra Greef G9, zBoba zzBossk zThe Mandalorian",1
"j13hall13",1,1,90962,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"j13hall13",1,0,128918,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"j13hall13",1,0,133859,Troopers,"zVeers zStarck Range Trooper, zDark Trooper, zzPiett",1
"j13hall13",0,1,68022,Phoenix,"Hera G9, Ezra Kanan G8, Zeb G8, Chopper G8",1
"j13hall13",1,0,26259,SionSolo (Counter),"zSion",1
"j13hall13",1,1,108220,JTR,"JTR Scav Rey G9, zBB-8 zzR2-D2 Finn G9",0
"j13hall13",,,101937,Nute-OR,"zNute zDooku zJango Zaalbar Mission",0
"j13hall13",,,117606,Mon Mothma,"zzMon Mothma, zKyle Katarn, Wedge Biggs Lando",0
"j13hall13",1,1,47881,NS_Alt,"AV Daka G1, Talia G6, Spirit G1, Zombie G1",0
"j13hall13",,,53910,Iden Troopers,"zIden Versio G8, Stormtrooper G1, Snowtrooper G8, Magma G2, DT G4",0
"j13hall13",1,0,102209,zMaul,"Darth Maul G1, zDN Sidious zSavage Sith Marauder",0
"Leftty",1,1,149642,GL Rey,"zzzzzRey JTR BB-8 Holdo zRH Finn",1
"Leftty",0,1,132625,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Leftty",1,0,115799,CLS,"zzzCLS zHan zzChewbacca R2-D2 Chewpio",1
"Leftty",,,470943,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Leftty",0,1,109147,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Leftty",1,0,107948,Traya,"zzTraya DN Sion zzEP zThrawn",1
"Leftty",1,0,101570,Troopers,"zVeers zPiett Gideon Dark Trooper, Range Trooper",1
"Leftty",1,1,107159,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Leftty",1,1,86370,Carth,"Carth Onasi, Mission Zaalbar zVandor Chewbacca G9, Canderous G8",1
"Leftty",0,1,136022,BH,"zzBossk zGreef Boba zThe Mandalorian, Dengar",1
"Leftty",0,1,131034,FO,"zzKRU zKylo FOST FOE zHux",1
"Leftty",0,1,109089,Phoenix,"Hera Ezra zKanan Sabine zCaptain Rex",1
"Leftty",1,0,101522,Wampa (Counter),"Rex zzWampa Visas HYoda FOO",1
"Leftty",,,114353,Grievous Omicron,"zGG B2 zB1 MagnaGuard Droideka",0
"Leftty",,,398994,HansMF,"Home One, Han's MF, Rebel Y-wing 5*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",0
"Leftty",1,1,107048,NS,"MT AV Daka Zombie Spirit",0
"Leftty",,,90259,Nute-Wat,"Nute Dooku Wat Tambor 6*, Jango Nest G6",0
"Leftty",,,61502,Iden Troopers,"Iden Versio, Stormtrooper G8, Snowtrooper 5* G8, Magma G8, DT G9",0
"Leftty",1,0,74303,Wiggs,"Wedge Biggs Leia Chirrut 5* G8, Baze 6* G8",0
"Leftty",1,0,54555,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger 6* G9, Jawa 6* Dathcha G9",0
"Valektra Jetberg",1,1,161322,GL Rey,"zzzzzzRey zzzJTR BB-8 zRH Poe, zRH Finn",1
"Valektra Jetberg",1,0,138581,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Valektra Jetberg",,,398761,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Valektra Jetberg",1,1,104486,Revan,"zzzJKR zBS zGMY zJolee GK",1
"Valektra Jetberg",1,1,99743,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Valektra Jetberg",1,1,93406,Carth,"Carth Onasi, zMission zZaalbar zJuhani Canderous",1
