Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Millz20",684712353,-4,5447032,3121058,2325974,134,317,128,446,1967074,1153197,110,12,355,3,192,56,72,100,106,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,13,7,5
"Bakufett",152667675,-4,5335444,3032994,2302450,131,74,32,339,1727639,1301802,96,12,226,0,192,29,50,86,101,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,9,8
"Jannah Longo",482599677,-5,5387964,3146591,2241373,140,-85,72,355,1664261,1471986,81,12,247,1,194,34,56,86,102,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,8,6,3
"The JLS",647474141,-4,5493395,3312047,2181348,151,-38,56,296,1781181,1503518,97,11,194,1,209,29,36,88,100,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,12,9,7
"Zar Anduli",889632856,-5,7082198,4049992,3032206,133,19,239,324,2254916,1795076,123,20,225,0,258,23,53,132,159,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,21,11,11
"Millz",332392187,-5,6092571,3522177,2570394,137,-112,139,389,1845162,1676004,137,19,326,3,210,51,65,107,114,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,13,8,7
"Trav",146343631,-6,7148376,4154663,2993713,138,195,92,420,2486578,1653997,101,12,402,1,229,56,84,136,152,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,16,11,9
"lucathepuka",812752189,2,2722189,1515458,1206731,125,-551,65,280,629451,885556,42,3,102,1,94,13,23,33,44,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,5,3
"Untamed Sloth",741217131,-5,5008220,2764775,2243445,123,-255,60,319,1345027,1408047,96,11,115,0,194,12,54,83,94,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,15,10,8
"Naga Sadów",936392725,7,5505025,3133029,2371996,132,-151,170,405,1611448,1520567,106,14,252,0,199,31,68,105,126,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12,4,6
"MINI Techno Union",648966762,2,4939260,3044749,1894511,160,-202,129,345,1528299,1516450,91,13,208,1,186,20,46,83,111,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,13,7,7
"Tantema Garnik",788233588,-6,4281627,2670586,1611041,165,117,77,393,1547800,1115510,85,8,222,1,180,28,57,67,72,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,5,3
"Jose Longo",633696187,-5,7331454,4482600,2848854,157,242,58,366,2740824,1738683,146,16,352,2,253,58,70,128,146,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,18,10,8
"Gerehe Zosma",441557869,-2,6134551,3465777,2668774,129,-58,180,512,1862401,1602700,77,11,451,2,197,61,99,125,138,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,15,8,6
"Bski",938232767,-2,9092264,5307167,3785097,140,-13,362,552,2909046,2394289,183,32,800,5,273,116,155,187,198,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,22,6,9
"j13hall13",662956843,-2,6452301,3508300,2944001,119,-317,172,462,1660576,1847724,126,15,482,2,204,78,94,108,117,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,17,6,6
"YeeterSkeeter",819259195,-5,5354775,3244698,2110077,153,212,59,361,1959481,1282013,84,11,303,3,195,45,59,74,91,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,12,8,6
"wookieguy69",912381174,-1,7143356,3983470,3159886,126,-37,259,407,2157777,1818712,132,19,381,3,250,51,83,132,149,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,22,11,8
"SirSchuSchu",863647631,-5,8571307,5094598,3476709,146,72,259,483,2899918,2189637,163,22,612,4,268,84,130,162,187,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,22,8,9
"Bobmaloogax5",993486218,-5,6396734,4185811,2210923,189,20,68,467,2330136,1852465,105,6,451,1,202,68,92,117,138,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,15,10,9
"canth reed",552172719,-10,4985758,2766403,2219355,124,173,106,560,1645540,1120863,41,2,393,1,193,52,91,110,112,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,9,6,5
"B",948356963,-5,6985359,4111449,2873910,143,142,159,488,2413835,1696590,101,14,457,2,245,58,109,141,157,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,19,10,8
"KingKrille",295729596,1,6255987,3716932,2539055,146,9,257,473,2060420,1656061,123,17,411,2,212,59,94,120,137,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,16,9,9
"Gloom Walker",516227655,-7,6732310,3673984,3058326,120,62,186,404,2084907,1589077,105,11,376,1,228,55,81,116,135,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,19,13,10
"Dark Shawi",144245956,-5,5031289,2963152,2068137,143,22,55,336,1651471,1310667,104,13,157,0,187,16,37,101,106,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,8,6
