Player,Ally Code,Current Gear Needed,Team
Trav,146343631,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Trav,146343631,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
Trav,146343631,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Trav,146343631,10,L1 Tuskens: Tusken Chieftain G10 5* Tusken Raider G9 Tusken Shaman Tusken Warrior G9 5* URoRRuR'R'R G10 6*
KingKrille,295729596,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
KingKrille,295729596,4,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
Willey,136186513,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Willey,136186513,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Willey,136186513,6,L0 BH: Boba Jango G2 Cad The Mandalorian Greedo
Stahzo,647615227,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Stahzo,647615227,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Stahzo,647615227,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Jannah Longo,482599677,5,L1 BH: Boba Jango G9 Cad The Mandalorian Greedo G10
wookieguy69,912381174,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
wookieguy69,912381174,3,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G9
wookieguy69,912381174,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Huff,712559452,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Huff,712559452,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
Kenn Skirata,446373369,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G12 Canderous Armorer
Kenn Skirata,446373369,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Kenn Skirata,446373369,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Tantema Garnik,788233588,4,L3 Old Republic: JKR BS Jolee Mission R1 Zaalbar R1
Tantema Garnik,788233588,3,L0 BH: Boba Jango Cad The Mandalorian G5 6* Greedo
