Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dark Shawi,144245956,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dark Shawi,144245956,0,0,0,Dooku+Asajj: Dooku AV
Dark Shawi,144245956,18,18,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Edd Vayder,895889781,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Edd Vayder,895889781,2,1,1,Troopers: Veers Piett Gideon G11 Dark Trooper Range Trooper
Edd Vayder,895889781,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Edd Vayder,895889781,4,1,3,Dooku+Asajj: Dooku G9 AV
leobeoskywalker,629835227,12,0,12,Geos: GBA G11 5* Poggle G7 Geo Soldier G11 Sun Fac G10 Geo Spy G9
The JLS,647474141,4,4,0,Dooku+Asajj: Dooku AV
The JLS,647474141,17,6,11,Grievous: GG B2 G9 B1 G7 Droideka G9 6* MagnaGuard
The JLS,647474141,16,12,4,Geos: GBA Poggle Geo Soldier Sun Fac G8 Geo Spy
Deafy,546658628,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Deafy,546658628,8,2,6,Dooku+Asajj: Dooku G8 6* AV G10
B,948356963,19,19,0,Grievous: GG B2 B1 Droideka MagnaGuard
B,948356963,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
B,948356963,17,14,3,Dooku+Asajj: Dooku G9 AV
YeeterSkeeter,819259195,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
YeeterSkeeter,819259195,16,6,10,Dooku+Asajj: Dooku G3 AV G11
SwgohIsDead,579754696,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
SwgohIsDead,579754696,2,0,2,Dooku+Asajj: Dooku G10 5* AV
Millz,332392187,13,13,0,Dooku+Asajj: Dooku AV
Millz,332392187,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Millz,332392187,2,0,2,Troopers: Veers Piett Gideon Dark Trooper G10 6* Range Trooper
Untamed Sloth,741217131,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Untamed Sloth,741217131,20,20,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Untamed Sloth,741217131,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Untamed Sloth,741217131,11,6,5,Dooku+Asajj: Dooku G7 AV
Kenn Skirata,446373369,18,18,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kenn Skirata,446373369,8,4,4,Dooku+Asajj: Dooku G8 AV
wookieguy69,912381174,6,6,0,Grievous: GG B2 B1 Droideka MagnaGuard
wookieguy69,912381174,8,6,2,Troopers: Veers Piett Starck G10 Dark Trooper Range Trooper
wookieguy69,912381174,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
wookieguy69,912381174,4,4,0,Dooku+Asajj: Dooku AV
Galaxy,137427682,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Galaxy,137427682,16,11,5,Troopers: Veers Piett Gideon G10 Dark Trooper G9 Range Trooper
Galaxy,137427682,20,0,20,Grievous: GG B2 G7 B1 G3 Nute G9 Wat Tambor G9
Galaxy,137427682,6,4,2,Dooku+Asajj: Dooku G10 AV
Leftty,564668226,17,15,2,Troopers: Veers Piett Gideon G11 Dark Trooper Range Trooper G11
Leftty,564668226,15,15,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Leftty,564668226,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Leftty,564668226,8,8,0,Dooku+Asajj: Dooku AV
Jose Longo,633696187,17,17,0,Grievous: GG B2 B1 Droideka MagnaGuard
Jose Longo,633696187,5,5,0,Dooku+Asajj: Dooku AV
Jose Longo,633696187,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jose Longo,633696187,17,2,15,Troopers: Veers G9 Piett Gideon G9 Dark Trooper G9 Range Trooper G6 5*
Goff,366158535,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Goff,366158535,2,1,1,Grievous: GG G11 5* B2 B1 Nute MagnaGuard
Goff,366158535,3,3,0,Dooku+Asajj: Dooku AV
lucathepuka,812752189,18,7,11,Dooku+Asajj: Dooku AV G1 3*
KingKrille,295729596,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
KingKrille,295729596,11,11,0,Dooku+Asajj: Dooku AV
KingKrille,295729596,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jannah Longo,482599677,11,11,0,Dooku+Asajj: Dooku AV
Jannah Longo,482599677,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthSkylar,998163772,1,1,0,Grievous: GG B2 B1 Droideka MagnaGuard
DarthSkylar,998163772,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
