Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Millz20,684712353,27,27,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Millz20,684712353,59,7,52,Jedi Master Luke Skywalker: Old Ben G13 JTR C-3PO Mon Mothma G5 Chewpio R1 JKL R5 R2-D2 R1 Han R3 Chewbacca R3 Rebel Y-wing 5* Leia G12 HYoda Wedge G12 Biggs G10 Lando R3
Millz20,684712353,40,40,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Millz20,684712353,41,0,41,Sith Eternal Emperor: EP Vader RG R1 Piett R1 Krennic G12 Sidious R1 Darth Maul R1 Dooku Sith Marauder G6 6* Imperial TIE Bomber 4* JKA Thrawn R5 Tarkin R1 Veers R1 Starck R1
Millz20,684712353,56,56,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Bakufett,152667675,29,0,29,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious G12 Darth Maul R3 Dooku R2 Sith Marauder G12 Imperial TIE Bomber JKA R3 Thrawn Tarkin Veers Starck G12
Gloom Walker,516227655,13,13,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Gloom Walker,516227655,58,14,44,Jedi Master Luke Skywalker: Old Ben R3 JTR G12 C-3PO Mon Mothma G8 5* Chewpio R4 JKL R2 R2-D2 G9 Han R3 Chewbacca R5 Rebel Y-wing Leia HYoda R3 Wedge Biggs Lando R4
Gloom Walker,516227655,28,5,23,Rey: JTR G12 R2-D2 C-3PO BB-8 G12 RT Scav Rey R5 Finn Poe Vet Chewbacca G11 Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
The JLS,647474141,3,3,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
