Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Millz20,684712353,13,13,0,GAS Special: GAS Ahsoka
Millz20,684712353,4,4,0,ROLO: ROLO Cpt Solo Han CLS Lando
Millz20,684712353,8,8,0,JKL: JKL HYoda GMY Jolee GK
Millz20,684712353,13,13,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Millz20,684712353,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Schmidty2318,419954121,9,9,0,GAS Special: GAS Ahsoka
Schmidty2318,419954121,0,0,0,JKL: JKL HYoda GMY JKR GK
Schmidty2318,419954121,13,13,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Schmidty2318,419954121,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Schmidty2318,419954121,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Schmidty2318,419954121,19,11,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Millz,332392187,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
wookieguy69,912381174,8,8,0,Finn: Finn RT RH Finn RH Poe JTR
wookieguy69,912381174,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
wookieguy69,912381174,0,0,0,JKL: JKL HYoda JMLS GK GAS
wookieguy69,912381174,19,5,14,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives R1
canth reed,552172719,1,0,1,Finn: Finn RT RH Finn RH Poe Poe
Leftty,564668226,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Leftty,564668226,7,0,7,GAS Special: GAS G9 5* Ahsoka
Leftty,564668226,1,0,1,ROLO: ROLO Cpt Solo Leia Chewbacca Lando
Zar Anduli,889632856,9,9,0,GAS Special: GAS Ahsoka
Zar Anduli,889632856,11,11,0,JKL: JKL HYoda GMY Jolee GK
Zar Anduli,889632856,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Zar Anduli,889632856,8,7,1,ROLO: ROLO Cpt Solo Han CLS Lando
j13hall13,662956843,6,6,0,GAS Special: GAS Ahsoka
j13hall13,662956843,7,7,0,JKL: JKL HYoda GMY Jolee GK
j13hall13,662956843,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
