Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Trav,146343631,33,33,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Trav,146343631,32,28,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 RG R3
Trav,146343631,36,0,36,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G10 6* Wrecker G8 5*
Dark Shawi,144245956,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn RG R3
canth reed,552172719,44,20,24,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G12
canth reed,552172719,22,6,16,CLS: CLS R3 C-3PO R1 Han R3 Chewbacca R3 Chewpio G12
Valektra Jetberg,661932482,27,21,6,CLS: CLS C-3PO Han R3 Chewbacca Chewpio R1
Valektra Jetberg,661932482,34,5,29,EP: EP G12 Mara Jade, The Emperor's Hand G8 Vader R4 Thrawn G12 Shoretrooper G12
KingKrille,295729596,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
KingKrille,295729596,1,1,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
KingKrille,295729596,7,7,0,CLS: CLS C-3PO Han Chewbacca Chewpio
KingKrille,295729596,49,0,49,Padme/BB: Padme Hunter G6 Echo G4 Tech G7 Wrecker G6
wookieguy69,912381174,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
wookieguy69,912381174,16,8,8,JMLS: JMLS JKL JKR R3 GMY G12 HYoda
wookieguy69,912381174,26,8,18,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Shoretrooper G12
wookieguy69,912381174,44,17,27,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G12 Gideon G9
Zar Anduli,889632856,10,8,2,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak
Zar Anduli,889632856,29,17,12,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio G12
Zar Anduli,889632856,40,15,25,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G12 Gideon G12
Zar Anduli,889632856,45,9,36,Padme/BB: Padme Hunter G9 Echo G9 Tech G10 Wrecker G8
CaptBlinky,152777395,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
