Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Millz20,684712353,67,67,0,138495,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gloom Walker,516227655,30,28,2,131761,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Bakufett,152667675,86,49,37,81210,Shaak Ti R4 Fives G12 Rex G11 Echo (501st) G12 ARC Trooper G1 4*
The JLS,647474141,53,22,31,105113,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G5
Zar Anduli,889632856,50,44,6,129547,Shaak Ti R4 Fives Rex R4 Echo (501st) R3 ARC Trooper R3
Jose Longo,633696187,26,18,8,130225,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper G12
Millz,332392187,66,15,51,63101,Shaak Ti G7 4* Fives G10 Rex G12 Echo (501st) G9 ARC Trooper G1 4*
Untamed Sloth,741217131,60,40,20,115720,Shaak Ti R1 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Naga Sadów,936392725,73,45,28,106164,Shaak Ti G12 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G12
Trav,146343631,30,30,0,152817,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Techno Union,648966762,46,32,14,119910,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
KingKrille,295729596,37,29,8,126674,Shaak Ti R3 Fives R3 Rex Echo (501st) R3 ARC Trooper R3
Jannah Longo,482599677,80,44,36,83580,Shaak Ti Fives G12 Rex G11 Echo (501st) G9 ARC Trooper G4 4*
lucathepuka,812752189,89,3,86,2817,Shaak Ti G1 2* Fives G1 3* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
B,948356963,40,40,0,139079,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tantema Garnik,788233588,76,26,50,72751,Shaak Ti Fives G12 Rex G4 Echo (501st) G6 ARC Trooper G0 0*
Dark Shawi,144245956,79,26,53,64255,Shaak Ti G1 5* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
blactastic,281334117,90,68,22,101794,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Bski,938232767,1,1,0,142614,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gerehe Zosma,441557869,66,35,31,82260,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
YeeterSkeeter,819259195,81,7,74,34514,Shaak Ti G1 5* Fives G5 Rex G7 Echo (501st) G3 ARC Trooper G0 0*
Stahzo,647615227,62,50,12,121549,Shaak Ti G12 Fives Rex Echo (501st) R3 ARC Trooper R1
j13hall13,662956843,47,41,6,128918,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Bobmaloogax5,993486218,18,18,0,143831,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SirSchuSchu,863647631,21,21,0,139352,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Valektra Jetberg,661932482,84,28,56,54435,Shaak Ti G12 Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G1 4*
Leftty,564668226,66,36,30,85629,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G9 ARC Trooper G9
DarthSkylar,998163772,45,7,38,67520,Shaak Ti G12 Fives G10 Rex G11 Echo (501st) G9 ARC Trooper G10 6*
PrimarchHades,793647289,26,4,22,118537,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) R1 ARC Trooper
wookieguy69,912381174,41,17,24,113139,Shaak Ti R3 Fives R1 Rex G12 Echo (501st) G12 ARC Trooper G12
Edd Vayder,895889781,0,0,0,144697,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Goff,366158535,66,1,65,24432,Shaak Ti G1 4* Fives G8 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Thavinpearce,494298674,55,17,38,78975,Shaak Ti R2 Fives G12 Rex G11 Echo (501st) G9 ARC Trooper G5 5*
XMilitary,257197713,9,1,8,127660,Shaak Ti R4 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R4
Ben,585336214,46,14,32,77877,Shaak Ti G7 6* Fives G11 Rex R4 Echo (501st) G12 ARC Trooper G11
Huff,712559452,66,24,42,63079,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
SwgohIsDead,579754696,70,0,70,31313,Shaak Ti G1 2* Fives G8 Rex G10 Echo (501st) G1 3* ARC Trooper G0 0*
leobeoskywalker,629835227,43,1,42,73212,Shaak Ti G1 2* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
Obi Wonton,664489794,80,0,80,12648,Shaak Ti G1 4* Fives G7 Rex G1 6* Echo (501st) G1 5* ARC Trooper G0 0*
Galaxy,137427682,34,4,30,92646,Shaak Ti R1 Fives G10 Rex G12 Echo (501st) G12 ARC Trooper G12
SK74,377498924,69,1,68,26271,Shaak Ti G1 4* Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G0 0*
Willey,136186513,48,18,30,98140,Shaak Ti R4 Fives G12 Rex R4 Echo (501st) R1 ARC Trooper G0 0*
Peepeepoopooman,827513585,83,5,78,17405,Shaak Ti G0 0* Fives G5 Rex G6 Echo (501st) G1 3* ARC Trooper G0 0*
BuLeo,739713814,81,16,65,21200,Shaak Ti G3 3* Fives G7 6* Rex G8 6* Echo (501st) G7 5* ARC Trooper G0 0*
canth reed,552172719,90,46,44,57556,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G1 6* ARC Trooper G1 4*
Deafy,546658628,64,10,54,50860,Shaak Ti G9 Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G1 4*
Kenn Skirata,446373369,60,32,28,86897,Shaak Ti Fives R1 Rex R1 Echo (501st) G9 ARC Trooper G7
