Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
микаким,292677973,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
микаким,292677973,0,0,0,Dooku+Asajj: Dooku AV
микаким,292677973,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
J Croft,741411986,17,4,13,Grievous: GG B2 G9 B1 G8 Droideka G9 MagnaGuard G9
J Croft,741411986,0,0,0,Dooku+Asajj: Dooku AV
J Croft,741411986,18,0,18,Troopers: Veers G10 Piett G8 6* Gideon G8 Dark Trooper G8 6* Range Trooper G8
J Croft,741411986,17,1,16,Geos: GBA G9 Poggle G8 Geo Soldier G11 Sun Fac G8 Geo Spy G8
Shadowtrap,337228443,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Shadowtrap,337228443,0,0,0,Dooku+Asajj: Dooku AV
Shadowtrap,337228443,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ashla Bogan,378192553,16,3,13,Grievous: GG B2 G8 B1 G9 Nute G9 MagnaGuard G9
Ashla Bogan,378192553,0,0,0,Dooku+Asajj: Dooku AV
Ashla Bogan,378192553,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ashla Bogan,378192553,20,4,16,Troopers: Veers G11 Piett G10 5* Starck G9 Dark Trooper G7 6* Range Trooper G7 6*
