Player,Offense,Defense,GP,Name,Squad,Viable
"JAXDEN",,,190898,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"JAXDEN",,,182347,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"JAXDEN",,,124732,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"JAXDEN",,,192249,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"JAXDEN",1,1,171322,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"JAXDEN",1,1,174031,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"JAXDEN",1,1,120795,NS,"zzMT zzAV zDaka Zombie Spirit",1
"JAXDEN",,,591237,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"JAXDEN",,,174683,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"JAXDEN",1,0,164855,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"JAXDEN",,,138524,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"JAXDEN",,,529867,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"JAXDEN",,,438966,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"JAXDEN",1,0,127598,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"JAXDEN",,,120669,Mon Mothma,"zzMon Mothma, zzCaptain Drogan, Biggs Pao Wedge",1
"JAXDEN",1,1,95227,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"JAXDEN",1,0,154750,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"JAXDEN",0,1,154798,BH,"zzBossk zDengar zBoba zzThe Mandalorian, zzJango",1
"JAXDEN",1,1,102715,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"JAXDEN",0,1,117336,Phoenix,"zHera zEzra zKanan zSabine zzCaptain Rex",1
"JAXDEN",1,0,129683,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"JAXDEN",1,0,23589,NestSolo (Counter),"zNest",1
"JAXDEN",0,1,112311,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"JAXDEN",,,73758,Iden Troopers,"zIden Versio, Stormtrooper Snowtrooper G9, Magma G3, DT",0
"JAXDEN",1,0,97374,Troopers,"Veers Starck Scout Trooper, zDark Trooper 6* G9, Gideon 6* G9",0
"JAXDEN",,,122050,Bad Batch,"zHunter zEcho zzOmega G9, zTech zWrecker",0
"JAXDEN",1,1,52849,Rogue1,"Jyn G6, Chirrut G1, Baze G7, Cassian G3, Bodhi Rook G7",0
"JAXDEN",1,0,67464,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G7, Jawa Dathcha G7",0
"Ryzilio",,,123685,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Ryzilio",1,1,155098,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Ryzilio",1,1,168500,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zHoldo zRH Finn",1
"Ryzilio",,,555886,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ryzilio",1,0,147999,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Ryzilio",0,1,133960,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Ryzilio",,,132690,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
