Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Gorgatron",369351434,11,11055590,6630745,4424845,149,-21,618,579,3601830,3000276,282,35,1077,8,316,153,194,231,238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,8,12
"Waldo",288837662,-5,7246071,4173444,3072627,135,130,163,411,2432559,1738028,148,9,465,3,249,58,93,112,132,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,19,10,8
"Tag1turn2",586129226,-6,9739124,5719899,4019225,142,-43,338,496,3085349,2626153,229,20,793,7,291,111,149,176,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,9,11
"Easy E",221724179,-6,7903392,4634701,3268691,141,246,74,341,2826137,1791784,163,5,269,1,295,38,78,138,153,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,20,12,9
"Obi Bells",926869286,2,9613533,5759070,3854463,149,-13,297,492,3144565,2597617,251,22,728,7,293,94,145,183,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,24,8,10
"Busan Kaz",249938994,-3,10305395,6098787,4206608,144,-4,273,523,3337373,2732217,255,24,805,7,308,112,158,220,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27,8,11
"JAXDEN",791163596,-5,9899475,6115964,3783511,161,-14,321,540,3339844,2761596,244,31,938,7,297,128,163,184,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22,7,10
"Frankie",441226825,2,9332360,5476891,3855469,142,-83,320,556,2900382,2569879,221,17,835,7,287,110,166,186,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,10,10
"DarthKevin",519821548,-4,8129583,4747598,3381985,140,87,268,448,2718344,2029254,176,12,577,4,260,86,109,140,178,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,22,9,11
"Raiders",896535542,-5,9034271,5274670,3759601,140,-233,133,532,2601002,2672992,220,14,799,5,289,115,151,170,180,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,25,8,10
"Beats4dayz",738694156,-5,8285076,5571125,2713951,205,65,199,543,3154903,2409214,237,9,641,4,264,76,134,188,202,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,24,11,11
