Player,Ally Code,Current Gear Needed,Team
Sherman8erx,797288318,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Sherman8erx,797288318,2,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo
Sherman8erx,797288318,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Sherman8erx,797288318,5,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman Tusken Warrior G10 URoRRuR'R'R
Dannyslr,172647166,4,L3 Maul: Maul R2 The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer R2
Dannyslr,172647166,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Dannyslr,172647166,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
RoswaalPKMathers2,986618828,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
RoswaalPKMathers2,986618828,4,L2 BH: Boba G12 Jango Cad G12 The Mandalorian Embo
RoswaalPKMathers2,986618828,5,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger G11 Dathcha G10 Jawa G10
RoswaalPKMathers2,986618828,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 2* URoRRuR'R'R
Klaatu Toht,476121194,8,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G8 6* Canderous Armorer G8 6*
Klaatu Toht,476121194,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Klaatu Toht,476121194,2,L2 BH: Boba Jango Cad G12 The Mandalorian Embo
Klaatu Toht,476121194,4,L2 Jawas: Nebit Jawa Engineer G12 Jawa Scavenger G12 Dathcha Jawa
Klaatu Toht,476121194,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7 6*
Pad'wan Liaf,387834279,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
Pad'wan Liaf,387834279,11,L0 Maul: Maul G1 Sabine Bo-Katan Canderous Armorer G4 6*
Pad'wan Liaf,387834279,7,L0 BH: Boba Jango Cad The Mandalorian Greedo G1
LetTheWookieWin,964467523,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
LetTheWookieWin,964467523,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
LetTheWookieWin,964467523,8,L1 Tuskens: Tusken Chieftain G11 Tusken Raider Tusken Shaman G8 Tusken Warrior G9 URoRRuR'R'R
LetTheWookieWin,964467523,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G7
LetTheWookieWin,964467523,28,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger G1 Dathcha G1 Jawa
