Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Whitezilla,123158749,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Whitezilla,123158749,12,12,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Whitezilla,123158749,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Whitezilla,123158749,12,12,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DaveSkywalker,438297254,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
DaveSkywalker,438297254,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DaveSkywalker,438297254,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DaveSkywalker,438297254,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
DaveSkywalker,438297254,14,14,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rick Sher Wood,635327491,0,0,0,Seps (1%): Dooku Jango MagnaGuard AV GBA
Rick Sher Wood,635327491,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Rick Sher Wood,635327491,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Rick Sher Wood,635327491,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Rick Sher Wood,635327491,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Rick Sher Wood,635327491,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Drakorhuin,184851337,31,31,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Starck
Drakorhuin,184851337,20,20,0,Seps (1%): Dooku Jango Sun Fac GBA Geo Spy
Drakorhuin,184851337,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Drakorhuin,184851337,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Drakorhuin,184851337,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Zeta,999133947,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Zeta,999133947,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zeta,999133947,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Zeta,999133947,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Zeta,999133947,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MasterMiller,851324396,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
MasterMiller,851324396,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
MasterMiller,851324396,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MasterMiller,851324396,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MasterMiller,851324396,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
shausrath,944524846,33,33,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
shausrath,944524846,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
FrogMan,687277858,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
FrogMan,687277858,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sherman8erx,797288318,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Sherman8erx,797288318,2,2,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Frankie,441226825,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Frankie,441226825,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Frankie,441226825,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Frankie,441226825,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Frankie,441226825,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Frankie,441226825,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frankie,441226825,0,0,0,SEE P1 5%: SEE Malak EP Darth Talon Sith Marauder
Frankie,441226825,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Frankie,441226825,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Busan Kaz,249938994,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Busan Kaz,249938994,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Busan Kaz,249938994,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
Busan Kaz,249938994,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Busan Kaz,249938994,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Busan Kaz,249938994,0,0,0,Seps (1%): Dooku Jango Nute MagnaGuard GG
serChetnik,279986735,0,0,0,JKL + JML (6%): JKL JMLS Jolee Mace Old Ben
serChetnik,279986735,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
serChetnik,279986735,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
serChetnik,279986735,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
serChetnik,279986735,0,0,0,Seps (1%): Dooku Jango Nute GG GBA
serChetnik,279986735,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
serChetnik,279986735,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Darth Talon Sith Marauder
RevNon,525662462,0,0,0,SEE P1 5%: SEE Malak Vader Darth Talon Sith Marauder
RevNon,525662462,0,0,0,Seps (1%): Dooku Jango Nute MagnaGuard GG
RevNon,525662462,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
RevNon,525662462,6,6,0,JMK (8%): JMK GK Ahsoka CAT GAS
RevNon,525662462,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Tharius Dawnbreaker,554516524,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Tharius Dawnbreaker,554516524,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Tharius Dawnbreaker,554516524,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Tharius Dawnbreaker,554516524,16,16,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tharius Dawnbreaker,554516524,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Tharius Dawnbreaker,554516524,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TheyCallMeMrB,823529494,33,33,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
