Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Gorgatron,369351434,0,0,0,158465,Padme JKA Ahsoka GK GMY
Waldo,288837662,14,0,14,122106,Padme R4 JKA G12 Ahsoka R4 GK GMY G12
Busan Kaz,249938994,1,0,1,154278,Padme JKA Ahsoka R4 GK GMY
Obi Bells,926869286,4,2,2,148239,Padme R4 JKA Ahsoka R4 GK GMY
Tag1turn2,586129226,0,0,0,149662,Padme JKA Ahsoka GK GMY
Easy E,221724179,2,0,2,141068,Padme JKA Ahsoka GK GMY R3
JAXDEN,791163596,0,0,0,160672,Padme JKA Ahsoka GK GMY
Raiders,896535542,3,3,0,159096,Padme JKA Ahsoka GK GMY
serChetnik,279986735,3,3,0,154645,Padme JKA Ahsoka GK GMY
Whitezilla,123158749,0,0,0,159414,Padme JKA Ahsoka GK GMY
DarthKevin,519821548,4,2,2,144436,Padme R4 JKA R4 Ahsoka GK GMY
Frankie,441226825,0,0,0,148203,Padme JKA Ahsoka GK GMY
Tau Beta,454169494,10,8,2,146483,Padme R3 JKA Ahsoka GK GMY
TheyCallMeMrB,823529494,79,68,11,123846,Padme JKA Ahsoka GK GMY G7
YodaRoy,343537915,7,7,0,151170,Padme JKA Ahsoka GK GMY
Beats4dayz,738694156,0,0,0,154886,Padme JKA Ahsoka GK GMY
Ahhhchhoooo,233943766,11,11,0,140823,Padme JKA Ahsoka GK GMY
Pro Bono,747932311,10,8,2,154834,Padme JKA Ahsoka R3 GK GMY
Rick Sher Wood,635327491,9,9,0,156960,Padme JKA Ahsoka GK GMY
Tryptamine,196559132,0,0,0,147793,Padme JKA Ahsoka GK GMY
Samus,469558863,36,36,0,147374,Padme JKA Ahsoka GK GMY
Zeta,999133947,18,12,6,146610,Padme G12 JKA Ahsoka GK GMY
Dawnbreaker,895889781,49,49,0,145000,Padme JKA Ahsoka GK GMY
Kozisms formerly owen,834478884,0,0,0,161125,Padme JKA Ahsoka GK GMY
DaveSkywalker,438297254,2,2,0,149088,Padme JKA Ahsoka GK GMY
Tharius Dawnbreaker,554516524,31,31,0,135854,Padme JKA Ahsoka GK GMY
LegistheBEAST,763257271,0,0,0,149148,Padme JKA Ahsoka GK GMY
Bradshoe02,816917778,30,22,8,128724,Padme R3 JKA Ahsoka GK GMY G12
Drakorhuin,184851337,58,52,6,127602,Padme JKA Ahsoka GK GMY G12
FrogMan,687277858,35,24,11,136299,Padme R3 JKA R3 Ahsoka G11 GK GMY
LetTheWookieWin,964467523,6,6,0,142228,Padme JKA Ahsoka GK GMY
Pvaulter175,182511842,13,13,0,144945,Padme JKA Ahsoka GK GMY
MasterMiller,851324396,6,6,0,144620,Padme JKA Ahsoka GK GMY
Nick,444371281,1,0,1,149720,Padme R4 JKA Ahsoka GK GMY
shausrath,944524846,38,6,32,97041,Padme G7 JKA Ahsoka G12 GK G12 GMY G9
AndyJediDude,256488565,0,0,0,146700,Padme JKA Ahsoka GK GMY
Sherman8erx,797288318,14,0,14,120569,Padme JKA G12 Ahsoka G12 GK GMY R3
The Hawk 28,238562913,6,0,6,133149,Padme JKA G12 Ahsoka GK GMY
Giran Ozzel,392189276,27,5,22,110168,Padme G8 JKA Ahsoka R4 GK R3 GMY G9
Ryzilio,626639748,36,30,6,128024,Padme JKA Ahsoka GK GMY G12
Troan Ziroc,542169378,9,0,9,128020,Padme JKA G12 Ahsoka R3 GK GMY R4
RevNon,525662462,2,2,0,158927,Padme JKA Ahsoka GK GMY
EthanDB123,927925635,24,0,24,110243,Padme G12 JKA G12 Ahsoka G12 GK GMY G12
Fosachi Walker,295449912,1,0,1,142605,Padme JKA R4 Ahsoka GK GMY
ST2618,514475855,9,8,1,148989,Padme R4 JKA Ahsoka GK GMY
KLUTCHxPLAGUEIS,227646131,14,6,8,131144,Padme R3 JKA Ahsoka G12 GK GMY
Dawnstriker,716135386,0,0,0,135655,Padme JKA Ahsoka GK GMY
Enterthez,667311672,18,13,5,140433,Padme JKA Ahsoka R4 GK GMY R1
FrostyTacos,526353323,17,1,16,117211,Padme R3 JKA Ahsoka G12 GK R4 GMY G11
White Devil,834598883,21,21,0,154606,Padme JKA Ahsoka GK GMY
