Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Pad'wan Liaf,387834279,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Pad'wan Liaf,387834279,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Pad'wan Liaf,387834279,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Pad'wan Liaf,387834279,6,0,6,Troopers: Veers Piett Gideon G13 Dark Trooper G13 Range Trooper
Pad'wan Liaf,387834279,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Pad'wan Liaf,387834279,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Pad'wan Liaf,387834279,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Pad'wan Liaf,387834279,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Fosachi Walker,295449912,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Fosachi Walker,295449912,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Fosachi Walker,295449912,2,2,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Fosachi Walker,295449912,32,31,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Fosachi Walker,295449912,4,3,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Fosachi Walker,295449912,1,0,1,Negotiator: Negotiator BTL-B Y-wing 5* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Fosachi Walker,295449912,20,19,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Fosachi Walker,295449912,1,0,1,Malevolence: Malevolence 6* Hyena Bomber 5* Vulture Droid 3* Sun Fac SF Soldier SF Spy SF
Fosachi Walker,295449912,45,12,33,Troopers: Veers G12 Piett G12 Starck G12 Dark Trooper G8 Range Trooper G3 6*
Sherman8erx,797288318,8,4,4,padme: Padme GK JKA Ahsoka Tano (Snips) G12 C-3PO
Sherman8erx,797288318,16,16,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Sherman8erx,797288318,8,0,8,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier Geo Spy Poggle G12
Sherman8erx,797288318,38,38,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Sherman8erx,797288318,15,15,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Sherman8erx,797288318,8,0,8,GAS: GAS Rex Echo (501st) G12 Fives ARC Trooper G12
Sherman8erx,797288318,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Sherman8erx,797288318,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Sherman8erx,797288318,1,0,1,Malevolence: Malevolence Hyena Bomber Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
Kozisms formerly owen,834478884,1,1,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Kozisms formerly owen,834478884,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Kozisms formerly owen,834478884,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Kozisms formerly owen,834478884,1,1,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Kozisms formerly owen,834478884,1,1,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Kozisms formerly owen,834478884,14,0,14,Geonosians Omicron: GBA Sun Fac R1 Geo Soldier G12 Geo Spy G12 Poggle G12
