Player,Offense,Defense,GP,Name,Squad,Viable
"vilanox",,,175833,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"vilanox",,,121920,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"vilanox",1,1,157611,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"vilanox",1,1,169338,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"vilanox",1,1,117128,NS,"zzMT zzAV zDaka Zombie Spirit",1
"vilanox",1,0,140346,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"vilanox",0,1,134845,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"vilanox",,,130714,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"vilanox",,,514520,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"vilanox",,,338060,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"vilanox",0,1,116099,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"vilanox",,,134764,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"vilanox",,,443873,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"vilanox",1,0,125701,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"vilanox",1,0,107350,Troopers,"zVeers zzPiett Gideon Dark Trooper, Range Trooper",1
"vilanox",,,494766,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"vilanox",,,91322,Mon Mothma,"Mon Mothma, Chirrut Cara Dune, Wedge Bistan",1
"vilanox",1,1,132315,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"vilanox",1,1,113516,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"vilanox",0,1,147392,BH,"zzBossk zBoba zzJango zDengar zIG-88",1
"vilanox",1,1,112805,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"vilanox",0,1,98891,Phoenix,"zHera zEzra zKanan zZeb zSabine",1
"vilanox",,,124459,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"vilanox",1,0,86096,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"vilanox",1,0,19390,NestSolo (Counter),"zNest",1
"vilanox",,,86171,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma G8, zDT",0
"Ryza",,,180494,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Ryza",,,180645,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zzNinth Sister",1
"Ryza",,,123166,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Ryza",1,1,169311,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Ryza",,,183231,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Ryza",1,1,173619,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zRH Finn",1
"Ryza",,,567196,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ryza",,,191814,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Ryza",1,0,162636,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Ryza",,,141827,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Ryza",1,1,112018,NS_Alt,"zzMT zzAV Zombie Talia zDaka",1
"Ryza",0,1,105592,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ryza",,,527572,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Ryza",1,0,125548,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Ryza",,,115123,Mon Mothma,"zzMon Mothma, Chirrut zCara Dune, Wedge Biggs",1
"Ryza",1,1,135620,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Ryza",0,1,153495,BH,"zzBossk zBoba zzJango zDengar zZam",1
"Ryza",1,1,105564,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Ryza",1,0,131437,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka Tano (Snips)",1
"Ryza",1,0,140187,Troopers,"zVeers zStarck zDT zIden Versio, zzScout Trooper",1
"Ryza",0,1,136119,Phoenix,"zHera zEzra zKanan zSabine zzCaptain Rex",1
"Ryza",,,122532,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Ryza",1,0,130406,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"Ryza",,,92425,Admiral Raddus,"zzAdmiral Raddus G9, zCassian G8, zzJyn Baze Bistan",0
"Ryza",,,493387,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170 6*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Ryza",,,86343,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar 6* G7, zNest G7, zIG-11 G7, zKuiil",0
"Ryza",1,0,70151,Jawas,"Nebit Jawa Engineer G8, Jawa Scavenger G7, Jawa G9, Dathcha G8",0
"tallon karrde",,,177467,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"tallon karrde",,,168568,LV,"zzzzzzLord Vader, zPiett zzzVader RG zNinth Sister",1
"tallon karrde",,,435426,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"tallon karrde",,,163295,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"tallon karrde",,,569900,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"tallon karrde",1,0,156079,CLS,"zzzCLS zHan zChewbacca zzC-3PO Chewpio",1
"tallon karrde",0,1,119101,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"tallon karrde",,,129542,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"tallon karrde",1,1,98846,NS_Alt,"zMT zAV Zombie zDaka Merrin",1
"tallon karrde",,,489771,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"tallon karrde",,,308643,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"tallon karrde",0,1,95680,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"tallon karrde",,,132987,JKL,"zzJKL zzzJKR zHYoda Old Ben, Aayla",1
"tallon karrde",1,0,114527,Traya,"zzTraya DN Sion Dooku zThrawn",1
"tallon karrde",1,1,119497,JTR,"zzJTR Scav Rey, BB-8 zzR2-D2 Finn",1
"tallon karrde",,,116866,Mon Mothma,"zzMon Mothma, zCara Dune, zPao Scarif Bistan",1
"tallon karrde",1,1,94992,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"tallon karrde",1,0,150974,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives ARC Trooper",1
