Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Biuejed",478284627,-3,6250311,3793659,2456652,154,136,82,454,2221346,1569663,123,2,430,3,227,64,88,110,129,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,18,9,8
"DarthSmellyPants",244322114,-6,8026234,4881170,3145064,155,-58,150,514,2623945,2254575,164,16,666,5,263,96,131,149,165,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,21,10,9
"TrippyWolverine",622373122,-4,7061348,4323543,2737805,157,316,159,556,2725725,1597818,152,16,586,3,222,89,123,153,158,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,18,10,8
"Dark Helmet",693159347,-6,9133061,5408888,3724173,145,4,125,502,2992392,2415820,236,23,611,5,291,83,142,195,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,28,9,14
"Krooked",115786486,-6,9133788,5438095,3695693,147,57,107,544,3061023,2342578,209,19,745,3,273,94,162,186,197,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,25,10,10
"Gauch",535656376,-3,8709422,5172976,3536446,146,15,198,428,2859351,2283465,194,16,565,5,284,78,115,145,178,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,25,10,11
"Seasu Gohay",241156488,-8,9058874,5378851,3680023,146,50,326,482,3035357,2339731,211,19,616,4,295,62,142,172,190,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,26,8,10
"PapaBear",831926647,-5,6885654,4290307,2595347,165,40,149,515,2405154,1872108,107,0,510,2,232,77,113,140,168,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,19,10,10
"Dannyslr",172647166,0,7356240,4212249,3143991,133,-60,165,523,2262836,1948962,171,13,592,4,232,77,129,138,145,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,18,10,11
"Guihori",639674374,-8,9121919,5211910,3910009,133,-88,412,502,2764393,2447517,224,30,705,4,263,93,136,181,192,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,26,9,10
