Player,Ally Code,Current Gear Needed,Team
HandSolo,178539855,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R2 Armorer R2
HandSolo,178539855,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
HandSolo,178539855,1,L2 BH: Boba Jango Cad The Mandalorian Embo G13
HandSolo,178539855,2,L2 Tuskens: Tusken Chieftain G13 Tusken Raider Tusken Shaman G13 Tusken Warrior URoRRuR'R'R
HandSolo,178539855,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
popo,724664337,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
popo,724664337,1,L1 BH: Boba Jango Cad The Mandalorian G11 Embo
popo,724664337,10,L1 Jawas: Nebit G8 Jawa Engineer G10 Jawa Scavenger G10 Dathcha G11 Jawa G11
Giran Kenorftp,676797621,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
Giran Kenorftp,676797621,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Giran Kenorftp,676797621,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Giran Kenorftp,676797621,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 6*
Nomagio,833418168,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
Nomagio,833418168,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
Nomagio,833418168,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Nomagio,833418168,8,L1 Tuskens: Tusken Chieftain G9 6* Tusken Raider Tusken Shaman G10 Tusken Warrior G9 URoRRuR'R'R
Nomagio,833418168,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
PapaBear,831926647,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
PapaBear,831926647,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
PapaBear,831926647,3,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha Jawa
PapaBear,831926647,1,L0 Tuskens: Tusken Chieftain 2* Tusken Raider Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R 6*
Seasu Gohay,241156488,2,L3 Old Republic: JKR BS Jolee Mission R2 Zaalbar R2
Seasu Gohay,241156488,7,L4 BH: Boba Jango R3 Cad R3 The Mandalorian R3 Greedo R4
