Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JAXDEN,791163596,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JAXDEN,791163596,0,0,0,Dooku+Asajj: Dooku AV
JAXDEN,791163596,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JAXDEN,791163596,8,0,8,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G7 6*
Crusader5454,884293376,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Crusader5454,884293376,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Crusader5454,884293376,0,0,0,Dooku+Asajj: Dooku AV
Crusader5454,884293376,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TomTel,454615177,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TomTel,454615177,0,0,0,Dooku+Asajj: Dooku AV
TomTel,454615177,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TomTel,454615177,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Haus Junge,687721517,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Haus Junge,687721517,0,0,0,Dooku+Asajj: Dooku AV
Haus Junge,687721517,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Haus Junge,687721517,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Bluejed,478284627,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bluejed,478284627,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bluejed,478284627,1,0,1,Dooku+Asajj: Dooku G11 AV
Klass Lynder,317336774,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Klass Lynder,317336774,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Klass Lynder,317336774,0,0,0,Dooku+Asajj: Dooku AV
Klass Lynder,317336774,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Andhur P'hul,625285383,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Andhur P'hul,625285383,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Andhur P'hul,625285383,0,0,0,Dooku+Asajj: Dooku AV
Andhur P'hul,625285383,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JasTarter Too,234764733,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
