Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
HandSolo,178539855,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
HandSolo,178539855,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
HandSolo,178539855,0,0,0,JKL: JKL HYoda GMY Jolee GK
HandSolo,178539855,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Seasu Gohay,241156488,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Seasu Gohay,241156488,0,0,0,JKL: JKL HYoda GMY Jolee GK
Seasu Gohay,241156488,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Seasu Gohay,241156488,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Seasu Gohay,241156488,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Seasu Gohay,241156488,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Cedaric,977916599,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Cedaric,977916599,0,0,0,JKL: JKL HYoda GMY JKR GK
Cedaric,977916599,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Cedaric,977916599,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Cedaric,977916599,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Cedaric,977916599,15,0,15,ROLO: ROLO Cpt Solo Leia Baze G1 Lando
Pad'wan Liaf,387834279,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Pad'wan Liaf,387834279,0,0,0,JKL: JKL HYoda GMY JKR GK
Pad'wan Liaf,387834279,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Pad'wan Liaf,387834279,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Pad'wan Liaf,387834279,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
kvh,529261219,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
kvh,529261219,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
kvh,529261219,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
kvh,529261219,16,8,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
kvh,529261219,16,4,12,JKL: JKL HYoda GMY G12 JKR G12 Jolee G12
kvh,529261219,4,0,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
0duin,968657684,4,4,0,GAS Special: GAS Ahsoka Tano (Snips)
0duin,968657684,8,8,0,JKL: JKL HYoda GMY Jolee GK
0duin,968657684,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
0duin,968657684,16,16,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
0duin,968657684,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
0duin,968657684,9,5,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
MajorAMD,497211137,4,0,4,GAS Special: GAS Ahsoka Tano (Snips) G12
MajorAMD,497211137,11,0,11,ROLO: ROLO G11 Cpt Solo G10 Leia CLS Lando
MajorAMD,497211137,12,0,12,Shaak Ti: Shaak Ti G12 Rex Echo (501st) G12 ARC Trooper G12 Fives
MINI NateTheGnat,572834477,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
MINI NateTheGnat,572834477,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
MINI NateTheGnat,572834477,0,0,0,JKL: JKL HYoda GMY JKR GK
MINI NateTheGnat,572834477,15,0,15,Shaak Ti: Shaak Ti G9 Rex Echo (501st) G12 ARC Trooper G12 Fives
Gpa luis,544653239,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Gpa luis,544653239,0,0,0,JKL: JKL HYoda GMY Jolee GK
Gpa luis,544653239,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Gpa luis,544653239,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Gpa luis,544653239,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Anthony,326626288,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Anthony,326626288,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Anthony,326626288,0,0,0,JKL: JKL HYoda GMY Jolee GK
Anthony,326626288,8,0,8,Shaak Ti: Shaak Ti Rex G12 Echo (501st) ARC Trooper Fives G12
TrippyWolverine,622373122,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
TrippyWolverine,622373122,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
TrippyWolverine,622373122,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
TrippyWolverine,622373122,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
TrippyWolverine,622373122,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
TrippyWolverine,622373122,13,5,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
StatedBerry4478,515525581,4,0,4,GAS Special: GAS Ahsoka Tano (Snips) G12
StatedBerry4478,515525581,12,0,12,Shaak Ti: Shaak Ti G12 Rex Echo (501st) G12 ARC Trooper G12 Fives
Giran Kenorftp,676797621,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Giran Kenorftp,676797621,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Giran Kenorftp,676797621,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Giran Kenorftp,676797621,0,0,0,JKL: JKL HYoda GMY Jolee GK
Giran Kenorftp,676797621,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Sotiri,156727472,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Sotiri,156727472,0,0,0,JKL: JKL HYoda GMY JKR GK
Sotiri,156727472,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Sotiri,156727472,4,0,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Sotiri,156727472,9,1,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
CóuntCrush18,277934547,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
CóuntCrush18,277934547,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
CóuntCrush18,277934547,0,0,0,JKL: JKL HYoda GMY Jolee GK
CóuntCrush18,277934547,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Shesterkin,823623157,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Shesterkin,823623157,1,0,1,Finn: Finn RT RH Finn RH Poe Holdo
Shesterkin,823623157,15,0,15,ROLO: ROLO G7 Cpt Solo G10 6* Leia CLS Lando
Shesterkin,823623157,14,1,13,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G11 6* Fives
Dark Helmet,693159347,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Dark Helmet,693159347,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Dark Helmet,693159347,2,2,0,JKL: JKL HYoda GMY Jolee GK
Dark Helmet,693159347,6,6,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Dark Helmet,693159347,9,5,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Dark Helmet,693159347,11,9,2,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives R1
DarthTalon,387869794,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthTalon,387869794,0,0,0,JKL: JKL HYoda GMY Jolee GK
DarthTalon,387869794,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthTalon,387869794,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Guihori,639674374,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Guihori,639674374,0,0,0,JKL: JKL HYoda JMLS Jolee GK
Guihori,639674374,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Guihori,639674374,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Guihori,639674374,8,0,8,ROLO: ROLO Cpt Solo Biggs Baze G8 Lando
Rikoelike Sunset,156843245,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Rikoelike Sunset,156843245,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Rikoelike Sunset,156843245,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
Rikoelike Sunset,156843245,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
Rikoelike Sunset,156843245,1,0,1,JKL: JKL HYoda GMY R2 Jolee GK
ChadwickVaderIII,992962268,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
