Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
JasTarter Too,234764733,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
JasTarter Too,234764733,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JasTarter Too,234764733,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
JasTarter Too,234764733,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
JasTarter Too,234764733,43,0,43,Troopers: Veers G12 Piett Dark Trooper G3 Range Trooper G3 6* Gideon G11
MINIdanilo,411311174,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
MINIdanilo,411311174,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
MINIdanilo,411311174,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
MINIdanilo,411311174,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
MINIdanilo,411311174,17,0,17,CLS: CLS C-3PO Han Chewbacca Chewpio G1 6*
MINIdanilo,411311174,21,0,21,Troopers: Veers R4 Piett Dark Trooper G10 Range Trooper G7 Starck R4
TomTel,454615177,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
TomTel,454615177,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TomTel,454615177,6,0,6,JMK: JMK CAT G12 GK GAS Ahsoka Tano (Snips)
TomTel,454615177,9,0,9,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn Malak
TomTel,454615177,19,0,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
TomTel,454615177,21,0,21,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker R2
Caleb,442729443,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Caleb,442729443,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Caleb,442729443,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Caleb,442729443,25,0,25,JMK: JMK R4 CAT G1 GK GAS G12 Ahsoka Tano (Snips) R4
Caleb,442729443,38,0,38,Troopers: Veers R3 Piett Dark Trooper G1 Range Trooper G1 Starck R3
Antithetical,954858446,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Antithetical,954858446,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Antithetical,954858446,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Antithetical,954858446,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Antithetical,954858446,8,0,8,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon R3
Hoyt Nitrum,428494676,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Hoyt Nitrum,428494676,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
