Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
CptBlackBush,888364832,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
CptBlackBush,888364832,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
CptBlackBush,888364832,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
CptBlackBush,888364832,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
CptBlackBush,888364832,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
CptBlackBush,888364832,2,0,2,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle R1
CptBlackBush,888364832,5,0,5,Troopers: Veers Piett Starck Dark Trooper R2 Range Trooper G12
CptBlackBush,888364832,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
CptBlackBush,888364832,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
ReveNeveR,436444241,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
ReveNeveR,436444241,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
ReveNeveR,436444241,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
ReveNeveR,436444241,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
ReveNeveR,436444241,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
ReveNeveR,436444241,3,0,3,Geonosians Omicron: GBA Sun Fac R2 Geo Soldier R2 Geo Spy Poggle R2
ReveNeveR,436444241,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
ReveNeveR,436444241,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ReveNeveR,436444241,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
JAXDEN,791163596,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
JAXDEN,791163596,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
JAXDEN,791163596,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
JAXDEN,791163596,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
JAXDEN,791163596,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JAXDEN,791163596,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
JAXDEN,791163596,1,0,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
JAXDEN,791163596,16,0,16,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G7 6*
DarthDarth,169543185,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
DarthDarth,169543185,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
DarthDarth,169543185,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
DarthDarth,169543185,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
DarthDarth,169543185,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
DarthDarth,169543185,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
DarthDarth,169543185,4,0,4,Troopers: Veers Piett Starck Dark Trooper Range Trooper G12
DarthDarth,169543185,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthDarth,169543185,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Delmon Enz,467248887,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Delmon Enz,467248887,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Delmon Enz,467248887,1,0,1,Grievous Omicron: GG B2 R2 B1 MagnaGuard Droideka
Delmon Enz,467248887,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Delmon Enz,467248887,17,0,17,Geonosians Omicron: GBA R1 Sun Fac G12 Geo Soldier G13 Geo Spy G12 Poggle G12
Delmon Enz,467248887,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Delmon Enz,467248887,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Delmon Enz,467248887,1,0,1,Malevolence: Malevolence Hyena Bomber Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
Delmon Enz,467248887,9,0,9,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper R1
Bato Kido,464953624,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
Bato Kido,464953624,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Bato Kido,464953624,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Bato Kido,464953624,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Bato Kido,464953624,14,0,14,GAS: GAS Rex R1 Echo (501st) G12 Fives G12 ARC Trooper G12
Bato Kido,464953624,28,0,28,Phasma: Phasma G11 FOTP G11 FOSFTP G6 FOST G12 Kylo G12
Bato Kido,464953624,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Bato Kido,464953624,48,0,48,Troopers: Veers G12 Piett G10 Gideon G6 Dark Trooper G1 Range Trooper G3
Hoyt Nitrum,428494676,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Hoyt Nitrum,428494676,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Hoyt Nitrum,428494676,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Hoyt Nitrum,428494676,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Hoyt Nitrum,428494676,5,0,5,GAS: GAS Rex R2 Echo (501st) Fives G12 ARC Trooper
Hoyt Nitrum,428494676,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
