Player,Offense,Defense,GP,Name,Squad,Viable
"Servo",,,123121,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Servo",1,1,156195,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU zzThrawn",1
"Servo",,,164782,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"Servo",1,0,145601,CLS,"zzzCLS zHan zzChewbacca zzC-3PO Chewpio",1
"Servo",,,130630,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Servo",0,1,116186,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"Servo",0,1,124514,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Marauder",1
"Servo",,,321350,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Servo",0,1,104411,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Servo",1,1,102614,NS_Alt,"zzMT zzAV zDaka Talia Zombie",1
"Servo",,,410842,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Servo",,,459098,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Servo",1,1,118184,JTR,"zzzJTR R2-D2 zzBB-8 zRH Finn, zRH Poe",1
"Servo",1,0,126451,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Servo",,,97389,Mon Mothma,"zzMon Mothma, Wedge Hoth Rebel Scout, zCara Dune, Biggs",1
"Servo",1,1,138954,Revan Offense,"zzzJKR zzGMY zzHYoda zJolee zEzra",1
"Servo",1,1,97963,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Servo",1,0,105226,ShaakClones,"zzShaak Ti, Rex zEcho (501st), zzFives Clone Sergeant",1
"Servo",1,1,101340,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Servo",0,1,143823,BH,"zzBossk Greedo zDengar zzAurra zFennec Shand",1
"Servo",0,1,113350,BH,"zzJango zzThe Mandalorian, Cad zzGreef IG-88",1
"Servo",0,1,86125,Phoenix,"Hera zKanan Zeb zSabine Chopper",1
"Servo",,,434124,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Servo",1,0,102389,Troopers,"zVeers zStarck Gideon G8, Stormtrooper zzPiett",0
"Servo",,,46546,Iden Troopers,"zIden Versio 6* G2, Shoretrooper G3, Snowtrooper G8, Magma G3, DT G2",0
"Servo",1,1,59060,Rogue1,"Jyn G4, Chirrut G4, Baze G3, Cassian G9, K-2SO G8",0
"Servo",,,87536,Mando,"zzThe Mandalorian (Beskar Armor) G8, zDash Rendar, Nest G1, zIG-11 zKuiil",0
"Servo",1,0,51882,Jawas,"Nebit G2, Jawa Engineer G7, Jawa Scavenger G3, Jawa Dathcha G5",0
"TheyLoveKolo",,,189535,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"TheyLoveKolo",1,1,162879,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"TheyLoveKolo",1,1,146004,GL Rey,"zzzzzzRey zGK JTR L3-37 RH Finn",1
"TheyLoveKolo",,,454074,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"TheyLoveKolo",0,1,92826,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"TheyLoveKolo",,,397018,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"TheyLoveKolo",1,1,106268,NS_Alt,"zzAV Daka Spirit Talia Zombie",1
"TheyLoveKolo",0,1,121661,Grievous,"zzGG zB2 zB1 zDroideka zDooku",1
"TheyLoveKolo",1,1,157475,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"TheyLoveKolo",1,1,105760,Revan Offense,"zzzJKR GMY HYoda Jolee Ezra",1
"TheyLoveKolo",1,1,89414,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"TheyLoveKolo",0,1,150152,BH,"zzBossk zDengar zBoba zzGreef zZam",1
"TheyLoveKolo",1,1,92078,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous",1
"TheyLoveKolo",0,1,129294,BH,"zzJango zzEmbo zzThe Mandalorian, Cad IG-88",1
"TheyLoveKolo",1,0,102846,Wiggs,"Wedge Biggs CLS zC-3PO Leia",1
"TheyLoveKolo",0,1,104790,Phoenix,"Hera Kanan Zeb Sabine Chopper",1
"TheyLoveKolo",,,129366,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"TheyLoveKolo",,,124774,Phasma,"Phasma zFOTP FOSFTP zFOST zKylo",0
"TheyLoveKolo",0,1,85228,DRMalak,"zzzDR HK-47 BSF Malak 5* G8, Sith Assassin G7",0
"TheyLoveKolo",1,0,70876,Traya,"Traya G9, DN 6* G9, Sion G7, zzEP Nest G6",0
"TheyLoveKolo",1,0,65531,Troopers,"Veers Starck G8, Stormtrooper DT 5* Iden Versio",0
