Player,Ally Code,Current Gear Needed,Team
Dαrth Sαmurαi,191369488,11,L1 Maul: Maul G9 The Mandalorian (Beskar Armor) Bo-Katan G8 Canderous Armorer G8
Dαrth Sαmurαi,191369488,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Dαrth Sαmurαi,191369488,2,L2 BH: Boba Jango Cad The Mandalorian Embo G12
Dαrth Sαmurαi,191369488,16,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G8 Dathcha Jawa G8
Dαrth Sαmurαi,191369488,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 2* URoRRuR'R'R
Oudi,257916924,5,L2 Maul: Maul G13 The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
Oudi,257916924,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Oudi,257916924,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Oudi,257916924,6,L1 Tuskens: Tusken Chieftain G11 Tusken Raider G10 Tusken Shaman G10 Tusken Warrior URoRRuR'R'R G11
Oudi,257916924,7,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G10 Jawa G10
Crimsonwolf,234847825,0,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
Crimsonwolf,234847825,10,L1 Maul: Maul G9 Sabine Bo-Katan G8 Canderous Armorer G9
Crimsonwolf,234847825,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Crimsonwolf,234847825,5,L4 Tuskens: Tusken Chieftain R3 Tusken Raider Tusken Shaman R4 Tusken Warrior R4 URoRRuR'R'R R4
Crimsonwolf,234847825,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
stevetron426,861915856,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
stevetron426,861915856,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
stevetron426,861915856,7,L2 BH: Boba G13 Jango Cad G12 The Mandalorian G12 Greedo G12
stevetron426,861915856,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
stevetron426,861915856,7,L1 Tuskens: Tusken Chieftain G10 Tusken Raider G10 Tusken Shaman G11 Tusken Warrior G10 URoRRuR'R'R
Kellox,788289697,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Kellox,788289697,1,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R2 Armorer
Kellox,788289697,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Kellox,788289697,2,L1 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior G10 URoRRuR'R'R
Kellox,788289697,1,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger G11 Dathcha Jawa
PinotchetHelicopter,428263835,4,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
PinotchetHelicopter,428263835,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
PinotchetHelicopter,428263835,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
PinotchetHelicopter,428263835,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
PinotchetHelicopter,428263835,10,L1 Tuskens: Tusken Chieftain G10 Tusken Raider G9 Tusken Shaman G10 Tusken Warrior G9 URoRRuR'R'R
Santanyko,684593215,1,L2 Old Republic: JKR BS Jolee Mission Zaalbar G13
Santanyko,684593215,6,L2 BH: Boba G12 Jango Cad The Mandalorian G12 Greedo G12
