Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Reaper,756914355,4,4,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Reaper,756914355,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Reaper,756914355,0,0,0,Dooku+Asajj: Dooku AV
Reaper,756914355,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rusty479,721132422,2,2,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Rusty479,721132422,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rusty479,721132422,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rusty479,721132422,4,4,0,Dooku+Asajj: Dooku AV
Selestial,723229684,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Selestial,723229684,16,0,16,Grievous: GG G8 B2 G7 B1 G11 4* Nute G10 Wat Tambor G8 6*
Selestial,723229684,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Chezmaster,787113477,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Chezmaster,787113477,6,0,6,Dooku+Asajj: Dooku G6 6* AV
Scamaill Dorcha,617215748,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Scamaill Dorcha,617215748,0,0,0,Dooku+Asajj: Dooku AV
Scamaill Dorcha,617215748,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Scamaill Dorcha,617215748,6,1,5,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper G10
Petey Hawk,856855189,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Petey Hawk,856855189,0,0,0,Dooku+Asajj: Dooku AV
Petey Hawk,856855189,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Petey Hawk,856855189,4,3,1,Troopers: Veers Piett Starck Dark Trooper Range Trooper G11 6*
14sneakypete88,756746636,8,8,0,Grievous: GG B2 B1 Nute MagnaGuard
14sneakypete88,756746636,8,8,0,Dooku+Asajj: Dooku AV
14sneakypete88,756746636,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
14sneakypete88,756746636,19,9,10,Troopers: Veers Piett Starck Dark Trooper G7 5* Range Trooper G7 4*
Kircard,957914373,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Kircard,957914373,0,0,0,Dooku+Asajj: Dooku AV
Kircard,957914373,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kircard,957914373,11,8,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Dαrth Sαmurαi,191369488,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Dαrth Sαmurαi,191369488,0,0,0,Dooku+Asajj: Dooku AV
Dαrth Sαmurαi,191369488,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dαrth Sαmurαi,191369488,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Dainnil,137583564,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Dainnil,137583564,0,0,0,Dooku+Asajj: Dooku AV
Dainnil,137583564,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dainnil,137583564,9,6,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
DrNero,787248219,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DrNero,787248219,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DrNero,787248219,9,2,7,Troopers: Veers Piett Gideon G9 Dark Trooper G9 Range Trooper G11
DrNero,787248219,4,0,4,Dooku+Asajj: Dooku G8 AV
JPapaDop,791142161,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
JPapaDop,791142161,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
JPapaDop,791142161,0,0,0,Dooku+Asajj: Dooku AV
JPapaDop,791142161,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mor'da Inwe,587963457,0,0,0,Dooku+Asajj: Dooku AV
Mor'da Inwe,587963457,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mor'da Inwe,587963457,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
TheyLoveKolo,299934499,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
TheyLoveKolo,299934499,0,0,0,Dooku+Asajj: Dooku AV
TheyLoveKolo,299934499,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheyLoveKolo,299934499,13,0,13,Troopers: Veers G10 Piett Starck G8 Dark Trooper G9 5* Range Trooper G8 4*
Oudi,257916924,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Oudi,257916924,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Oudi,257916924,0,0,0,Dooku+Asajj: Dooku AV
Oudi,257916924,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Santanyko,684593215,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Santanyko,684593215,0,0,0,Dooku+Asajj: Dooku AV
Santanyko,684593215,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TarmoJontka,823814547,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
TarmoJontka,823814547,0,0,0,Dooku+Asajj: Dooku AV
TarmoJontka,823814547,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
4CKL4Y 5L4Y3R,773781251,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
4CKL4Y 5L4Y3R,773781251,0,0,0,Dooku+Asajj: Dooku AV
4CKL4Y 5L4Y3R,773781251,13,13,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Muss,729651257,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Muss,729651257,0,0,0,Dooku+Asajj: Dooku AV
Muss,729651257,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Muss,729651257,11,4,7,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G8 6*
O B Wan Ka Nahbe,777254413,3,3,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
O B Wan Ka Nahbe,777254413,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
O B Wan Ka Nahbe,777254413,0,0,0,Dooku+Asajj: Dooku AV
O B Wan Ka Nahbe,777254413,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
digger010,628236934,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
digger010,628236934,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
digger010,628236934,2,0,2,Troopers: Veers Piett Starck Dark Trooper G11 6* Range Trooper G11 5*
digger010,628236934,0,0,0,Dooku+Asajj: Dooku AV
Baby Reaper I,781262866,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Baby Reaper I,781262866,0,0,0,Dooku+Asajj: Dooku AV
Baby Reaper I,781262866,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Baby Reaper I,781262866,6,2,4,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G11
DrizzyDrey,373485392,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DrizzyDrey,373485392,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DrizzyDrey,373485392,13,3,10,Troopers: Veers Piett G9 Gideon G9 Dark Trooper G9 Range Trooper G11 4*
DrizzyDrey,373485392,1,1,0,Dooku+Asajj: Dooku AV
Hol Wizzard,132185949,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hol Wizzard,132185949,0,0,0,Dooku+Asajj: Dooku AV
Hol Wizzard,132185949,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Hol Wizzard,132185949,11,0,11,Troopers: Veers Piett Starck Dark Trooper G3 Range Trooper G10
Tyler Durden,159294258,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Tyler Durden,159294258,0,0,0,Dooku+Asajj: Dooku AV
Tyler Durden,159294258,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Tyler Durden,159294258,16,8,8,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G7
Kris,556665669,2,0,2,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G10
Kris,556665669,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Kris,556665669,0,0,0,Dooku+Asajj: Dooku AV
Kris,556665669,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ashalt,119741786,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ashalt,119741786,0,0,0,Dooku+Asajj: Dooku AV
Ashalt,119741786,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
