Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lekit01,953914262,15,8,7,CLS: CLS C-3PO R3 Han Chewbacca R3 Chewpio R2
Lekit01,953914262,30,0,30,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G8 Gideon G11
DrNero,787248219,9,0,9,JMLS: JMLS JKL JKR GMY G9 HYoda
DrNero,787248219,16,15,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
DrNero,787248219,13,3,10,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R1
DrNero,787248219,33,2,31,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G11 Gideon G9
Santanyko,684593215,23,17,6,CLS: CLS C-3PO Han G12 Chewbacca Chewpio
Petey Hawk,856855189,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Petey Hawk,856855189,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Petey Hawk,856855189,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Petey Hawk,856855189,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Petey Hawk,856855189,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Petey Hawk,856855189,20,3,17,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G11 6* Starck R3
DrizzyDrey,373485392,9,9,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
DrizzyDrey,373485392,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
DrizzyDrey,373485392,10,10,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DrizzyDrey,373485392,14,6,8,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R3
DrizzyDrey,373485392,37,2,35,Padme/BB: Padme Hunter G10 Echo G10 Tech G9 Wrecker G8
DrizzyDrey,373485392,43,3,40,Troopers: Veers G12 Piett G9 Dark Trooper G9 Range Trooper G11 4* Gideon G9
Sherveen,718216188,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Sherveen,718216188,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Sherveen,718216188,13,0,13,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn Malak R1
Sherveen,718216188,20,0,20,Padme/BB: Padme Hunter G13 Echo G13 Tech G13 Wrecker G13
Sherveen,718216188,48,0,48,Troopers: Veers G13 Piett G13 Dark Trooper G1 Range Trooper G2 Starck G13
Muss,729651257,2,2,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Muss,729651257,17,17,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Muss,729651257,13,3,10,CLS: CLS C-3PO Han R1 Chewbacca Chewpio G12
Muss,729651257,18,6,12,EP: EP G13 Mara Jade, The Emperor's Hand R1 Vader Thrawn R2 Malak
Muss,729651257,35,4,31,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G8 6* Starck G12
PinotchetHelicopter,428263835,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
PinotchetHelicopter,428263835,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
PinotchetHelicopter,428263835,13,5,8,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R2 Malak G13
PinotchetHelicopter,428263835,29,6,23,Padme/BB: Padme Hunter Echo G12 Tech G10 Wrecker G9
PinotchetHelicopter,428263835,30,14,16,Troopers: Veers R3 Piett Dark Trooper R1 Range Trooper G12 Gideon R1
TheyLoveKolo,299934499,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TheyLoveKolo,299934499,31,15,16,CLS: CLS C-3PO R3 Han G12 Chewbacca Chewpio G10
TheyLoveKolo,299934499,37,0,37,Troopers: Veers G10 Piett Dark Trooper G9 5* Range Trooper G8 4* Starck G8
ZeCuttlefish,687571726,9,7,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak
ZeCuttlefish,687571726,44,22,22,Troopers: Veers G12 Piett Dark Trooper G9 5* Range Trooper G11 Gideon
ZeCuttlefish,687571726,27,4,23,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca G12 Chewpio G11
Reaper II,258436488,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Reaper II,258436488,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Reaper II,258436488,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Reaper II,258436488,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Reaper II,258436488,7,7,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Reaper II,258436488,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Reaper II,258436488,16,0,16,Troopers: Veers Piett Dark Trooper G9 Range Trooper G11 Gideon
Dαrth Sαmurαi,191369488,7,7,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Dαrth Sαmurαi,191369488,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dαrth Sαmurαi,191369488,1,0,1,JMLS: JMLS JKL JKR GMY R4 HYoda
Dαrth Sαmurαi,191369488,33,6,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Starck G12
Kris,556665669,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Kris,556665669,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kris,556665669,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Kris,556665669,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Kris,556665669,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Kris,556665669,14,0,14,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper G10 Gideon R4
4CKL4Y 5L4Y3R,773781251,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Starck
4CKL4Y 5L4Y3R,773781251,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Shoretrooper
4CKL4Y 5L4Y3R,773781251,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Monkey,479977165,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Monkey,479977165,15,6,9,CLS: CLS R4 C-3PO R3 Han Chewbacca Chewpio G12
Monkey,479977165,19,0,19,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Starck G11
O B Wan Ka Nahbe,777254413,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
O B Wan Ka Nahbe,777254413,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
O B Wan Ka Nahbe,777254413,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
O B Wan Ka Nahbe,777254413,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
O B Wan Ka Nahbe,777254413,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
O B Wan Ka Nahbe,777254413,15,3,12,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R3 Gideon R3
Servo,481472121,8,3,5,CLS: CLS C-3PO Han Chewbacca Chewpio G13
Servo,481472121,21,7,14,EP: EP Mara Jade, The Emperor's Hand G13 Vader Thrawn R1 Malak G13
Servo,481472121,42,15,27,Padme/BB: Padme Hunter G10 Echo G13 Tech G13 Wrecker G9
Scamaill Dorcha,617215748,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Scamaill Dorcha,617215748,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
