Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Sherveen,718216188,0,0,0,137730,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ianos23,418954325,12,0,12,137760,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
TarmoJontka,823814547,0,0,0,151434,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Strixi,355682822,0,0,0,150428,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kellox,788289697,3,0,3,143861,Shaak Ti Fives R4 Rex R3 Echo (501st) ARC Trooper
Petey Hawk,856855189,0,0,0,154137,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hol Wizzard,132185949,0,0,0,155427,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kris,556665669,0,0,0,151680,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Santanyko,684593215,7,0,7,128781,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R4
Craklok,654389853,2,0,2,144757,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
Oudi,257916924,0,0,0,154705,Shaak Ti Fives Rex Echo (501st) ARC Trooper
stevetron426,861915856,0,0,0,135222,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JPapaDop,791142161,0,0,0,146949,Shaak Ti Fives Rex Echo (501st) ARC Trooper
hairless chewy,919469958,0,0,0,148018,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kircard,957914373,0,0,0,148269,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ashalt,119741786,10,0,10,127046,Shaak Ti Fives R2 Rex R4 Echo (501st) R2 ARC Trooper R2
O B Wan Ka Nahbe,777254413,16,0,16,123226,Shaak Ti Fives R2 Rex R2 Echo (501st) R1 ARC Trooper G12
Crimsonwolf,234847825,16,3,13,121563,Shaak Ti R2 Fives R3 Rex R3 Echo (501st) R2 ARC Trooper R2
Hirmujorma,547185489,0,0,0,154750,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zeebweeny,816434235,28,1,27,109358,Shaak Ti Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G8
Baby Reaper I,781262866,0,0,0,151786,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Baby Reaper,611256229,76,4,72,35016,Shaak Ti G5 4* Fives G8 Rex G3 Echo (501st) G1 6* ARC Trooper G1 5*
cardula,811235945,51,9,42,69167,Shaak Ti G12 Fives G11 Rex G8 Echo (501st) G9 ARC Trooper G8 5*
Reaper II,258436488,0,0,0,148428,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Reaper,756914355,0,0,0,155711,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Servo,481472121,31,1,30,99922,Shaak Ti R1 Fives G13 Rex G12 Echo (501st) G12 ARC Trooper G9 5*
Ni Mori,846892821,24,0,24,115108,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Kaizan,593213664,4,0,4,132644,Shaak Ti R3 Fives Rex Echo (501st) R3 ARC Trooper
4CKL4Y 5L4Y3R,773781251,64,1,63,46349,Shaak Ti G1 Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G1 4*
ZeCuttlefish,687571726,22,18,4,130876,Shaak Ti R4 Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Dαrth Sαmurαi,191369488,8,0,8,123412,Shaak Ti R1 Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
Eliyahu,916531991,0,0,0,155132,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dainnil,137583564,3,0,3,147899,Shaak Ti Fives R2 Rex Echo (501st) ARC Trooper
14sneakypete88,756746636,58,17,41,79780,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G8 ARC Trooper G8
Rusty479,721132422,43,16,27,92759,Shaak Ti R2 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Dmoon,783142769,17,11,6,114502,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
MINI K2C2,451333487,8,2,6,130919,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
HBSiga,375199215,46,21,25,90033,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G9 ARC Trooper G12
DrizzyDrey,373485392,0,0,0,144348,Shaak Ti Fives Rex Echo (501st) ARC Trooper
PinotchetHelicopter,428263835,24,9,15,115303,Shaak Ti Fives R3 Rex R4 Echo (501st) G12 ARC Trooper G12
TheFarseer,769959399,0,0,0,155553,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Muss,729651257,3,1,2,139097,Shaak Ti Fives Rex Echo (501st) ARC Trooper R3
MINI Khost2coast,759897938,49,12,37,87781,Shaak Ti G12 Fives G10 Rex G11 Echo (501st) G10 ARC Trooper G10
Tharson,698228568,64,23,41,63503,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1 4*
Ashal,968543754,3,0,3,134855,Shaak Ti Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Dwarfy,649933575,41,0,41,63648,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1 6*
Scamaill Dorcha,617215748,0,0,0,155635,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI K2C3,123743539,74,12,62,48343,Shaak Ti G7 6* Fives G10 Rex G10 Echo (501st) G1 ARC Trooper G0 0*
Khan8472,935425767,0,0,0,151519,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tyler Durden,159294258,11,0,11,124464,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R2
