Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
TarmoJontka,823814547,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
TarmoJontka,823814547,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
TarmoJontka,823814547,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
TarmoJontka,823814547,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
TarmoJontka,823814547,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
TarmoJontka,823814547,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
TarmoJontka,823814547,2,1,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
TarmoJontka,823814547,17,0,17,Geonosians Omicron: GBA R2 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
digger010,628236934,4,4,0,padme: Padme GK JKA Ahsoka Tano (Snips) C-3PO
digger010,628236934,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
digger010,628236934,0,0,0,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
digger010,628236934,22,8,14,CLS: CLS Han G12 Chewbacca Chewpio G12 R2-D2 G10
digger010,628236934,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
digger010,628236934,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
digger010,628236934,1,0,1,Malevolence: Malevolence Hyena Bomber Vulture Droid 6* Sun Fac SF Soldier SF Spy SF
digger010,628236934,44,26,18,Troopers: Veers G12 Piett Starck G12 Dark Trooper G11 6* Range Trooper G11 5*
digger010,628236934,47,0,47,GAS: GAS G7 Rex G12 Echo (501st) G1 Fives G12 ARC Trooper G1 4*
Khan8472,935425767,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Khan8472,935425767,0,0,0,padme: Padme GK JKA Ahsoka Tano (Snips) CAT
Khan8472,935425767,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
