Player,Offense,Defense,GP,Name,Squad,Viable
"darkside",0,1,151046,Nute-Sep,"zNute zzJango zNest zDooku zDroideka",1
"darkside",,,180540,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"darkside",,,180489,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zNinth Sister",1
"darkside",,,123513,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"darkside",0,1,162507,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"darkside",1,1,152581,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"darkside",,,138883,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn Baze Bistan",1
"darkside",,,434264,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"darkside",0,1,114478,Qira,"zQira L3-37 zVandor Chewbacca, zMission Zaalbar",1
"darkside",,,175586,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"darkside",1,1,147133,GL Rey,"zzzzzzRey Poe Holdo zVet Han, Vet Chewbacca",1
"darkside",,,147033,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"darkside",,,594404,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"darkside",,,166773,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zBarriss",1
"darkside",1,1,121657,NS_Alt,"zzMT zzAV Spirit zDaka Zombie",1
"darkside",1,0,147993,CLS,"zzzCLS zHan zzChewbacca zChewpio Leia",1
"darkside",,,509032,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"darkside",1,0,128944,Traya,"zzTraya zDN zSion Sith Assassin, zThrawn",1
"darkside",0,1,133640,Grievous,"zzGG zB2 zB1 zMagnaGuard zIPD",1
