Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"CoffeeNCigarettes",343399131,5,11857693,7183357,4674336,153,-28,353,638,3898871,3252227,270,36,1307,8,327,166,243,253,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,12,10
"PChan",639899497,7,10524940,6232474,4292466,145,-35,505,587,3369853,2832326,201,21,1010,8,321,133,191,225,238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,12,10
"Savage",297519872,5,10923907,6472606,4451301,145,-62,315,520,3463031,2989234,265,34,975,7,328,135,169,205,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,12,10
"Algandar",258979998,-6,9687706,5662224,4025482,140,-24,216,529,3091554,2569994,235,16,850,7,315,117,159,184,193,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,23,8,8
"Rhevis",126515217,2,8311966,5216744,3095222,168,-96,167,526,2755466,2458628,196,10,603,4,275,80,144,173,195,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,23,12,9
"BA",285453629,-5,12059393,7288210,4771183,152,-19,712,601,3973053,3286318,286,45,1354,8,326,192,220,235,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,11,10
"Gunn Sharky",778977693,0,11018752,6528465,4490287,145,-7,507,534,3584641,2928157,274,31,923,6,320,127,178,226,239,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,28,10,9
"Pokey",839995558,6,10899641,6452380,4447261,145,-70,290,522,3439848,2991670,268,34,975,7,327,135,170,204,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,13,10
"Hootkins",193479255,-2,11501486,7007361,4494125,155,-8,206,596,3837722,3139110,285,38,1120,8,330,158,200,262,264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,11,10
"Donkey Kong",276523743,8,9966009,6010737,3955272,151,-2,269,501,3304216,2686085,269,29,672,7,317,86,160,205,215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,27,12,11
"Mtb",632271723,-6,13664941,8475858,5189083,163,44,1110,683,4756020,3687719,338,81,1980,8,336,269,269,269,269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,12,10
"MilHouse",245782881,8,11428627,6957735,4470892,155,-56,641,596,3729889,3199252,283,33,1188,8,327,172,209,235,239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,11,10
"CaptainCoom",791749373,10,9728547,6021719,3706828,162,-1,275,529,3305150,2683863,255,18,851,8,296,116,160,185,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,11,9
"Stanleyclimbfall",349879784,7,10660560,6247039,4413521,141,22,390,517,3468772,2749313,267,29,890,7,320,119,166,208,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,28,16,10
"TobiwanKenobi",696297162,10,10879797,6588566,4291231,153,-63,531,563,3519085,3039439,275,35,1036,8,321,146,179,227,239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,15,13
"Archie D2",716192825,-6,10531578,6416876,4114702,155,28,213,564,3573651,2815286,266,26,956,8,318,134,187,216,233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,12,11
"Ponda Baba",565915987,-5,11228896,6764759,4464137,151,-30,513,583,3666213,3064258,265,41,1066,8,331,146,199,243,253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,13,10
