Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Donkey Kong Jr,936252887,0,0,0,Finn: Finn RT RH Finn RH Poe R2-D2
Donkey Kong Jr,936252887,0,0,0,GAS Special: GAS Ahsoka
Donkey Kong Jr,936252887,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Donkey Kong Jr,936252887,0,0,0,JKL: JKL HYoda GMY JKR GK
Donkey Kong Jr,936252887,6,0,6,Shaak Ti: Shaak Ti Rex R2 Echo (501st) R1 ARC Trooper G13 Fives
Snorkelbenda,998413324,0,0,0,GAS Special: GAS Ahsoka
Snorkelbenda,998413324,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Snorkelbenda,998413324,0,0,0,JKL: JKL HYoda GMY Jolee GK
Snorkelbenda,998413324,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Snorkelbenda,998413324,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
CoffeeNCigarettes,343399131,0,0,0,GAS Special: GAS Ahsoka
CoffeeNCigarettes,343399131,0,0,0,JKL: JKL HYoda GMY Jolee GK
CoffeeNCigarettes,343399131,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
CoffeeNCigarettes,343399131,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
CoffeeNCigarettes,343399131,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
CoffeeNCigarettes,343399131,4,2,2,ROLO: ROLO Cpt Solo Leia Baze R1 Lando
Savage,297519872,0,0,0,GAS Special: GAS Ahsoka
Savage,297519872,0,0,0,JKL: JKL HYoda GMY JKR GK
Savage,297519872,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Savage,297519872,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Savage,297519872,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Savage,297519872,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Ponda Baba,565915987,2,2,0,GAS Special: GAS Ahsoka
Ponda Baba,565915987,0,0,0,JKL: JKL HYoda GMY Jolee GK
Ponda Baba,565915987,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ponda Baba,565915987,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Ponda Baba,565915987,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Ponda Baba,565915987,13,9,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
BabyWiam,659121683,0,0,0,GAS Special: GAS Ahsoka
BabyWiam,659121683,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
BabyWiam,659121683,0,0,0,JKL: JKL HYoda GMY Jolee GK
