Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Rhevis,126515217,7,6,1,147002,Padme R4 JKA Ahsoka GK GMY
Algandar,258979998,4,4,0,160347,Padme JKA Ahsoka GK GMY
PChan,639899497,0,0,0,157569,Padme JKA Ahsoka GK GMY
anOOrmaly,232971818,1,1,0,157983,Padme JKA Ahsoka GK GMY
BA,285453629,0,0,0,162524,Padme JKA Ahsoka GK GMY
Seve,733846924,0,0,0,154528,Padme JKA Ahsoka GK GMY
Savage,297519872,0,0,0,157076,Padme JKA Ahsoka GK GMY
CoffeeNCigarettes,343399131,0,0,0,158159,Padme JKA Ahsoka GK GMY
Xile,788888212,0,0,0,154452,Padme JKA Ahsoka GK GMY
Gunn Sharky,778977693,7,7,0,152097,Padme JKA Ahsoka GK GMY
MilHouse,245782881,0,0,0,156045,Padme JKA Ahsoka GK GMY
Mtb,632271723,0,0,0,166207,Padme JKA Ahsoka GK GMY
Hootkins,193479255,1,1,0,152466,Padme JKA Ahsoka GK GMY
schembri,852538859,9,9,0,153941,Padme JKA Ahsoka GK GMY
CaptainCoom,791749373,0,0,0,159667,Padme JKA Ahsoka GK GMY
Archie D2,716192825,9,6,3,149815,Padme JKA R3 Ahsoka R4 GK GMY
TobiwanKenobi,696297162,13,11,2,154408,Padme JKA Ahsoka R3 GK GMY
Donkey Kong,276523743,4,2,2,148371,Padme R4 JKA Ahsoka R4 GK GMY
Ponda Baba,565915987,8,5,3,145993,Padme R4 JKA Ahsoka R3 GK GMY
Greatfuljed I,717658145,0,0,0,151686,Padme JKA Ahsoka GK GMY
Sean Palgrave,167581191,0,0,0,156291,Padme JKA Ahsoka GK GMY
Stanleyclimbfall,349879784,5,0,5,144290,Padme R2 JKA Ahsoka R3 GK GMY
Pokey,839995558,0,0,0,156899,Padme JKA Ahsoka GK GMY
Ping,669828157,0,0,0,158587,Padme JKA Ahsoka GK GMY
SonnyOlivia,841834798,2,1,1,155950,Padme JKA Ahsoka R4 GK GMY
DarthBolognese,139445371,3,0,3,145068,Padme R3 JKA Ahsoka R4 GK GMY
IL,383349685,0,0,0,154899,Padme JKA Ahsoka GK GMY
TK2618,375869453,0,0,0,158040,Padme JKA Ahsoka GK GMY
TheIronCarrot,779825927,0,0,0,157775,Padme JKA Ahsoka GK GMY
darkside,171697539,0,0,0,154269,Padme JKA Ahsoka GK GMY
BabyWiam,659121683,0,0,0,153652,Padme JKA Ahsoka GK GMY
ZokyDawg CPR,224667393,0,0,0,155762,Padme JKA Ahsoka GK GMY
William Poyón,897851381,0,0,0,148276,Padme JKA Ahsoka GK GMY
Yodizzle,611122258,0,0,0,151022,Padme JKA Ahsoka GK GMY
Execute Order 69,743154738,0,0,0,150438,Padme JKA Ahsoka GK GMY
Andrew,568458516,2,0,2,154865,Padme JKA Ahsoka R3 GK GMY
PV,129539635,8,0,8,132330,Padme R4 JKA Ahsoka G12 GK R4 GMY
MINI Kovacs,262231432,0,0,0,151497,Padme JKA Ahsoka GK GMY
MINI LordBassoli,826748125,8,2,6,146175,Padme G12 JKA Ahsoka GK GMY
thcspitfire,155359364,6,0,6,150568,Padme JKA Ahsoka G12 GK GMY
Unclad,372639244,0,0,0,151524,Padme JKA Ahsoka GK GMY
Snorkelbenda,998413324,0,0,0,156018,Padme JKA Ahsoka GK GMY
Aizenthalpic,921146124,0,0,0,154764,Padme JKA Ahsoka GK GMY
Jeremy,183451598,0,0,0,150790,Padme JKA Ahsoka GK GMY
El Capitan,114311819,0,0,0,158601,Padme JKA Ahsoka GK GMY
Imnotgood,171813996,2,0,2,145760,Padme R4 JKA Ahsoka R4 GK GMY
leinheart,551591265,0,0,0,147561,Padme JKA Ahsoka GK GMY
Schembro,994614716,8,0,8,145023,Padme JKA R1 Ahsoka R1 GK GMY
Wsummerspring,594122685,0,0,0,156152,Padme JKA Ahsoka GK GMY
