Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
BA,285453629,0,0,0,157795,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CoffeeNCigarettes,343399131,0,0,0,155371,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Savage,297519872,0,0,0,151628,Shaak Ti Fives Rex Echo (501st) ARC Trooper
PChan,639899497,0,0,0,148748,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gunn Sharky,778977693,0,0,0,148334,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pokey,839995558,0,0,0,151683,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rhevis,126515217,0,0,0,151901,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Algandar,258979998,0,0,0,154975,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TobiwanKenobi,696297162,3,3,0,151727,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MilHouse,245782881,0,0,0,156508,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Greatfuljed I,717658145,0,0,0,158142,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hootkins,193479255,0,0,0,155619,Shaak Ti Fives Rex Echo (501st) ARC Trooper
thcspitfire,155359364,18,12,6,139599,Shaak Ti Fives R2 Rex R2 Echo (501st) ARC Trooper
Mtb,632271723,0,0,0,167876,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andrew,568458516,12,12,0,146838,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wsummerspring,594122685,0,0,0,154775,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Donkey Kong,276523743,10,2,8,130333,Shaak Ti Fives Rex R3 Echo (501st) R2 ARC Trooper R2
Sean Palgrave,167581191,0,0,0,155545,Shaak Ti Fives Rex Echo (501st) ARC Trooper
leinheart,551591265,0,0,0,154332,Shaak Ti Fives Rex Echo (501st) ARC Trooper
El Capitan,114311819,0,0,0,155199,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SeriousB,287952553,0,0,0,149250,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Aizenthalpic,921146124,0,0,0,148944,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Slowmo,714927741,0,0,0,162378,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Donkey Kong Jr,936252887,12,0,12,126190,Shaak Ti Fives Rex R2 Echo (501st) R1 ARC Trooper G13
darkside,171697539,0,0,0,149692,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Yorkshireman,851678862,0,0,0,150725,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DanVader,595947649,0,0,0,155363,Shaak Ti Fives Rex Echo (501st) ARC Trooper
nymph144,911933846,24,9,15,117375,Shaak Ti R4 Fives Rex R3 Echo (501st) G12 ARC Trooper G12
Jase Windooo,439953131,36,0,36,88702,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G8
MINI Uber1337JJ,642749994,0,0,0,154831,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ZokyDawg CPR,224667393,0,0,0,155352,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tytus,157185891,0,0,0,144952,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Archie D2,716192825,3,3,0,147215,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Roger Roger,892346471,0,0,0,144380,Shaak Ti Fives Rex Echo (501st) ARC Trooper
rck,215257454,0,0,0,147649,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BabyWiam,659121683,0,0,0,150706,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wookieleaks,247679938,0,0,0,150523,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TK2618,375869453,0,0,0,151020,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CaptainCoom,791749373,0,0,0,155151,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BenHanSolo,833437735,17,0,17,113351,Shaak Ti G12 Fives R4 Rex R3 Echo (501st) G12 ARC Trooper R3
Upsetwookie,327754467,0,0,0,150744,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MarkyZnO,856399272,0,0,0,147529,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Loypop's HTroopers,985227814,0,0,0,150190,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Reschdog,353733889,0,0,0,151164,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Devastator,175684184,0,0,0,155249,Shaak Ti Fives Rex Echo (501st) ARC Trooper
loypop13,223946436,0,0,0,150285,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GovPeon,382156317,0,0,0,151445,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Snorkelbenda,998413324,0,0,0,154872,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ponda Baba,565915987,0,0,0,152301,Shaak Ti Fives Rex Echo (501st) ARC Trooper
