Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Loypop's HTroopers,985227814,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Loypop's HTroopers,985227814,1,0,1,padme: Padme GK JKA Ahsoka R2 CAT
Loypop's HTroopers,985227814,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Loypop's HTroopers,985227814,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Loypop's HTroopers,985227814,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Loypop's HTroopers,985227814,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
Loypop's HTroopers,985227814,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Loypop's HTroopers,985227814,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Loypop's HTroopers,985227814,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Pokey,839995558,0,0,0,padme: Padme GK JKA Ahsoka CAT
Pokey,839995558,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Pokey,839995558,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Pokey,839995558,5,0,5,Troopers: Veers Piett Starck Dark Trooper G12 Range Trooper R2
Pokey,839995558,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Pokey,839995558,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Pokey,839995558,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Pokey,839995558,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Pokey,839995558,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
nymph144,911933846,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
nymph144,911933846,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
nymph144,911933846,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
nymph144,911933846,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
nymph144,911933846,9,0,9,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G12
nymph144,911933846,4,0,4,CLS: CLS Han Chewbacca Chewpio G12 R2-D2
nymph144,911933846,12,4,8,GAS: GAS Rex Echo (501st) G12 Fives ARC Trooper G12
nymph144,911933846,4,3,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
nymph144,911933846,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
PChan,639899497,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
PChan,639899497,0,0,0,padme: Padme GK JKA Ahsoka CAT
PChan,639899497,1,0,1,Grievous Omicron: GG B2 R2 B1 MagnaGuard Droideka
PChan,639899497,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
PChan,639899497,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
PChan,639899497,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
PChan,639899497,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PChan,639899497,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
PChan,639899497,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
Savage,297519872,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Savage,297519872,0,0,0,padme: Padme GK JKA Ahsoka CAT
Savage,297519872,1,1,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Savage,297519872,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Savage,297519872,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Savage,297519872,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Savage,297519872,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Savage,297519872,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
Savage,297519872,12,0,12,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy Poggle G12
Archie D2,716192825,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
Archie D2,716192825,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
