Player,Offense,Defense,GP,Name,Squad,Viable
"dompizan",,,181178,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"dompizan",,,179650,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zNinth Sister",1
"dompizan",,,187473,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"dompizan",,,130721,SK,"zzEP zMara Jade, The Emperor's Hand, zzStarkiller Old Ben, Visas",1
"dompizan",,,579581,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"dompizan",,,186116,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"dompizan",1,0,142196,CLS,"zzzCLS zHan zChewbacca zzC-3PO zChewpio",1
"dompizan",,,129191,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"dompizan",,,494892,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"dompizan",1,0,116735,Traya,"zzTraya DN zSion Sith Empire Trooper, zThrawn",1
"dompizan",1,1,115189,JTR,"zzJTR Scav Rey, zzBB-8 zR2-D2 Finn G9",1
"dompizan",,,106711,Mon Mothma,"zzMon Mothma, Wedge zPao Hoth Rebel Scout, Biggs",1
"dompizan",1,1,80835,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray G9",1
"dompizan",0,1,152712,BH,"zzBossk zZam zDengar zJango zBoba",1
"dompizan",1,1,92718,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"dompizan",1,0,139548,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka Tano (Snips)",1
"dompizan",1,0,97581,Troopers,"zVeers zStarck Gideon DT zDark Trooper",1
"dompizan",0,1,97691,FO,"zzKRU Kylo FOO FOE zHux",1
"dompizan",0,1,76133,Phoenix,"Hera Ezra Kanan Zeb Sabine G8",1
"dompizan",,,131587,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"dompizan",1,0,128164,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"dompizan",1,0,75481,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger, Jawa Dathcha G9",1
"dompizan",1,0,17553,NestSolo (Counter),"Nest",1
