Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Ardilla",552198166,-4,10288136,6112230,4175906,146,-16,559,565,3326304,2757222,252,26,925,4,304,144,182,215,224,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,28,8,10
"modestdinosaur",154874635,-5,7523244,4579544,2943700,155,222,64,438,2756717,1790433,194,13,428,2,250,56,107,137,166,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,19,10,7
"ReturnOfTheFett",889718432,-5,7854803,4788256,3066547,156,-112,118,516,2504599,2283657,180,17,615,4,239,82,130,153,175,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,18,6,8
"NeveReveN",759541265,1,8724482,5202144,3522338,147,-171,345,528,2625612,2541777,199,20,716,4,289,92,145,173,184,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,24,9,9
"Mateus Jak",382687224,-5,10592001,6150509,4441492,138,-115,635,604,3196882,2925327,209,32,1112,8,311,165,199,219,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,9,10
"dompizan",865799155,-5,8395326,4985555,3409771,146,-138,239,430,2565764,2402627,185,26,589,4,253,84,103,141,183,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,22,6,10
"Griz Man",864121897,-4,11072989,6589682,4483307,146,-29,649,580,3567016,2993962,250,32,1081,8,321,148,199,228,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,8
"Business Time",646681643,-8,7924088,4597872,3326216,138,0,99,480,2531808,2065388,193,11,579,4,249,83,119,146,151,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,21,10,8
"ZilloTea",461383831,-1,9009742,5280771,3728971,141,-93,422,522,2784916,2492327,184,21,737,5,281,103,146,177,186,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,19,7,8
"Haaly",537651678,-5,9099490,5207826,3891664,133,-149,320,441,2665573,2522648,214,19,639,5,298,90,119,155,175,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,23,6,10
"Wes Harcrow",863582961,-1,9919462,5838427,4081035,143,12,258,528,3228170,2598364,176,23,777,5,303,104,163,206,227,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,27,9,11
"ishotfirst",463678449,-6,8593038,5181959,3411079,151,-34,265,394,2794918,2358030,220,18,556,0,271,76,99,129,162,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,21,10,11
