Player,Ally Code,Current Gear Needed,Team
Daemrot,678832772,9,L2 Old Republic: JKR G13 BS G12 Jolee G12 Mission G12 Zaalbar G12
Daemrot,678832772,3,L2 BH: Boba Jango G13 Cad G13 The Mandalorian Greedo G13
Daemrot,678832772,6,L2 Jawas: Nebit G13 Jawa Engineer G13 Jawa Scavenger G13 Dathcha G12 Jawa G13
Daemrot,678832772,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
DeathSimplified,398157968,8,L4 Maul: Maul R3 The Mandalorian (Beskar Armor) R3 Bo-Katan Canderous R3 Armorer R3
DeathSimplified,398157968,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
DeathSimplified,398157968,4,L2 BH: Boba Jango Cad The Mandalorian G12 Embo G12
DeathSimplified,398157968,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
DeathSimplified,398157968,5,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R G7
JT C110P,523597653,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
JT C110P,523597653,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
JT C110P,523597653,6,L0 Maul: Maul Sabine Bo-Katan Canderous Armorer G2 5*
Ryiun,684362843,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Ryiun,684362843,3,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G9
Ryiun,684362843,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Ryiun,684362843,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
redfenix117,865636453,2,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar G7
redfenix117,865636453,14,L0 BH: Boba Jango G1 Cad The Mandalorian Greedo G1
redfenix117,865636453,35,L0 Jawas: Nebit G1 Jawa Engineer G1 Jawa Scavenger G1 Dathcha G1 Jawa G1
Encheng,675648529,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Encheng,675648529,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Encheng,675648529,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
Encheng,675648529,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
ParknsRec,956987321,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
ParknsRec,956987321,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
ParknsRec,956987321,2,L0 Old Republic: JKR BS Jolee Mission G6 Zaalbar
Mateus Jak,382687224,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Mateus Jak,382687224,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Mateus Jak,382687224,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Mateus Jak,382687224,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Mateus Jak,382687224,11,L1 Tuskens: Tusken Chieftain G8 6* Tusken Raider Tusken Shaman G8 Tusken Warrior G9 URoRRuR'R'R
ishotfirst,463678449,5,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G11 6* Canderous Armorer G8 5*
ishotfirst,463678449,4,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar
ishotfirst,463678449,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
ishotfirst,463678449,19,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G8 Dathcha G9 Jawa G8
Saber Skills,436127364,2,L4 Old Republic: JKR BS Jolee Mission R4 Zaalbar R4
Saber Skills,436127364,5,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Greedo R6
Saber Skills,436127364,16,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G8 Dathcha G9 Jawa G11
Saber Skills,436127364,7,L0 Maul: Maul G1 The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer 5*
Saber Skills,436127364,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R
Mythical,493153462,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Mythical,493153462,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Mythical,493153462,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
