Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ishotfirst,463678449,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ishotfirst,463678449,5,5,0,GG (2%): GG B1 Droideka B2 IG-88
ishotfirst,463678449,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Mythical,493153462,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Mythical,493153462,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Jolee
Mythical,493153462,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Starkiller3333,699566478,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Starkiller3333,699566478,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
Kynareth,733296396,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Kynareth,733296396,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Kynareth,733296396,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kynareth,733296396,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
Kynareth,733296396,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Kynareth,733296396,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Kynareth,733296396,0,0,0,Seps (1%): Dooku Jango Nute GG MagnaGuard
Kynareth,733296396,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
ZilloTea,461383831,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ZilloTea,461383831,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
ZilloTea,461383831,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ZilloTea,461383831,11,11,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
ZilloTea,461383831,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Griz Man,864121897,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Griz Man,864121897,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Griz Man,864121897,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Griz Man,864121897,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Griz Man,864121897,0,0,0,JKL + JML (6%): JKL JMLS HYoda Jolee Old Ben
Griz Man,864121897,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Pyromancer,177264773,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Pyromancer,177264773,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Pyromancer,177264773,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Pyromancer,177264773,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Pyromancer,177264773,0,0,0,SEE P1 5%: SEE Malak DR Sith Marauder Vader
Dr med den Rasen,374798737,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Dr med den Rasen,374798737,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dr med den Rasen,374798737,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Dr med den Rasen,374798737,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Dr med den Rasen,374798737,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Dr med den Rasen,374798737,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
ReturnOfTheFett,889718432,0,0,0,Seps (1%): Dooku Jango Nute GG MagnaGuard
ReturnOfTheFett,889718432,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
ReturnOfTheFett,889718432,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Simph,197687411,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Simph,197687411,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
raza,344861713,0,0,0,JKL + JML (6%): JKL JMLS JKA JKR Old Ben
raza,344861713,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
raza,344861713,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
raza,344861713,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
raza,344861713,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
Donkey Kong Jr,936252887,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Donkey Kong Jr,936252887,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Donkey Kong Jr,936252887,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
Donkey Kong Jr,936252887,4,4,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
mugsy,796869384,0,0,0,DR/Malak 3%: DR Malak BSF HK-47 Sith Marauder
mugsy,796869384,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
mugsy,796869384,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
