Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Ardilla,552198166,0,0,0,150718,Shaak Ti Fives Rex Echo (501st) ARC Trooper
modestdinosaur,154874635,0,0,0,140566,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ReturnOfTheFett,889718432,21,17,4,143861,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
NeveReveN,759541265,86,86,0,145109,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mateus Jak,382687224,0,0,0,151905,Shaak Ti Fives Rex Echo (501st) ARC Trooper
dompizan,865799155,3,3,0,148101,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Griz Man,864121897,0,0,0,151673,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Business Time,646681643,5,5,0,137824,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ZilloTea,461383831,0,0,0,140281,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Haaly,537651678,8,8,0,151135,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wes Harcrow,863582961,37,29,8,129461,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
ishotfirst,463678449,0,0,0,153692,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dr med den Rasen,374798737,0,0,0,140339,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hanshotfirst,979824842,0,0,0,150038,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DeathComestoAll,536945656,0,0,0,140830,Shaak Ti Fives Rex Echo (501st) ARC Trooper
C3MO,777719932,26,0,26,111475,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G11
Tyler,388657195,12,0,12,135029,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Crazy Skew,592863547,56,56,0,142881,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Saber Skills,436127364,0,0,0,153731,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nimuè,728665521,2,2,0,137540,Shaak Ti Fives Rex Echo (501st) ARC Trooper
E2d2,963426871,0,0,0,147383,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lakotnik,255771377,18,7,11,123907,Shaak Ti Fives Rex Echo (501st) ARC Trooper G7 4*
Ryiun,684362843,0,0,0,141629,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vodzkha,948833898,24,16,8,130316,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
mugsy,796869384,0,0,0,153430,Shaak Ti Fives Rex Echo (501st) ARC Trooper
raza,344861713,0,0,0,133222,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DanMan1975,616179276,24,24,0,149157,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SmallMexiFrys,686529498,2,2,0,148151,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CaptBlinky,152777395,0,0,0,150543,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Darדh Freeday,623218693,0,0,0,155770,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FRM,556111983,0,0,0,142871,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jess,383677237,65,34,31,83268,Shaak Ti R3 Fives G10 Rex G9 Echo (501st) G12 ARC Trooper G12
redfenix117,865636453,86,1,85,41141,Shaak Ti G1 Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G1 4*
Mythical,493153462,4,2,2,137299,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Deathby1000,496365713,0,0,0,150605,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dos Tortugas,742786634,0,0,0,138715,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DeathSimplified,398157968,0,0,0,145018,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gabe,475722372,2,0,2,143899,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Encheng,675648529,46,33,13,112544,Shaak Ti G11 Fives Rex Echo (501st) ARC Trooper G12
Boligna,786125839,6,0,6,140830,Shaak Ti Fives R2 Rex R2 Echo (501st) ARC Trooper
Brogu Djarin,523876973,0,0,0,140977,Shaak Ti Fives Rex Echo (501st) ARC Trooper
allidrA,673329616,0,0,0,146608,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dojo,588158985,0,0,0,152801,Shaak Ti Fives Rex Echo (501st) ARC Trooper
OKsooner22,315894422,0,0,0,142331,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Daemrot,678832772,24,0,24,108445,Shaak Ti R1 Fives G13 Rex G13 Echo (501st) G13 ARC Trooper G13
Ben Read,312285315,0,0,0,150629,Shaak Ti Fives Rex Echo (501st) ARC Trooper
