Player,Offense,Defense,GP,Name,Squad,Viable
"Axle Alucard",,,546741,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Axle Alucard",1,0,153139,CLS,"zzzCLS zHan zChewbacca C-3PO zChewpio",1
"Axle Alucard",0,1,110569,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Axle Alucard",,,127293,JKL,"zJKL zzJKR HYoda Old Ben, Ezra",1
"Axle Alucard",,,414316,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Axle Alucard",1,0,125418,Troopers,"zVeers zzPiett zGideon Dark Trooper, Range Trooper",1
"Axle Alucard",1,1,104417,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Axle Alucard",0,1,132874,BH,"zzBossk Greef Cad Boba Dengar",1
"Axle Alucard",0,1,126527,FO,"zKRU Kylo FOE FOO zHux",1
"Axle Alucard",0,1,109116,Phoenix,"zHera Kanan Zeb Sabine zCaptain Rex",1
"Axle Alucard",0,1,109068,BS,"zBS zGMY Jolee GK Ahsoka Tano (Snips)",1
"Axle Alucard",1,0,90806,EP (Counter, Rebel),"zEP DT G8, zWampa Stormtrooper G8, Starck G9",1
"Axle Alucard",1,0,94580,IG88,"IG-88 GG G8, BB-8 G9, T3-M4 L3-37",1
"Axle Alucard",1,1,108736,NS,"zMT AV zDaka Zombie Spirit",0
"Axle Alucard",,,397624,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170 6*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Axle Alucard",,,98274,Mon Mothma,"Mon Mothma, Lando Wedge Biggs Cara Dune",0
"Axle Alucard",,,95698,Nute-OR,"zNute Dooku Jango Zaalbar G7, Mission G8",0
"Axle Alucard",1,0,83323,ShaakClones,"Shaak Ti, Rex G8, Echo (501st) G8, Fives Clone Sergeant",0
"Axle Alucard",1,1,53288,Rogue1,"Jyn 6* G8, Chirrut G8, Baze 5* G8, Cassian G8, K-2SO G8",0
"Un Te De",,,167077,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zJKA zGK",1
"Un Te De",,,116759,Phasma,"zPhasma FOTP FOSFTP FOST Kylo",1
"Un Te De",,,169131,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Un Te De",1,0,136850,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Un Te De",,,134034,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Un Te De",0,1,111610,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Un Te De",,,500509,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Un Te De",,,378376,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Un Te De",1,1,113436,JTR,"zzzJTR zzR2-D2 BB-8 RH Finn, RH Poe",1
"Un Te De",1,1,139536,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Un Te De",1,1,140222,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Un Te De",1,1,85810,Ewoks,"zChirpa Elder zPaploo zWicket Logray G8",1
"Un Te De",0,1,125015,BH,"zzBossk zJango Cad zBoba zDengar",1
"Un Te De",1,1,91071,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Un Te De",0,1,85471,Phoenix,"Hera zEzra zKanan Zeb G9, zSabine G8",1
"Un Te De",1,0,90731,Wiggs,"Wedge Biggs Fulcrum Chirrut Baze",1
"Un Te De",1,0,114897,EP (trio),"zzEP zzTraya zDN zSion G9, zThrawn",1
"Un Te De",1,1,86360,NS,"zzMT zzAV zDaka G9, Zombie Spirit G1",0
"Un Te De",,,77006,Mon Mothma,"Mon Mothma 5* G7, Lando Kyle Katarn 6*, Hoth Rebel Scout G7, Cara Dune",0
"Un Te De",1,0,103699,zMaul,"Darth Maul, zSidious Dooku Sith Empire Trooper, zNest 6* G6",0
"Un Te De",1,0,96747,Troopers,"zVeers Starck DT G7, zPiett Gideon G9",0
"Un Te De",1,0,65393,Jawas,"Nebit Jawa Engineer G9, Jawa Scavenger G8, Jawa 6* G7, Dathcha G7",0
"ProfessorHyperion",,,137938,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn Scarif Bistan",1
"ProfessorHyperion",,,428498,Profundity,"Profundity 6* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"ProfessorHyperion",1,1,155078,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"ProfessorHyperion",1,1,113394,NS,"zzMT zAV zDaka Zombie Spirit",1
"ProfessorHyperion",0,1,128300,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"ProfessorHyperion",,,98914,Mon Mothma,"Mon Mothma, zzCaptain Rex, Wedge Biggs Cara Dune",1
"ProfessorHyperion",1,1,112754,Revan,"zzzJKR BS zGMY zJolee zGK",1
"ProfessorHyperion",1,1,83771,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous",1
"ProfessorHyperion",0,1,104055,BH,"zzBossk zGreef Jango zBoba zIG-88",1
"ProfessorHyperion",0,1,114030,Phoenix,"zHera Ezra zKanan Zeb zSabine",1
"ProfessorHyperion",1,0,110079,EP (Counter, Rebel),"EP Shoretrooper DT zWampa zNest",1
"ProfessorHyperion",1,0,16692,SionSolo (Counter),"Sion",1
"ProfessorHyperion",,,122095,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"ProfessorHyperion",0,1,93644,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"ProfessorHyperion",1,0,84064,CLS,"CLS G1, zHan zzChewbacca R2-D2 G9, C-3PO G1",0
"ProfessorHyperion",,,57659,Bad Batch,"zHunter 6* G9, Echo 3* G9, Omega 4* G9, Tech 5* G9, zWrecker 4* G9",0
"Will Obi1",,,172145,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Will Obi1",1,1,171264,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Will Obi1",,,166517,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Will Obi1",,,137718,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"Will Obi1",1,1,120742,NS,"zzMT zzAV zDaka Zombie Spirit",1
