Player,Ally Code,Current Gear Needed,Team
Dannimadd,183382135,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Dannimadd,183382135,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Dannimadd,183382135,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Dannimadd,183382135,1,L2 Jawas: Nebit G13 Jawa Engineer Jawa Scavenger Dathcha Jawa
Starking2021,458251864,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
Soko,418929655,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Soko,418929655,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Soko,418929655,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
JRO,624654625,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
JRO,624654625,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
BigDaddy1,771823415,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
BigDaddy1,771823415,1,L0 BH: Boba Jango Cad The Mandalorian Embo G7
BigDaddy1,771823415,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa
WWG1WG2PRISON,713375299,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
WWG1WG2PRISON,713375299,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
WWG1WG2PRISON,713375299,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
WWG1WG2PRISON,713375299,7,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G9 Dathcha G11 Jawa
WWG1WG2PRISON,713375299,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Sixx Shooter,536357128,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
Sixx Shooter,536357128,1,L2 BH: Boba Jango Cad The Mandalorian Greedo G13
Sixx Shooter,536357128,7,L0 Maul: Maul Sabine Bo-Katan Canderous Armorer G1
Sixx Shooter,536357128,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G7
Sleazy E,695822276,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Sleazy E,695822276,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Sleazy E,695822276,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Sleazy E,695822276,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Sleazy E,695822276,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
lottatrotta69,974943562,3,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G9
lottatrotta69,974943562,2,L4 Old Republic: JKR BS Jolee Mission R4 Zaalbar R4
lottatrotta69,974943562,1,L3 BH: Boba Jango Cad The Mandalorian R2 Embo
lottatrotta69,974943562,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
lottatrotta69,974943562,7,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman G11 Tusken Warrior G9 URoRRuR'R'R
Balakay,621546373,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Balakay,621546373,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
Balakay,621546373,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Balakay,621546373,5,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman Tusken Warrior G10 URoRRuR'R'R
Balakay,621546373,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Slayer2052,295398572,2,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Slayer2052,295398572,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
ProfessorHyperion,821746548,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
ProfessorHyperion,821746548,35,L0 Tuskens: Tusken Chieftain G1 Tusken Raider G1 Tusken Shaman G1 Tusken Warrior G1 URoRRuR'R'R G1
Scrotie McBoogerballs,832986271,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Scrotie McBoogerballs,832986271,1,L3 BH: Boba Jango Cad The Mandalorian R2 Embo
Scrotie McBoogerballs,832986271,6,L0 Tuskens: Tusken Chieftain 2* Tusken Raider Tusken Shaman G6 Tusken Warrior G4 3* URoRRuR'R'R
Scrotie McBoogerballs,832986271,6,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G5
Un Te De,889568171,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
Un Te De,889568171,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Un Te De,889568171,2,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa G7 6*
Tenzin,736547728,4,L3 Old Republic: JKR BS R2 Jolee Mission R1 Zaalbar R2
Tenzin,736547728,10,L3 BH: Boba R1 Jango R1 Cad R1 The Mandalorian R1 Greedo R1
Tenzin,736547728,4,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
Tenzin,736547728,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
SpookyMoonBoy,745861261,6,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar G10
SpookyMoonBoy,745861261,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 6*
Thermal,832724337,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Thermal,832724337,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Krumpch,961147939,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8 6*
Krumpch,961147939,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Krumpch,961147939,3,L1 BH: Boba Jango Cad The Mandalorian G9 Greedo
Micahtron,538511948,5,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R6 Skiff Guard (Lando Calrissian) R5 Boba
Micahtron,538511948,8,L5 Maul: Maul R6 Sabine R6 Bo-Katan R5 Canderous R5 Armorer R5
Micahtron,538511948,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Micahtron,538511948,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Micahtron,538511948,5,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G6 Dathcha G7 Jawa
Jivan Mukti,928423758,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Jivan Mukti,928423758,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
Jivan Mukti,928423758,14,L1 Jawas: Nebit G8 Jawa Engineer G10 Jawa Scavenger G8 Dathcha G8 Jawa
Jivan Mukti,928423758,2,L0 Tuskens: Tusken Chieftain G7 4* Tusken Raider Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R
Adonis13,852276575,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Adonis13,852276575,7,L1 Maul: Maul G9 The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8 5*
Adonis13,852276575,3,L4 Old Republic: JKR BS R4 Jolee R4 Mission R4 Zaalbar
Adonis13,852276575,10,L4 Jawas: Nebit R3 Jawa Engineer R3 Jawa Scavenger R3 Dathcha R3 Jawa R3
Adonis13,852276575,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Plagarian,974618589,3,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan R6 Skiff Guard (Lando Calrissian) R6 Boba
Plagarian,974618589,3,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G9
Plagarian,974618589,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Plagarian,974618589,5,L1 Tuskens: Tusken Chieftain G10 6* Tusken Raider Tusken Shaman Tusken Warrior G9 6* URoRRuR'R'R
Plagarian,974618589,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa
Rikka light side,549878449,4,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Rikka light side,549878449,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer R1
Rikka light side,549878449,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Rikka light side,549878449,8,L2 Tuskens: Tusken Chieftain G12 Tusken Raider G12 Tusken Shaman G12 Tusken Warrior G12 URoRRuR'R'R
Rikka light side,549878449,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
ObiJuan Keithnobi,355745111,3,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan Skiff Guard (Lando Calrissian) R7 Boba
ObiJuan Keithnobi,355745111,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
ObiJuan Keithnobi,355745111,3,L1 Jawas: Nebit G9 Jawa Engineer Jawa Scavenger Dathcha Jawa
ObiJuan Keithnobi,355745111,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Mal Taros,451234452,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Mal Taros,451234452,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Will Obi1,215141515,4,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Will Obi1,215141515,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G8
Will Obi1,215141515,6,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar
Will Obi1,215141515,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G8 Jawa
Will Obi1,215141515,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Sia Granta,489526758,2,L3 Old Republic: JKR BS Jolee Mission R2 Zaalbar R2
Sia Granta,489526758,5,L6 Jawas: Nebit R7 Jawa Engineer R7 Jawa Scavenger R7 Dathcha R7 Jawa R7
Sia Granta,489526758,2,L2 BH: Boba Jango Cad G12 The Mandalorian Greedo
Sia Granta,489526758,3,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G5 6* Canderous Armorer
Sia Granta,489526758,1,L0 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Droguito,222224934,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Droguito,222224934,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
Droguito,222224934,2,L0 Tuskens: Tusken Chieftain G7 6* Tusken Raider Tusken Shaman Tusken Warrior G7 5* URoRRuR'R'R
Droguito,222224934,13,L0 Jawas: Nebit G6 Jawa Engineer G5 Jawa Scavenger G5 Dathcha G6 Jawa G5
JasonNeedsCoffee,721779418,1,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R7 Boba
JasonNeedsCoffee,721779418,6,L4 Maul: Maul R3 The Mandalorian (Beskar Armor) R3 Bo-Katan Canderous Armorer R3
JasonNeedsCoffee,721779418,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
JasonNeedsCoffee,721779418,5,L6 Tuskens: Tusken Chieftain R7 Tusken Raider R7 Tusken Shaman R7 Tusken Warrior R7 URoRRuR'R'R R7
JasonNeedsCoffee,721779418,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
xxLuckyy,422358225,1,L1 Old Republic: JKR BS Jolee G11 Mission Zaalbar
xxLuckyy,422358225,8,L5 BH: Boba R6 Jango R5 Cad R5 The Mandalorian R5 Embo R6
xxLuckyy,422358225,11,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G9 Dathcha G9 Jawa G9
