Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Will Obi1,215141515,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Will Obi1,215141515,18,18,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Will Obi1,215141515,3,3,0,Dooku+Asajj: Dooku AV
Will Obi1,215141515,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gavin Bull 2,339712919,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gavin Bull 2,339712919,0,0,0,Dooku+Asajj: Dooku AV
Gavin Bull 2,339712919,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gavin Bull 2,339712919,16,3,13,Troopers: Veers Piett Starck Dark Trooper G1 Range Trooper G10
Krumpch,961147939,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
Krumpch,961147939,19,2,17,Troopers: Veers G10 Piett Starck G8 Dark Trooper G8 6* Range Trooper G5 5*
Krumpch,961147939,5,1,4,Dooku+Asajj: Dooku G8 AV
Krumpch,961147939,15,0,15,Geos: GBA G9 Poggle G9 Geo Soldier G10 Sun Fac G8 Geo Spy G9
Stephman Darksipper,864462482,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Stephman Darksipper,864462482,0,0,0,Dooku+Asajj: Dooku AV
Stephman Darksipper,864462482,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stephman Darksipper,864462482,11,8,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Un Te De,889568171,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Un Te De,889568171,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Un Te De,889568171,0,0,0,Dooku+Asajj: Dooku AV
Gero Zurn,397437123,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gero Zurn,397437123,0,0,0,Dooku+Asajj: Dooku AV
Gero Zurn,397437123,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DeathDealer992222,495289776,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
DeathDealer992222,495289776,0,0,0,Dooku+Asajj: Dooku AV
DeathDealer992222,495289776,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Starking2021,458251864,11,3,8,Dooku+Asajj: Dooku G4 AV
Starking2021,458251864,8,0,8,Geos: GBA G11 Poggle G10 Geo Soldier G11 Sun Fac G9 Geo Spy G11
Slayer2052,295398572,1,0,1,Grievous: GG B2 B1 Nute G11 MagnaGuard
Slayer2052,295398572,6,0,6,Troopers: Veers Piett Starck G11 Dark Trooper G9 Range Trooper G10
Slayer2052,295398572,1,0,1,Dooku+Asajj: Dooku G11 AV
Slayer2052,295398572,4,0,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
lottatrotta69,974943562,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
lottatrotta69,974943562,15,12,3,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G10
lottatrotta69,974943562,0,0,0,Dooku+Asajj: Dooku AV
lottatrotta69,974943562,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Berzerk Hobo,252285491,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Berzerk Hobo,252285491,3,0,3,Troopers: Veers Piett G10 Gideon Dark Trooper G11 Range Trooper
Berzerk Hobo,252285491,0,0,0,Dooku+Asajj: Dooku AV
Berzerk Hobo,252285491,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ShadyT,558572552,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
ShadyT,558572552,0,0,0,Dooku+Asajj: Dooku AV
ShadyT,558572552,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Salacious Thumb,444544452,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Salacious Thumb,444544452,3,3,0,Dooku+Asajj: Dooku AV
Salacious Thumb,444544452,8,3,5,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy
Thiffy Gorebreg,442479953,4,3,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Thiffy Gorebreg,442479953,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Thiffy Gorebreg,442479953,0,0,0,Dooku+Asajj: Dooku AV
Thiffy Gorebreg,442479953,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mal Taros,451234452,13,13,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mal Taros,451234452,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mal Taros,451234452,5,1,4,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G11 5*
Mal Taros,451234452,4,4,0,Dooku+Asajj: Dooku AV
Soko,418929655,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Soko,418929655,0,0,0,Dooku+Asajj: Dooku AV
Soko,418929655,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Soko,418929655,20,13,7,Troopers: Veers Piett G11 5* Gideon Dark Trooper G7 6* Range Trooper G11 6*
TheFoggy,433616769,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
TheFoggy,433616769,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
TheFoggy,433616769,0,0,0,Dooku+Asajj: Dooku AV
TheFoggy,433616769,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sixx Shooter,536357128,3,3,0,Dooku+Asajj: Dooku AV
Sixx Shooter,536357128,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Sixx Shooter,536357128,12,12,0,Grievous: GG B2 B1 Droideka MagnaGuard
Adonis13,852276575,2,2,0,Grievous: GG B2 B1 Droideka MagnaGuard
Adonis13,852276575,0,0,0,Dooku+Asajj: Dooku AV
Adonis13,852276575,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Adonis13,852276575,10,8,2,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G11 6*
Droguito,222224934,18,18,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Droguito,222224934,3,3,0,Grievous: GG B2 B1 Droideka MagnaGuard
Droguito,222224934,0,0,0,Dooku+Asajj: Dooku AV
Droguito,222224934,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
polarariel,423666999,3,3,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
polarariel,423666999,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
polarariel,423666999,0,0,0,Dooku+Asajj: Dooku AV
