Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Ru Baruba Maral,288751758,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Ru Baruba Maral,288751758,18,4,14,Finn: Finn RT G12 RH Finn G10 RH Poe G12 JTR
Ru Baruba Maral,288751758,8,0,8,ROLO: ROLO G12 Chirrut G12 Han CLS Chewbacca
Ru Baruba Maral,288751758,16,3,13,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G11 6* Fives
JRO,624654625,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JRO,624654625,1,0,1,Finn: Finn RT RH Finn RH Poe JTR
JRO,624654625,9,0,9,GAS Special: GAS G7 5* Ahsoka Tano (Snips)
Starking2021,458251864,0,0,0,JKL: JKL HYoda JMLS JKR Jolee
Starking2021,458251864,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Starking2021,458251864,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
DarthSacaMando,522114916,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthSacaMando,522114916,9,9,0,JKL: JKL HYoda GMY Jolee GK
DarthSacaMando,522114916,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthSacaMando,522114916,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
DarthSacaMando,522114916,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
DarthSacaMando,522114916,7,5,2,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper R1 Fives
Eli,862914648,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Eli,862914648,0,0,0,JKL: JKL HYoda GMY JKR GK
Eli,862914648,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Eli,862914648,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Eli,862914648,4,0,4,Finn: Finn G12 RT RH Finn RH Poe JTR
Eli,862914648,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
NuMex,331898292,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
NuMex,331898292,16,0,16,Finn: Finn G12 RT G12 RH Finn G12 RH Poe G12 R2-D2
NuMex,331898292,3,0,3,GAS Special: GAS G13 Ahsoka Tano (Snips)
NuMex,331898292,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
NuMex,331898292,10,2,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
Droguito,222224934,9,9,0,GAS Special: GAS Ahsoka Tano (Snips)
Droguito,222224934,0,0,0,JKL: JKL HYoda GMY JKR GK
Droguito,222224934,2,2,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Droguito,222224934,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Droguito,222224934,17,13,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Adonis13,852276575,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Adonis13,852276575,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Adonis13,852276575,0,0,0,JKL: JKL HYoda GMY Jolee GK
Adonis13,852276575,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Adonis13,852276575,9,5,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper G12 Fives
BigDaddy1,771823415,11,11,0,ROLO: ROLO Cpt Solo Leia CLS Lando
BigDaddy1,771823415,5,1,4,Finn: Finn G12 RT RH Finn RH Poe Holdo
BigDaddy1,771823415,9,4,5,GAS Special: GAS G11 6* Ahsoka Tano (Snips)
BigDaddy1,771823415,13,0,13,JKL: JKL G9 HYoda GMY G12 Jolee R1 GK
BigDaddy1,771823415,16,0,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Salacious Thumb,444544452,5,5,0,GAS Special: GAS Ahsoka Tano (Snips)
Salacious Thumb,444544452,0,0,0,JKL: JKL HYoda GMY JKR GK
Salacious Thumb,444544452,12,12,0,CLS: CLS Han Chewbacca Chewpio C-3PO
