Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
name,779262258,14,9,5,146269,Padme R4 JKA R1 Ahsoka GK GMY
Zoltar,739779589,1,1,0,147677,Padme JKA Ahsoka GK GMY
TheWildKarrde,522914351,0,0,0,157706,Padme JKA Ahsoka GK GMY
ClîtCommander12345,124661194,4,4,0,150106,Padme JKA Ahsoka GK GMY
Plagarian,974618589,18,18,0,146045,Padme JKA Ahsoka GK GMY
Sleazy E,695822276,9,9,0,144205,Padme JKA Ahsoka GK GMY
JasonTheAsian,316261256,5,2,3,138676,Padme R4 JKA Ahsoka R4 GK GMY R4
Ronzool,498413548,3,2,1,146545,Padme JKA R4 Ahsoka GK GMY
Will Obi1,215141515,11,11,0,147611,Padme JKA Ahsoka GK GMY
WWG1WG2PRISON,713375299,9,7,2,142969,Padme JKA R3 Ahsoka GK GMY
Jason,576549933,3,2,1,150208,Padme JKA Ahsoka R4 GK GMY
Bsville,424867781,0,0,0,158479,Padme JKA Ahsoka GK GMY
Tim,682839262,0,0,0,151816,Padme JKA Ahsoka GK GMY
Nearly Headless Nick,666842776,0,0,0,156127,Padme JKA Ahsoka GK GMY
Droguito,222224934,2,0,2,132796,Padme JKA Ahsoka GK GMY R3
Scrotie McBoogerballs,832986271,31,31,0,150336,Padme JKA Ahsoka GK GMY
Berzerk Hobo,252285491,8,0,8,137938,Padme R4 JKA G12 Ahsoka R4 GK GMY
lottatrotta69,974943562,8,1,7,141182,Padme R4 JKA G12 Ahsoka GK GMY
Krumpch,961147939,24,18,6,144135,Padme JKA Ahsoka G12 GK GMY
Jason,721779418,40,32,8,141766,Padme R1 JKA R1 Ahsoka GK GMY
Wilk79,438582744,37,37,0,141511,Padme JKA Ahsoka GK GMY
Scarb Fir,872612614,4,4,0,144573,Padme JKA Ahsoka GK GMY
Micahtron,538511948,0,0,0,158530,Padme JKA Ahsoka GK GMY
ObiJuan Keithnobi,355745111,1,0,1,141567,Padme JKA Ahsoka GK GMY R4
Kilum Natta,569741419,16,0,16,114108,Padme R3 JKA G11 Ahsoka G12 GK R4 GMY
Blak3oakfield,277384321,7,6,1,146093,Padme JKA R4 Ahsoka GK GMY
Adonis13,852276575,5,1,4,135751,Padme JKA Ahsoka R3 GK R3 GMY
Soko,418929655,31,30,1,130999,Padme JKA Ahsoka R4 GK GMY
Sixx Shooter,536357128,36,30,6,130460,Padme JKA Ahsoka GK GMY G12
Dannimadd,183382135,0,0,0,151375,Padme JKA Ahsoka GK GMY
Tenzin,736547728,13,13,0,153154,Padme JKA Ahsoka GK GMY
YungPepr,452134382,20,5,15,120594,Padme R4 JKA G12 Ahsoka G12 GK GMY R3
Salacious Thumb,444544452,2,0,2,135469,Padme JKA Ahsoka GK GMY R3
Delmon Ciiid'r,196981493,22,0,22,107336,Padme R1 JKA G12 Ahsoka G12 GK GMY G12
ShadyT,558572552,0,0,0,153413,Padme JKA Ahsoka GK GMY
Balakay,621546373,2,0,2,146597,Padme R3 JKA Ahsoka GK GMY
NuMex,331898292,0,0,0,137070,Padme JKA Ahsoka GK GMY
MrDusty,754891619,16,3,13,123627,Padme JKA Ahsoka G12 GK GMY G11
polarariel,423666999,0,0,0,161390,Padme JKA Ahsoka GK GMY
TheFoggy,433616769,0,0,0,156445,Padme JKA Ahsoka GK GMY
Thiffy Gorebreg,442479953,0,0,0,155508,Padme JKA Ahsoka GK GMY
Rikka light side,549878449,0,0,0,152249,Padme JKA Ahsoka GK GMY
DarthSacaMando,522114916,8,6,2,146566,Padme R3 JKA Ahsoka GK GMY
DarthMaul5,783529757,7,1,6,130523,Padme R3 JKA R3 Ahsoka GK R3 GMY
The Great One F2P,816728211,45,3,42,66527,Padme G8 6* JKA G11 6* Ahsoka G10 GK G8 GMY G11
HarryTheHutt,683648442,2,0,2,147774,Padme R4 JKA Ahsoka R4 GK GMY
Stephman Darksipper,864462482,0,0,0,148443,Padme JKA Ahsoka GK GMY
Gero Zurn,397437123,0,0,0,156754,Padme JKA Ahsoka GK GMY
Jivan Mukti,928423758,6,0,6,129536,Padme JKA Ahsoka GK GMY G12
