Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Plagarian,974618589,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Plagarian,974618589,9,9,0,JMK: JMK CAT GK GAS Ahsoka
Plagarian,974618589,6,6,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Plagarian,974618589,22,0,22,Troopers: Veers R3 Piett Dark Trooper G10 Range Trooper G8 6* Starck R3
Plagarian,974618589,40,0,40,Padme/BB: Padme Hunter G8 5* Echo G8 5* Tech G8 6* Wrecker G8
GhostofKyiv,429362371,5,5,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
GhostofKyiv,429362371,25,9,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
GhostofKyiv,429362371,6,0,6,CLS: CLS R4 C-3PO R4 Han R3 Chewbacca R4 Chewpio R4
Jivan Mukti,928423758,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jivan Mukti,928423758,1,0,1,SEE: SEE Malak Darth Malgus BSF R4 DR
Jivan Mukti,928423758,8,3,5,JMLS: JMLS JKL JKR GMY G13 HYoda
Jivan Mukti,928423758,14,0,14,EP: EP Mara Jade, The Emperor's Hand G6 Vader Thrawn RG R3
Jivan Mukti,928423758,35,15,20,Troopers: Veers R3 Piett Dark Trooper G8 Range Trooper G12 Starck R3
Jivan Mukti,928423758,39,0,39,Padme/BB: Padme Hunter G8 Echo G9 Tech G8 Wrecker G8
polarariel,423666999,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
polarariel,423666999,0,0,0,JMK: JMK CAT GK GAS Ahsoka
polarariel,423666999,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
polarariel,423666999,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
polarariel,423666999,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
polarariel,423666999,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
polarariel,423666999,11,5,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Adonis13,852276575,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Adonis13,852276575,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Adonis13,852276575,10,9,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R4
Adonis13,852276575,24,8,16,Troopers: Veers R4 Piett Dark Trooper G11 Range Trooper G11 6* Starck R4
Adonis13,852276575,49,12,37,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8 5*
Dannimadd,183382135,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Dannimadd,183382135,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dannimadd,183382135,9,3,6,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak
Dannimadd,183382135,11,6,5,JMK: JMK R4 CAT R1 GK GAS Ahsoka
Dannimadd,183382135,38,21,17,Padme/BB: Padme Hunter R3 Echo G13 Tech G13 Wrecker G13
Dannimadd,183382135,33,13,20,Troopers: Veers R3 Piett Dark Trooper G5 Range Trooper R2 Starck R3
Krumpch,961147939,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Krumpch,961147939,12,12,0,JMK: JMK CAT GK GAS Ahsoka
Krumpch,961147939,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Krumpch,961147939,15,0,15,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak G12
Krumpch,961147939,49,8,41,Troopers: Veers G10 Piett Dark Trooper G8 6* Range Trooper G5 5* Starck G8
Krumpch,961147939,35,0,35,Padme/BB: Padme Hunter G8 Echo G10 Tech G9 Wrecker G10
xxLuckyy,422358225,8,0,8,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak R3
xxLuckyy,422358225,10,2,8,CLS: CLS C-3PO R3 Han Chewbacca Chewpio G12
xxLuckyy,422358225,33,0,33,Padme/BB: Padme Hunter G9 Echo G12 Tech G10 Wrecker G8
