Player,Offense,Defense,GP,Name,Squad,Viable
"Z3R0",1,1,145635,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G8",1
"Z3R0",1,1,161224,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Z3R0",1,0,145065,CLS,"zzzCLS zHan zzChewbacca zzC-3PO Chewpio",1
"Z3R0",,,398798,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"Z3R0",0,1,98575,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Z3R0",,,129533,JKL,"zzJKL zzzJKR HYoda Old Ben, Ezra",1
"Z3R0",,,412788,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Z3R0",,,120421,Disintegration,"Aurra Greef zBoba zzBossk zzThe Mandalorian",1
"Z3R0",,,97308,Mon Mothma,"Mon Mothma, Wedge Biggs Cara Dune, Lando",1
"Z3R0",1,1,88701,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Z3R0",1,1,95965,Carth,"zCarth Onasi, Mission Zaalbar zJuhani Canderous",1
"Z3R0",1,1,120953,zEP,"zzEP zzzVader Tarkin G9, TFP BSF",1
"Z3R0",0,1,99771,Phoenix,"zHera Kanan Zeb zSabine Captain Rex",1
"Z3R0",0,1,126153,padme,"zzPadme zGK zJKA zAhsoka zFives",1
"Z3R0",1,0,113534,IG88,"IG-88 GG zBB-8 T3-M4 L3-37",1
"Z3R0",1,0,13435,SionSolo (Counter),"Sion G8",1
"Z3R0",,,120730,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Z3R0",,,270256,Malevolence,"Malevolence Hyena Bomber 6*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Z3R0",1,1,66828,NS,"MT G9, AV Daka Zombie Spirit G9",0
"Z3R0",,,64018,Nute-Wat,"zNute B1 G8, B2 G8, MagnaGuard Wat Tambor G1",0
"Z3R0",1,0,72236,Troopers,"Veers G8, zzPiett Gideon G7, Dark Trooper 5* G7, Range Trooper 4* G7",0
"Z3R0",1,0,90255,Wampa (Counter),"zRex zzWampa DT 6* G8, Jyn G8, FOO",0
"Z3R0",0,1,106168,BH,"zJango zBoushh (Leia Organa), Greedo Cad Dengar",0
"Z3R0",1,0,95252,zMaul,"Darth Maul, zDooku zzDN zzzDR Savage",0
"Prolox150",,,123176,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Prolox150",1,1,154421,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Prolox150",1,1,150115,GL Rey,"zzzzzRey zJTR BB-8 RH Poe, RH Finn",1
"Prolox150",0,1,116307,padme,"zzPadme zGK JKA Ahsoka zzC-3PO",1
"Prolox150",,,445980,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",1
"Prolox150",0,1,126287,Grievous,"zzGG zB2 zB1 zDroideka zIG-88",1
"Prolox150",1,0,108940,Traya,"zzTraya DN Sion zBSF zEP",1
"Prolox150",1,1,130832,GAS,"zzzzGAS zRex zEcho (501st), zzFives ARC Trooper",1
"Prolox150",1,1,105837,Revan Offense,"zzJKR GMY BS zJolee Ezra",1
"Prolox150",0,1,129276,BH,"zzBossk Cad Dengar zBoba Jango",1
"Prolox150",1,1,93289,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"Prolox150",1,0,112920,CLS,"zzzCLS zHan Leia Old Ben, Chewbacca",1
"Prolox150",0,1,101667,Phoenix,"Hera Kanan Zeb Sabine Chopper",1
"Prolox150",1,0,14163,NestSolo (Counter),"Nest G9",1
"Prolox150",0,1,87597,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Prolox150",,,356012,HansMF,"Home One, Han's MF 6*, Biggs X-wing, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing 4*, Wedge X-wing",0
"Prolox150",1,1,80401,NS,"MT AV Daka Zombie Spirit G8",0
"Prolox150",1,0,84617,Troopers,"Veers 6* zzPiett Gideon 6* G9, Dark Trooper 6*, Range Trooper 5*",0
"Prolox150",1,1,103945,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
"Prolox150",,,74319,Iden Troopers,"zIden Versio 5*, Shoretrooper 6* G9, Snowtrooper Magma DT",0
"Prolox150",1,0,66019,Wiggs,"Wedge Biggs Fulcrum G7, Chirrut 6* G8, Baze 6* G8",0
"Schmadly",,,135446,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani Visas",1
"Schmadly",1,1,163348,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Schmadly",,,189697,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Schmadly",1,1,159981,GL Rey,"zzzzzRey zGK zzR2-D2 zL3-37 RH Finn",1
"Schmadly",1,1,138011,NS,"zzMT zAV zDaka Zombie Spirit",1
"Schmadly",,,558859,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Schmadly",,,166977,JMLS,"zBS zzzzzJMLS zzHYoda zzJKL zJolee",1
"Schmadly",1,0,146324,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Schmadly",0,1,111884,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Schmadly",,,450575,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Schmadly",1,0,127256,Traya,"zzTraya DN zSion zDooku Sith Empire Trooper",1
"Schmadly",1,0,123169,Troopers,"zVeers zzPiett Gideon zDark Trooper, Range Trooper",1
"Schmadly",,,118804,Mon Mothma,"zzMon Mothma, Wedge Biggs Cara Dune, Lando",1
"Schmadly",1,1,137248,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Schmadly",1,1,86569,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Schmadly",0,1,140111,BH,"zzBossk Greef Dengar zIG-88 zBoba",1
"Schmadly",0,1,116656,Phoenix,"zHera Ezra zKanan Sabine zzCaptain Rex",1
"Schmadly",1,1,73896,Rogue1,"Jyn Chirrut G8, Baze G8, Cassian K-2SO",1
"Schmadly",,,112873,Mando,"The Mandalorian (Beskar Armor), zDash Rendar, zNest IG-11 Kuiil",1
"Schmadly",,,114698,Phasma,"Phasma FOTP FOSFTP FOST Kylo",0
"Schmadly",,,99831,Grievous Omicron,"GG zB2 zB1 MagnaGuard zDroideka",0
"Schmadly",1,1,86941,Carth,"zCarth Onasi, Mission Zaalbar Vandor Chewbacca G7, zCanderous",0
"Schmadly",,,94887,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G8, Magma G7, zDT",0
"Schmadly",0,1,98019,BH,"Jango The Mandalorian, Boba Fett, Scion of Jango, Fennec Shand, Cad",0
"Schmadly",1,0,130551,zMaul,"Darth Maul, zSidious Sith Assassin, zSavage Sith Marauder",0
"Schmadly",1,0,119972,QGJ,"zQGJ Aayla G8, zJKA zzOld Ben, zAhsoka",0
"Atreus Klahan",,,160308,LV,"zzzzzzLord Vader, zThrawn zzzVader RG Tarkin",1
"Atreus Klahan",,,166886,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Atreus Klahan",,,160159,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"Atreus Klahan",,,185998,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"Atreus Klahan",1,0,148889,CLS,"zzzCLS zHan zzChewbacca zzC-3PO Chewpio",1
"Atreus Klahan",1,1,102777,NS_Alt,"zzMT zzAV Daka Zombie Merrin",1
"Atreus Klahan",,,291281,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Atreus Klahan",,,410477,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Atreus Klahan",0,1,115667,Grievous,"zzGG zB2 zB1 zMagnaGuard T3-M4",1
"Atreus Klahan",,,104569,Mon Mothma,"Mon Mothma, Wedge Biggs Saw Gerrera, Lando",1
"Atreus Klahan",1,1,88331,Ewoks,"zChirpa Elder Paploo Teebo Wicket",1
"Atreus Klahan",1,1,95273,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Atreus Klahan",0,1,123956,BH,"zzBossk Zam Fennec Shand, Greedo Dengar",1
"Atreus Klahan",0,1,133071,FO,"zzKRU zKylo FOO FOE zHux",1
"Atreus Klahan",0,1,81393,Phoenix,"Hera Ezra Kanan Zeb Sabine",1
"Atreus Klahan",0,1,128030,padme,"zzPadme zGK zJKA zAhsoka Fives G9",1
"Atreus Klahan",,,104664,Bad Batch,"Hunter Echo Omega Tech Wrecker",1
"Atreus Klahan",1,0,89861,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Atreus Klahan",1,0,15121,SionSolo (Counter),"Sion G9",1
"Atreus Klahan",,,57243,Admiral Raddus,"Admiral Raddus G1, Cassian G4, Jyn G4, Baze G8, Chirrut G8",0
"Atreus Klahan",0,1,89982,Geonosians Omicron,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Atreus Klahan",1,1,94841,JTR,"JTR zzR2-D2 BB-8 G8, RH Finn G2, RH Poe G2",0
