Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"VicXav N201",956694922,1,5920280,3598708,2321572,155,42,280,430,2017868,1580164,139,11,383,2,242,52,78,100,119,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,17,2,7
"Walto Dangrel",468333915,-6,7903818,4809178,3094640,155,81,42,341,2740121,2062040,218,20,383,3,272,54,74,119,149,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,20,10,9
"Rednaxela",573577796,-5,7502925,4672253,2830672,165,51,80,404,2622654,2034412,146,18,352,1,249,50,87,146,175,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,21,10,8
"Ragnarock",138462562,-5,7893015,4808354,3084661,155,77,119,408,2733815,2065935,180,8,423,1,250,54,88,150,172,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,22,11,11
"Rocky94",612994668,-5,9702905,5520157,4182748,131,48,267,557,3102380,2414069,206,23,940,6,284,136,175,178,185,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,9,9
"Someguyinalabcoat",162251947,-7,10152542,6093383,4059159,150,-14,382,540,3319112,2753024,257,35,926,8,297,128,166,198,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,9,11
"Hevy",284633488,-1,7295038,4254807,3040231,139,149,78,537,2498751,1756056,136,21,631,3,227,84,129,137,152,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,19,6,5
"Elric",883132925,-6,6094675,3614023,2480652,145,-72,78,342,1923697,1689212,126,7,214,1,225,25,69,97,125,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,17,11,9
"Glorfindel",485438363,-5,9130994,5415831,3715163,145,-2,151,496,2973207,2436315,228,25,655,5,262,92,141,181,189,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,24,8,10
"Atreus Klahan",525757151,-4,7777782,4676460,3101322,150,-74,158,426,2482604,2185711,109,2,483,5,298,58,98,137,155,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,20,8,6
"Mort",819249838,-5,9716953,5876347,3840606,153,-54,237,515,3149908,2717864,251,29,818,7,281,112,153,184,192,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,28,11,11
"Staatz",313693615,-7,9912850,5948641,3964209,150,122,272,514,3448149,2491141,238,33,894,6,281,133,153,178,196,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,28,9,12
"FruutSnak",934725735,-4,6450650,3748985,2701665,138,161,281,543,2212480,1536505,95,13,568,1,203,93,110,127,133,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,13,6,5
"Snoova",871483393,-4,6320044,3822318,2497726,153,86,110,309,2179020,1632461,118,14,179,1,220,25,59,101,127,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,14,9,7
"AndrewtheHutt",932895421,-6,7532203,4400179,3132024,140,36,284,489,2460142,1937387,165,20,624,3,226,101,106,138,149,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,22,10,9
"Bjconnell",978332594,-5,8460512,5136342,3324170,154,85,183,371,2927539,2194348,181,13,391,2,301,48,85,151,191,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,28,11,13
"Terus Rupesch",675942598,-2,6317031,3795472,2521559,150,109,142,277,2188434,1602372,117,13,130,0,255,15,42,107,134,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,18,11,9
"Cweneldic",591287488,-7,8773454,5152408,3621046,142,-134,101,498,2658562,2484179,163,11,695,3,270,102,139,159,169,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,23,10,11
"Z3R0",349651756,-5,6501326,3572012,2929314,121,199,72,413,2141632,1429929,100,4,409,2,237,61,84,103,119,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,16,8,8
"Jossey",216219957,1,6552808,3751438,2801370,133,109,152,508,2165915,1584836,69,8,510,3,224,74,106,125,140,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,15,9,9
"ChocolateGldNuts",881595812,-5,6824562,3982535,2842027,140,171,34,598,2360269,1621590,83,11,646,3,239,95,136,143,145,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,14,7,8
"Danglylion",564513741,-4,6244187,3518942,2725245,129,-29,32,465,1909604,1608006,64,8,377,1,228,43,93,122,133,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,13,8,6
"DarthBac0nB1ts",222216785,-4,6532478,3919333,2613145,149,76,93,526,2230381,1687431,117,7,501,3,223,70,110,134,142,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,18,8,6
"Stag",284335558,-6,7747461,4481780,3265681,137,105,150,493,2574824,1892214,95,14,520,2,264,70,120,158,171,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,19,11,11
"LordZodiac25",188731289,-5,5822879,3662318,2160561,169,95,95,518,2101658,1559984,86,11,401,2,203,53,98,124,134,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,17,7,8
"Hans Zarkov",247849384,-4,9969673,5868632,4101041,143,34,417,498,3277624,2588347,248,26,780,7,313,111,151,190,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27,10,10
