Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ChocolateGldNuts,881595812,4,4,0,Seps (1%): Dooku Jango Sun Fac GBA Geo Spy
MagicMike93,439428128,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Staatz,313693615,11,11,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Staatz,313693615,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Staatz,313693615,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Staatz,313693615,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Staatz,313693615,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Staatz,313693615,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Staatz,313693615,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Mace
AndrewtheOtherHutt,873945644,15,15,0,Padme 3%: Padme JKA GK Ahsoka GMY
VicXav N201,956694922,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
VicXav N201,956694922,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
VicXav N201,956694922,3,3,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
VicXav N201,956694922,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
VicXav N201,956694922,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Atreus Klahan,525757151,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Atreus Klahan,525757151,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Bjconnell,978332594,4,4,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Someguyinalabcoat,162251947,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Someguyinalabcoat,162251947,0,0,0,SEE P1 5%: SEE Malak Sith Marauder DR Darth Talon
Someguyinalabcoat,162251947,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Someguyinalabcoat,162251947,0,0,0,Seps (1%): Dooku Jango GG Nute AV
Someguyinalabcoat,162251947,7,7,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Someguyinalabcoat,162251947,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Someguyinalabcoat,162251947,0,0,0,JKL + JML (6%): JKL JMLS Mace GMY Old Ben
Mort,819249838,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Mort,819249838,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Mort,819249838,0,0,0,Seps (1%): Dooku Jango Nute GBA Droideka
Mort,819249838,12,12,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mort,819249838,0,0,0,SEE P1 5%: SEE Malak Sith Marauder DR Vader
Cweneldic,591287488,0,0,0,SEE P1 5%: SEE Malak Sith Marauder DR Dooku
FruutSnak,934725735,13,13,0,Padme 3%: Padme JKA GK Ahsoka CAT
FruutSnak,934725735,7,7,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
AndrewtheHutt,932895421,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
AndrewtheHutt,932895421,0,0,0,Seps (1%): Dooku Jango Nute AV GBA
AndrewtheHutt,932895421,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
AndrewtheHutt,932895421,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Rocky94,612994668,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Rocky94,612994668,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Z3R0,349651756,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DDizell,352755995,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DDizell,352755995,8,8,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Walto Dangrel,468333915,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Walto Dangrel,468333915,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Walto Dangrel,468333915,15,15,0,Padme 3%: Padme JKA GK Ahsoka GMY
RichiDePro,177115788,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Giarny,266292125,31,31,0,Padme 3%: Padme JKA GK Ahsoka GMY
Hevy,284633488,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Glorfindel,485438363,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Glorfindel,485438363,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
Glorfindel,485438363,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Glorfindel,485438363,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe JKL
Palo Rex,733128292,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Palo Rex,733128292,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Palo Rex,733128292,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Shrub R E,644735319,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Glorfindel,485438363,10,4,6,p2: Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Terus Rupesch,675942598,24,9,15,p4: GG (2%): GG B1 G12 Droideka B2 R2 MagnaGuard G12
MagicMike93,439428128,13,7,6,p1: Padme 3%: Padme JKA GK Ahsoka G12 GMY
MagicMike93,439428128,15,2,13,p4: Rebels (2%): CLS Chewbacca Han G12 Chewpio G11 6* R2-D2
MagicMike93,439428128,15,9,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
ozman,561499816,31,30,1,p1: Padme 3%: Padme JKA R4 GK Ahsoka GMY
Bjconnell,978332594,13,6,7,p1: Padme 3%: Padme R4 JKA G12 GK Ahsoka C-3PO
Atreus Klahan,525757151,1,0,1,p1: SEE P1 5%: SEE Malak R4 Sith Marauder Dooku Vader
