Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Terus Rupesch,675942598,20,20,0,Grievous: GG B2 B1 Droideka MagnaGuard
Terus Rupesch,675942598,7,7,0,Dooku+Asajj: Dooku AV
Terus Rupesch,675942598,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Terus Rupesch,675942598,17,1,16,Troopers: Veers G9 Piett G10 Starck G8 Dark Trooper G9 Range Trooper G8 6*
Z3R0,349651756,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Z3R0,349651756,17,6,11,Grievous: GG B2 G8 B1 G8 Nute G11 MagnaGuard G10
Z3R0,349651756,17,0,17,Troopers: Veers G8 Piett Starck G9 Dark Trooper G7 5* Range Trooper G7 4*
Z3R0,349651756,2,1,1,Dooku+Asajj: Dooku G11 AV
J Conn 79,195138126,12,12,0,Grievous: GG B2 B1 Droideka MagnaGuard
J Conn 79,195138126,0,0,0,Dooku+Asajj: Dooku AV
J Conn 79,195138126,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bjconnell,978332594,15,15,0,Grievous: GG B2 B1 Droideka MagnaGuard
Bjconnell,978332594,1,1,0,Dooku+Asajj: Dooku AV
Bjconnell,978332594,16,16,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Bjconnell,978332594,14,6,8,Troopers: Veers Piett G9 Gideon G11 Dark Trooper G9 Range Trooper G11
Schmadly,675548848,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Schmadly,675548848,0,0,0,Dooku+Asajj: Dooku AV
Schmadly,675548848,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Schmadly,675548848,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Cweneldic,591287488,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Cweneldic,591287488,0,0,0,Dooku+Asajj: Dooku AV
Cweneldic,591287488,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cweneldic,591287488,4,1,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Garthmaul,468393346,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Garthmaul,468393346,11,11,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Garthmaul,468393346,1,0,1,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper
Garthmaul,468393346,3,3,0,Dooku+Asajj: Dooku AV
Hyperion Ω,434947163,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Hyperion Ω,434947163,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hyperion Ω,434947163,0,0,0,Dooku+Asajj: Dooku AV
Hyperion Ω,434947163,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ChocolateGldNuts,881595812,4,4,0,Dooku+Asajj: Dooku AV
ChocolateGldNuts,881595812,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ChocolateGldNuts,881595812,6,3,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
ChocolateGldNuts,881595812,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
ランド,141292669,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
ランド,141292669,0,0,0,Dooku+Asajj: Dooku AV
ランド,141292669,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ランド,141292669,3,0,3,Troopers: Veers Piett Gideon Dark Trooper G9 5* Range Trooper
rKhronos,633596644,1,0,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
rKhronos,633596644,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
rKhronos,633596644,0,0,0,Dooku+Asajj: Dooku AV
rKhronos,633596644,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ravith3,339153149,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ravith3,339153149,0,0,0,Dooku+Asajj: Dooku AV
Ravith3,339153149,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ravith3,339153149,20,7,13,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper G2 6*
Rocky94,612994668,4,4,0,Grievous: GG B2 B1 Nute MagnaGuard
Rocky94,612994668,0,0,0,Dooku+Asajj: Dooku AV
Rocky94,612994668,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rocky94,612994668,16,10,6,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper G9
Someguyinalabcoat,162251947,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Someguyinalabcoat,162251947,0,0,0,Dooku+Asajj: Dooku AV
Someguyinalabcoat,162251947,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rednaxela,573577796,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Rednaxela,573577796,2,2,0,Dooku+Asajj: Dooku AV
Rednaxela,573577796,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Rednaxela,573577796,20,12,8,Troopers: Veers Piett G9 6* Starck Dark Trooper G8 6* Range Trooper G11 5*
Hans Zarkov,247849384,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Hans Zarkov,247849384,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Hans Zarkov,247849384,0,0,0,Dooku+Asajj: Dooku AV
Hans Zarkov,247849384,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MC Donald,469279566,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MC Donald,469279566,2,0,2,Troopers: Veers Piett Gideon G11 Dark Trooper Range Trooper G11
MC Donald,469279566,0,0,0,Dooku+Asajj: Dooku AV
MC Donald,469279566,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
501st Dragon Squadron,953334676,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
501st Dragon Squadron,953334676,0,0,0,Dooku+Asajj: Dooku AV
501st Dragon Squadron,953334676,15,4,11,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G7 Geo Spy G8
Ragnarock,138462562,10,10,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ragnarock,138462562,0,0,0,Dooku+Asajj: Dooku AV
Ragnarock,138462562,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ragnarock,138462562,15,6,9,Troopers: Veers Piett G9 Gideon Dark Trooper G11 Range Trooper G7 6*
Ashla,432926912,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ashla,432926912,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ashla,432926912,8,3,5,Troopers: Veers G10 Piett Gideon Dark Trooper G11 Range Trooper G10
Ashla,432926912,2,0,2,Dooku+Asajj: Dooku G10 AV
DBtheNBK,235143629,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
DBtheNBK,235143629,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DBtheNBK,235143629,0,0,0,Dooku+Asajj: Dooku AV
DBtheNBK,235143629,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stag,284335558,10,10,0,Grievous: GG B2 B1 Nute MagnaGuard
Stag,284335558,13,13,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Stag,284335558,7,7,0,Dooku+Asajj: Dooku AV
Stag,284335558,5,5,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Elric,883132925,9,9,0,Grievous: GG B2 B1 Droideka MagnaGuard
Elric,883132925,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Elric,883132925,2,2,0,Dooku+Asajj: Dooku AV
xijix,173975929,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
xijix,173975929,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
xijix,173975929,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
xijix,173975929,0,0,0,Dooku+Asajj: Dooku AV
Glorfindel,485438363,20,19,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Glorfindel,485438363,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Glorfindel,485438363,6,6,0,Dooku+Asajj: Dooku AV
Glorfindel,485438363,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zekiell,473412711,5,4,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Zekiell,473412711,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
