Player,Offense,Defense,GP,Name,Squad,Viable
"Zade DaRoc",,,194753,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Zade DaRoc",,,174270,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zThrawn",1
"Zade DaRoc",,,140339,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Zade DaRoc",,,453935,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Zade DaRoc",,,170465,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Zade DaRoc",0,1,107809,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Zade DaRoc",1,1,170996,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zRH Finn",1
"Zade DaRoc",1,1,124186,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Zade DaRoc",,,594956,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Zade DaRoc",,,171188,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Zade DaRoc",1,0,153283,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Zade DaRoc",,,546736,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Zade DaRoc",,,333963,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Zade DaRoc",0,1,114481,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Zade DaRoc",0,1,138360,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Zade DaRoc",1,0,120276,Traya,"zzTraya zDN zSion Sith Empire Trooper, zNest",1
"Zade DaRoc",,,114054,Mon Mothma,"zzMon Mothma, Bistan zCara Dune, zPao Hoth Rebel Scout",1
"Zade DaRoc",,,137055,Disintegration,"Aurra zzGreef zBoba zzBossk zThe Mandalorian",1
"Zade DaRoc",1,1,115033,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Zade DaRoc",1,0,151180,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Zade DaRoc",0,1,145101,BH,"zzJango Boba Fett, Scion of Jango, zZam zzEmbo zDengar",1
"Zade DaRoc",1,0,129982,Troopers,"zVeers zStarck zGideon zDark Trooper, Scout Trooper",1
"Zade DaRoc",0,1,135483,FO,"zzKRU zKylo FOE zFOST zHux",1
"Zade DaRoc",,,88164,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma DT",1
"Zade DaRoc",0,1,133419,Phoenix,"zHera zEzra zKanan zSabine zzCaptain Rex",1
"Zade DaRoc",1,1,107116,Rogue1,"zzJyn Chirrut G9, Baze G8, zCassian zK-2SO",1
"Zade DaRoc",,,130940,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Zade DaRoc",1,0,123390,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"Zade DaRoc",1,0,63063,Jawas,"Nebit G8, Jawa Engineer G8, Jawa Scavenger G9, Jawa G8, Dathcha G8",1
"Arachnicus",,,140397,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn K-2SO Bistan",1
"Arachnicus",,,436934,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Arachnicus",1,1,150527,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU zThrawn",1
"Arachnicus",1,1,162270,GL Rey,"zzzzzzRey zGK zzJTR zRH Poe, zRH Finn",1
"Arachnicus",,,138408,SK,"zzEP zMara Jade, The Emperor's Hand, zzStarkiller zOld Ben, Visas",1
"Arachnicus",1,1,123763,NS,"zzMT zAV zDaka Zombie Spirit",1
"Arachnicus",,,616693,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Arachnicus",1,0,150236,CLS,"zzzCLS zHan zzChewbacca C-3PO zChewpio",1
"Arachnicus",0,1,141125,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Marauder",1
"Arachnicus",,,330600,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Arachnicus",0,1,133000,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Arachnicus",,,105386,Mon Mothma,"Mon Mothma, Cara Dune, Biggs zCaptain Rex, Wedge",1
"Arachnicus",1,1,140947,Revan Offense,"zzzJKR zGMY BS zJolee zJKA",1
"Arachnicus",1,1,98893,Carth,"Carth Onasi, zMission Zaalbar zVandor Chewbacca, Canderous",1
"Arachnicus",0,1,147501,BH,"zzBossk zBoba Cad zIG-88 Dengar",1
"Arachnicus",1,0,128433,Troopers,"zVeers zStarck zzPiett Dark Trooper, Range Trooper",1
"Arachnicus",0,1,113906,Phoenix,"zHera Ezra zKanan Zeb zSabine",1
"Arachnicus",,,120510,Phasma,"Phasma FOTP FOSFTP zFOST zKylo",0
"Arachnicus",,,435661,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170 3*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Arachnicus",0,1,110510,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Arachnicus",1,1,100735,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
