Player,Ally Code,Current Gear Needed,Team
TheBigClone,562587166,0,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
TheBigClone,562587166,3,L6 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R7 Canderous R7 Armorer R7
TheBigClone,562587166,4,L6 Old Republic: JKR BS R7 Jolee R7 Mission R7 Zaalbar R7
TheBigClone,562587166,5,L6 Tuskens: Tusken Chieftain R7 Tusken Raider R7 Tusken Shaman R7 Tusken Warrior R7 URoRRuR'R'R R7
TheBigClone,562587166,5,L6 Jawas: Nebit R7 Jawa Engineer R7 Jawa Scavenger R7 Dathcha R7 Jawa R7
Taco Truck,229327364,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Taco Truck,229327364,6,L0 Maul: Maul G6 The Mandalorian (Beskar Armor) Bo-Katan G4 Canderous Armorer
Taco Truck,229327364,2,L0 BH: Boba Jango G7 Cad The Mandalorian Greedo G7
gilhooley365,881527893,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
gilhooley365,881527893,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Steady,798522549,4,L1 Old Republic: JKR BS Jolee G11 Mission G9 Zaalbar
Shart69,662285822,4,L1 Old Republic: JKR BS Jolee G10 Mission G11 Zaalbar G11
Ronin Khael,633311685,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Ronin Khael,633311685,1,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo
Ronin Khael,633311685,15,L0 Jawas: Nebit G4 Jawa Engineer G4 Jawa Scavenger G5 Dathcha G4 Jawa
Nez,616891313,1,L0 Old Republic: JKR BS Jolee Mission G7 Zaalbar
Zade DaRoc,533495652,4,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous R1 Armorer R1
Zade DaRoc,533495652,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Zade DaRoc,533495652,6,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Embo R5
Zade DaRoc,533495652,2,L1 Tuskens: Tusken Chieftain G10 Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Zade DaRoc,533495652,19,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G9 Dathcha G8 Jawa G8
ExrayVizion,715735432,3,L1 Old Republic: JKR BS Jolee G11 Mission G11 Zaalbar G11
ExrayVizion,715735432,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
JRL98,244412344,2,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G10
JRL98,244412344,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
JRL98,244412344,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
JRL98,244412344,9,L0 Jawas: Nebit G6 Jawa Engineer G5 6* Jawa Scavenger G6 Dathcha G6 Jawa 6*
Da Beetle,772984483,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Da Beetle,772984483,6,L2 BH: Boba Jango G12 Cad G12 The Mandalorian G12 Embo
ThatCloneyBoi,742852745,6,L4 Maul: Maul The Mandalorian (Beskar Armor) R3 Bo-Katan Canderous R3 Armorer R3
ThatCloneyBoi,742852745,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
ThatCloneyBoi,742852745,6,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Embo R5
ThatCloneyBoi,742852745,3,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
ThatCloneyBoi,742852745,17,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G10 Dathcha G9 Jawa G8
Veltto,724695932,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Veltto,724695932,1,L1 BH: Boba Jango Cad The Mandalorian Embo G11
Veltto,724695932,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
SkubasteveHD,587257322,8,L5 Jabba: Jabba R5 Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
SkubasteveHD,587257322,9,L1 Maul: Maul The Mandalorian (Beskar Armor) G8 Bo-Katan Canderous G10 Armorer G9
SkubasteveHD,587257322,5,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G8
SkubasteveHD,587257322,10,L1 Tuskens: Tusken Chieftain G8 Tusken Raider Tusken Shaman G9 Tusken Warrior G9 URoRRuR'R'R
SkubasteveHD,587257322,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Caseyyy,644777646,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G8 Canderous Armorer
Caseyyy,644777646,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Caseyyy,644777646,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
Caseyyy,644777646,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider 5* Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
BigRahool,524927632,1,L6 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R7 Boba
BigRahool,524927632,6,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous R5 Armorer R5
BigRahool,524927632,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
BigRahool,524927632,3,L4 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior R3 URoRRuR'R'R R4
BigRahool,524927632,7,L1 Jawas: Nebit G9 Jawa Engineer Jawa Scavenger G11 Dathcha G9 Jawa
Cwilso44,182769951,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
Cwilso44,182769951,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
Soojalembene,878522874,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Soojalembene,878522874,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
Roman Nasty,723787248,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Roman Nasty,723787248,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
Roman Nasty,723787248,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior G7 URoRRuR'R'R 6*
Schiz,763214593,4,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar
Schiz,763214593,5,L1 BH: Boba Jango Cad The Mandalorian G11 Greedo G8
Schiz,763214593,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa
Raki,215582164,3,L1 Old Republic: JKR BS Jolee G10 Mission Zaalbar G11
Ralinyebow,714296783,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Ralinyebow,714296783,5,L1 BH: Boba Jango G11 Cad The Mandalorian Greedo G8
Ralinyebow,714296783,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
FriedRedMonkey,114279529,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
FriedRedMonkey,114279529,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
SzettyAlt,799913995,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G8 Canderous Armorer
SzettyAlt,799913995,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
SzettyAlt,799913995,1,L1 BH: Boba Jango G11 Cad The Mandalorian Embo
SzettyAlt,799913995,6,L1 Tuskens: Tusken Chieftain G9 5* Tusken Raider Tusken Shaman Tusken Warrior G9 5* URoRRuR'R'R
SzettyAlt,799913995,2,L0 Jawas: Nebit 6* Jawa Engineer 6* Jawa Scavenger 5* Dathcha G7 Jawa G7
Inigo Montoya,968426252,6,L2 BH: Boba Jango G12 Cad The Mandalorian G12 Greedo G12
Alorscoings,765454139,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Alorscoings,765454139,4,L0 Old Republic: JKR BS Jolee Mission G5 Zaalbar G7
DarthBrosaur,291658232,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
DarthBrosaur,291658232,2,L1 Old Republic: JKR BS G11 Jolee Mission G11 Zaalbar
