Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nez,616891313,8,8,0,GAS Special: GAS Ahsoka Tano (Snips)
Nez,616891313,0,0,0,JKL: JKL HYoda GMY JKR GK
Nez,616891313,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Nez,616891313,7,7,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Nez,616891313,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Nez,616891313,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
Soyir,325383213,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Soyir,325383213,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Soyir,325383213,0,0,0,JKL: JKL HYoda GMY Jolee GK
Soyir,325383213,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Soyir,325383213,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Roman Nasty,723787248,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Roman Nasty,723787248,4,4,0,JKL: JKL HYoda GMY Jolee GK
Roman Nasty,723787248,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Roman Nasty,723787248,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Roman Nasty,723787248,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Roman Nasty,723787248,16,8,8,Shaak Ti: Shaak Ti Rex R1 Echo (501st) G12 ARC Trooper Fives R1
Caseyyy,644777646,2,2,0,GAS Special: GAS Ahsoka Tano (Snips)
Caseyyy,644777646,13,13,0,JKL: JKL HYoda GMY Jolee GK
Caseyyy,644777646,18,18,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Caseyyy,644777646,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Caseyyy,644777646,13,0,13,ROLO: ROLO Cpt Solo Biggs Baze G3 Lando
Caseyyy,644777646,4,0,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Henrykona07,611681848,4,4,0,GAS Special: GAS Ahsoka Tano (Snips)
Henrykona07,611681848,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Henrykona07,611681848,12,0,12,ROLO: ROLO G12 Cpt Solo G12 Leia CLS G12 Lando
